cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
People,"Sex and Age","Total population",717438,"(+/- 3217 )",674920,"(+/- 6894 )",717896,"(+/- 5519 )",687453,"(+/- 6630 )",735858,"(+/- 206 )",699605,"(+/- 8896 )",670015,"(+/- 11607 )"
People,"Sex and Age",Male,345865,"(+/- 3244 )",325647,"(+/- 4350 )",349635,"(+/- 4441 )",337329,"(+/- 4196 )",358825,"(+/- 1934 )",336367,"(+/- 4938 )",315943,"(+/- 6001 )"
People,"Sex and Age",Female,371573,"(+/- 3017 )",349273,"(+/- 4484 )",368261,"(+/- 4128 )",350124,"(+/- 4313 )",377033,"(+/- 1934 )",363238,"(+/- 6076 )",354072,"(+/- 8479 )"
People,"Sex and Age","Under 5 years",43090,"(+/- 1627 )",41267,"(+/- 2141 )",39024,"(+/- 3333 )",40525,"(+/- 1957 )",41779,"(+/- 956 )",39779,"(+/- 2282 )",41133,"(+/- 2711 )"
People,"Sex and Age","5 to 9 years",43281,"(+/- 3381 )",44109,"(+/- 3005 )",45207,"(+/- 3591 )",40537,"(+/- 3311 )",39480,"(+/- 2763 )",44563,"(+/- 3703 )",37298,"(+/- 3346 )"
People,"Sex and Age","10 to 14 years",46701,"(+/- 3306 )",41423,"(+/- 2584 )",45109,"(+/- 3088 )",47027,"(+/- 2486 )",48885,"(+/- 3064 )",46060,"(+/- 3305 )",42440,"(+/- 3677 )"
People,"Sex and Age","15 to 19 years",46000,"(+/- 2068 )",42859,"(+/- 2261 )",49680,"(+/- 3170 )",40755,"(+/- 2625 )",48511,"(+/- 2633 )",45040,"(+/- 2703 )",53826,"(+/- 3988 )"
People,"Sex and Age","20 to 24 years",40348,"(+/- 1866 )",43193,"(+/- 2476 )",52903,"(+/- 3306 )",39875,"(+/- 2751 )",48457,"(+/- 2301 )",38361,"(+/- 2562 )",54602,"(+/- 3350 )"
People,"Sex and Age","25 to 34 years",92674,"(+/- 2693 )",91857,"(+/- 3411 )",91099,"(+/- 3505 )",85102,"(+/- 3468 )",93525,"(+/- 1784 )",92285,"(+/- 4342 )",90861,"(+/- 4582 )"
People,"Sex and Age","35 to 44 years",88657,"(+/- 2912 )",82199,"(+/- 3083 )",89263,"(+/- 3856 )",82874,"(+/- 2989 )",90804,"(+/- 1858 )",95465,"(+/- 3441 )",76477,"(+/- 4350 )"
People,"Sex and Age","45 to 54 years",87619,"(+/- 2195 )",81556,"(+/- 2486 )",89321,"(+/- 2243 )",88787,"(+/- 2490 )",97411,"(+/- 1855 )",89548,"(+/- 2881 )",75149,"(+/- 3754 )"
People,"Sex and Age","55 to 59 years",48179,"(+/- 2970 )",42805,"(+/- 2206 )",48226,"(+/- 2936 )",45880,"(+/- 2574 )",49302,"(+/- 2869 )",47726,"(+/- 3071 )",39178,"(+/- 3330 )"
People,"Sex and Age","60 to 64 years",49738,"(+/- 3060 )",43319,"(+/- 2567 )",48172,"(+/- 2782 )",47494,"(+/- 2812 )",51926,"(+/- 2925 )",45008,"(+/- 3058 )",46260,"(+/- 3458 )"
People,"Sex and Age","65 to 74 years",78932,"(+/- 1994 )",70407,"(+/- 1802 )",72410,"(+/- 1940 )",74308,"(+/- 1705 )",73204,"(+/- 1934 )",69779,"(+/- 2494 )",66517,"(+/- 2697 )"
People,"Sex and Age","75 to 84 years",39375,"(+/- 2229 )",37904,"(+/- 1862 )",37103,"(+/- 1931 )",41526,"(+/- 1762 )",39560,"(+/- 1588 )",33953,"(+/- 2286 )",34650,"(+/- 2455 )"
People,"Sex and Age","85 years and over",12844,"(+/- 1697 )",12022,"(+/- 1491 )",10379,"(+/- 1451 )",12763,"(+/- 1302 )",13014,"(+/- 1680 )",12038,"(+/- 1489 )",11624,"(+/- 1461 )"
People,"Sex and Age","Median age (years)",40.4,"(+/- 0.6 )",39.0,"(+/- 0.5 )",38.9,"(+/- 0.5 )",41.1,"(+/- 0.5 )",39.7,"(+/- 0.4 )",39.9,"(+/- 0.6 )",36.8,"(+/- 0.7 )"
People,"Sex and Age","18 years and over",556011,"(+/- 2279 )",523012,"(+/- 4917 )",562241,"(+/- 4209 )",533068,"(+/- 5177 )",576830,"(+/- 1571 )",540854,"(+/- 6918 )",525572,"(+/- 9288 )"
People,"Sex and Age","65 years and over",131151,"(+/- 2272 )",120333,"(+/- 2134 )",119892,"(+/- 1708 )",128597,"(+/- 2286 )",125778,"(+/- 1954 )",115770,"(+/- 3259 )",112791,"(+/- 3288 )"
People,Race,"Total population",717438,"(+/- 3217 )",674920,"(+/- 6894 )",717896,"(+/- 5519 )",687453,"(+/- 6630 )",735858,"(+/- 206 )",699605,"(+/- 8896 )",670015,"(+/- 11607 )"
People,Race,"One race",702458,"(+/- 4561 )",661882,"(+/- 7197 )",705800,"(+/- 5621 )",675240,"(+/- 6693 )",716611,"(+/- 2936 )",687811,"(+/- 9009 )",661861,"(+/- 11697 )"
People,Race,White,479955,"(+/- 4356 )",424115,"(+/- 4079 )",494456,"(+/- 4317 )",596835,"(+/- 7561 )",552016,"(+/- 2919 )",549842,"(+/- 6770 )",229156,"(+/- 8825 )"
People,Race,"Black or African American",196641,"(+/- 4124 )",217508,"(+/- 6922 )",188613,"(+/- 6106 )",50846,"(+/- 2922 )",134999,"(+/- 2663 )",111688,"(+/- 6487 )",419256,"(+/- 8392 )"
People,Race,"American Indian and Alaska Native",7360,"(+/- 1669 )",2098,"(+/- 747 )",2142,"(+/- 1235 )",3277,"(+/- 1147 )",4005,"(+/- 1286 )",2721,"(+/- 1659 )",1662,"(+/- 978 )"
People,Race,Asian,10157,"(+/- 1513 )",8458,"(+/- 1353 )",13239,"(+/- 1660 )",3259,"(+/- 955 )",12180,"(+/- 919 )",11070,"(+/- 1646 )",7766,"(+/- 1642 )"
People,Race,"Native Hawaiian and Other Pacific Islander",138,"(+/- 140 )",304,"(+/- 260 )",374,"(+/- 281 )",721,"(+/- 459 )",355,"(+/- 307 )",0,"(+/- 206 )",0,"(+/- 206 )"
People,Race,"Some other race",8207,"(+/- 3217 )",9399,"(+/- 2755 )",6976,"(+/- 2811 )",20302,"(+/- 3093 )",13056,"(+/- 2706 )",12490,"(+/- 3699 )",4021,"(+/- 1414 )"
People,Race,"Two or more races",14980,"(+/- 3288 )",13038,"(+/- 2475 )",12096,"(+/- 2714 )",12213,"(+/- 2130 )",19247,"(+/- 2936 )",11794,"(+/- 2787 )",8154,"(+/- 2067 )"
People,"Hispanic or Latino and Race","Total population",717438,"(+/- 3217 )",674920,"(+/- 6894 )",717896,"(+/- 5519 )",687453,"(+/- 6630 )",735858,"(+/- 206 )",699605,"(+/- 8896 )",670015,"(+/- 11607 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",23629,"(+/- 483 )",26112,"(+/- 1885 )",21161,"(+/- 2317 )",47731,"(+/- 2522 )",40201,"(+/- 7 )",35562,"(+/- 3243 )",24900,"(+/- 3993 )"
People,"Hispanic or Latino and Race",Mexican,11008,"(+/- 3190 )",14596,"(+/- 2100 )",10641,"(+/- 2082 )",24187,"(+/- 4554 )",27797,"(+/- 2932 )",21106,"(+/- 4209 )",14994,"(+/- 3428 )"
People,"Hispanic or Latino and Race","Puerto Rican",3101,"(+/- 1556 )",4602,"(+/- 1176 )",2932,"(+/- 1621 )",3296,"(+/- 1658 )",4049,"(+/- 1387 )",3515,"(+/- 1745 )",550,"(+/- 392 )"
