cdTopic,Subject,Title,District 01 Estimate,District (At Large) MOE
People,Sex and Age,Total population,731545,(*****)
People,Sex and Age,Male,380433,(+/- 2130 )
People,Sex and Age,Female,351112,(+/- 2130 )
People,Sex and Age,Under 5 years,50891,(+/- 1153 )
People,Sex and Age,5 to 9 years,52692,(+/- 2518 )
People,Sex and Age,10 to 14 years,49737,(+/- 2381 )
People,Sex and Age,15 to 19 years,46531,(+/- 1945 )
People,Sex and Age,20 to 24 years,47636,(+/- 2884 )
People,Sex and Age,25 to 34 years,117978,(+/- 3084 )
People,Sex and Age,35 to 44 years,93035,(+/- 2246 )
People,Sex and Age,45 to 54 years,87687,(+/- 2615 )
People,Sex and Age,55 to 59 years,48858,(+/- 2878 )
People,Sex and Age,60 to 64 years,45912,(+/- 2435 )
People,Sex and Age,65 to 74 years,61658,(+/- 2041 )
People,Sex and Age,75 to 84 years,22265,(+/- 1175 )
People,Sex and Age,85 years and over,6665,(+/- 1002 )
People,Sex and Age,Median age (years),35,(+/- 0.3 )
People,Sex and Age,18 years and over,551796,(+/- 386 )
People,Sex and Age,65 years and over,90588,(+/- 1976 )
People,Race,Total population,731545,(*****)
People,Race,One race,674069,(+/- 5446 )
People,Race,White,469771,(+/- 4147 )
People,Race,Black or African American,22551,(+/- 1965 )
People,Race,American Indian and Alaska Native,115544,(+/- 3935 )
People,Race,Asian,43678,(+/- 2428 )
People,Race,Native Hawaiian and Other Pacific Islander,9923,(+/- 834 )
People,Race,Some other race,12602,(+/- 3697 )
People,Race,Two or more races,57476,(+/- 5446 )
People,Hispanic or Latino and Race,Total population,731545,(*****)
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),52548,(+/- 110 )
People,Hispanic or Latino and Race,Mexican,28490,(+/- 3593 )
People,Hispanic or Latino and Race,Puerto Rican,6537,(+/- 2249 )
People,Hispanic or Latino and Race,Cuban,1610,(+/- 1222 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,15911,(+/- 3295 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,678997,(+/- 110 )
People,Place of Birth,Total population,731545,(*****)
People,Place of Birth,Native,673167,(+/- 4212 )
People,Place of Birth,Born in United States,655014,(+/- 4906 )
People,Place of Birth,State of residence,313765,(+/- 6479 )
People,Place of Birth,Different state,341249,(+/- 8274 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",18153,(+/- 2943 )
People,Place of Birth,Foreign born,58378,(+/- 4212 )
People,Ancestry,Total population,731545,(*****)
People,Ancestry,American,23848,(+/- 3439 )
People,Ancestry,Arab,1063,(+/- 805 )
People,Ancestry,Czech,3415,(+/- 1390 )
People,Ancestry,Danish,4099,(+/- 1284 )
People,Ancestry,Dutch,11143,(+/- 2120 )
People,Ancestry,English,53955,(+/- 5345 )
People,Ancestry,French (except Basque),14921,(+/- 2016 )
People,Ancestry,French Canadian,3242,(+/- 974 )
People,Ancestry,German,93035,(+/- 6725 )
People,Ancestry,Greek,1065,(+/- 514 )
People,Ancestry,Hungarian,1679,(+/- 687 )
People,Ancestry,Irish,69121,(+/- 5465 )
People,Ancestry,Italian,22243,(+/- 3562 )
People,Ancestry,Lithuanian,1060,(+/- 475 )
People,Ancestry,Norwegian,21524,(+/- 2839 )
People,Ancestry,Polish,13625,(+/- 3022 )
People,Ancestry,Portuguese,1729,(+/- 791 )
People,Ancestry,Russian,9237,(+/- 3411 )
People,Ancestry,Scotch-Irish,9051,(+/- 1681 )
People,Ancestry,Scottish,15981,(+/- 2355 )
People,Ancestry,Slovak,935,(+/- 552 )
People,Ancestry,Subsaharan African,5054,(+/- 2098 )
People,Ancestry,Swedish,15465,(+/- 2182 )
People,Ancestry,Swiss,3422,(+/- 1312 )
People,Ancestry,Ukrainian,2003,(+/- 970 )
People,Ancestry,Welsh,6884,(+/- 1484 )
People,Ancestry,West Indian (excluding Hispanic origin groups),1436,(+/- 657 )
People,Veteran Status,Civilian population 18 years and over,532729,(+/- 2108 )
People,Veteran Status,Civilian veterans,57225,(+/- 3773 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,705772,(+/- 2037 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,82900,(+/- 4323 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,179672,(+/- 392 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,6933,(+/- 1464 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,437165,(+/- 2966 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,45887,(+/- 3289 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,88935,(+/- 1953 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,30080,(+/- 2612 )
People,Residence 1 Year Ago,Population 1 year and over,722063,(+/- 1360 )
People,Residence 1 Year Ago,Same house,609362,(+/- 7734 )
People,Residence 1 Year Ago,Different house in the U.S.,108406,(+/- 7355 )
People,Residence 1 Year Ago,Same county,58654,(+/- 5901 )
People,Residence 1 Year Ago,Different county,49752,(+/- 4774 )
People,Residence 1 Year Ago,Same state,15721,(+/- 3091 )
People,Residence 1 Year Ago,Different state,34031,(+/- 4202 )
People,Residence 1 Year Ago,Abroad,4295,(+/- 1721 )
Workers,Employment Status,Population 16 years and over,569699,(+/- 1120 )
Workers,Employment Status,In labor force,377728,(+/- 5689 )
Workers,Employment Status,Civilian labor force,358661,(+/- 5662 )
Workers,Employment Status,Employed,338011,(+/- 5871 )
Workers,Employment Status,Unemployed,20650,(+/- 2390 )
Workers,Employment Status,Armed Forces,19067,(+/- 2045 )
Workers,Employment Status,Not in labor force,191971,(+/- 5726 )
Workers,Employment Status,Civilian labor force,358661,(+/- 5662 )
Workers,Employment Status,Unemployment Rate,5.8,(+/- 0.7 )
Workers,Commuting to Work,Workers 16 years and over,349811,(+/- 5936 )
Workers,Commuting to Work,"Car, truck, or van -- drove alone",244725,(+/- 6188 )
Workers,Commuting to Work,"Car, truck, or van -- carpooled",41975,(+/- 3746 )
Workers,Commuting to Work,Public transportation (excluding taxicab),3373,(+/- 1156 )
Workers,Commuting to Work,Walked,24732,(+/- 2142 )
Workers,Commuting to Work,Other means,19865,(+/- 2055 )
Workers,Commuting to Work,Worked from home,15141,(+/- 1862 )
Workers,Commuting to Work,Mean travel time to work (minutes),20.2,(+/- 0.9 )
Workers,Occupation,Civilian employed population 16 years and over,338011,(+/- 5871 )
Workers,Occupation,"Management, business, science, and arts occupations",129589,(+/- 5676 )
Workers,Occupation,Service occupations,58449,(+/- 4336 )
Workers,Occupation,Sales and office occupations,66107,(+/- 4366 )
Workers,Occupation,"Natural resources, construction, and maintenance occupations",38578,(+/- 2594 )
Workers,Occupation,"Production, transportation, and material moving occupations",45288,(+/- 3464 )
Workers,Industry,Civilian employed population 16 years and over,338011,(+/- 5871 )
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",16537,(+/- 1885 )
Workers,Industry,Construction,22264,(+/- 2264 )
Workers,Industry,Manufacturing,14085,(+/- 1864 )
Workers,Industry,Wholesale trade,6333,(+/- 1364 )
Workers,Industry,Retail trade,34999,(+/- 3307 )
Workers,Industry,"Transportation and warehousing, and utilities",32272,(+/- 3107 )
Workers,Industry,Information,6274,(+/- 1381 )
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",14616,(+/- 2524 )
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",30122,(+/- 2676 )
Workers,Industry,"Educational services, and health care and social assistance",82920,(+/- 4932 )
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",27517,(+/- 3060 )
Workers,Industry,"Other services, except public administration",17331,(+/- 2678 )
Workers,Industry,Public administration,32741,(+/- 3043 )
Workers,Class of Worker,Civilian employed population 16 years and over,338011,(+/- 5871 )
Workers,Class of Worker,Private wage and salary workers,238117,(+/- 7257 )
Workers,Class of Worker,Government workers,79654,(+/- 4200 )
Workers,Class of Worker,Self-employed in own not incorporated business workers,19562,(+/- 2565 )
Workers,Class of Worker,Unpaid family workers,678,(+/- 348 )
Housing,Housing Occupancy,Total housing units,319867,(+/- 200 )
Housing,Housing Occupancy,Occupied housing units,252199,(+/- 3658 )
Housing,Housing Occupancy,Vacant housing units,67668,(+/- 3669 )
Housing,Housing Occupancy,Homeowner vacancy rate,1.7,(+/- 0.7 )
Housing,Housing Occupancy,Rental vacancy rate,9.2,(+/- 1.8 )
Housing,Housing Tenure,Occupied housing units,252199,(+/- 3658 )
Housing,Housing Tenure,Owner-occupied,163272,(+/- 3761 )
Housing,Housing Tenure,Renter-occupied,88927,(+/- 2868 )
Housing,Housing Tenure,Average household size of owner-occupied unit,2.9,(+/- 0.06 )
Housing,Housing Tenure,Average household size of renter-occupied unit,2.6,(+/- 0.08 )
Housing,Year Householder Moved into Unit,Occupied housing units,252199,(+/- 3658 )
Housing,Year Householder Moved into Unit,Moved in 2017 or later,78925,(+/- 4262 )
Housing,Year Householder Moved into Unit,Moved in 2015 to 2016,31200,(+/- 2445 )
Housing,Year Householder Moved into Unit,Moved in 2014 to 2014,40423,(+/- 3141 )
Housing,Year Householder Moved into Unit,Moved in 2000 to 2009,49277,(+/- 3050 )
Housing,Year Householder Moved into Unit,Moved in 1990 to 1999,27186,(+/- 2234 )
