cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Sex and Age","Total population",782088,"(+/- 10038 )",733197,"(+/- 13189 )",801531,"(+/- 19365 )",825763,"(+/- 14933 )",849917,"(+/- 12828 )",814971,"(+/- 18151 )",853856,"(+/- 21938 )",798544,"(+/- 12591 )",818850,"(+/- 17431 )"
People,"Sex and Age",Male,398906,"(+/- 7519 )",362703,"(+/- 8104 )",402357,"(+/- 12554 )",415884,"(+/- 8843 )",417522,"(+/- 8751 )",402572,"(+/- 10274 )",422907,"(+/- 13555 )",383897,"(+/- 9336 )",414187,"(+/- 11140 )"
People,"Sex and Age",Female,383182,"(+/- 6625 )",370494,"(+/- 7742 )",399174,"(+/- 10050 )",409879,"(+/- 8136 )",432395,"(+/- 7851 )",412399,"(+/- 11621 )",430949,"(+/- 12595 )",414647,"(+/- 7495 )",404663,"(+/- 11923 )"
People,"Sex and Age","Under 5 years",45505,"(+/- 2757 )",36185,"(+/- 2380 )",60417,"(+/- 3898 )",36830,"(+/- 2694 )",51145,"(+/- 3791 )",39503,"(+/- 3988 )",68870,"(+/- 5491 )",41367,"(+/- 3723 )",47885,"(+/- 4632 )"
People,"Sex and Age","5 to 9 years",46877,"(+/- 3397 )",41281,"(+/- 3649 )",58250,"(+/- 4580 )",42093,"(+/- 3926 )",58154,"(+/- 3755 )",45050,"(+/- 4321 )",67896,"(+/- 5287 )",43960,"(+/- 4243 )",41951,"(+/- 4175 )"
People,"Sex and Age","10 to 14 years",55025,"(+/- 4166 )",37066,"(+/- 3028 )",61359,"(+/- 5010 )",48897,"(+/- 5296 )",65805,"(+/- 4167 )",44376,"(+/- 4254 )",71806,"(+/- 5548 )",53821,"(+/- 4801 )",48258,"(+/- 4469 )"
People,"Sex and Age","15 to 19 years",58394,"(+/- 3527 )",38993,"(+/- 3430 )",67623,"(+/- 3996 )",44624,"(+/- 3761 )",60735,"(+/- 4082 )",42093,"(+/- 3819 )",69056,"(+/- 4817 )",50993,"(+/- 3613 )",51035,"(+/- 4019 )"
People,"Sex and Age","20 to 24 years",53173,"(+/- 3649 )",59024,"(+/- 4161 )",66653,"(+/- 5550 )",39108,"(+/- 3587 )",47231,"(+/- 4308 )",44877,"(+/- 5279 )",65769,"(+/- 5442 )",39069,"(+/- 3694 )",76095,"(+/- 5096 )"
People,"Sex and Age","25 to 34 years",95641,"(+/- 4506 )",97183,"(+/- 4132 )",120006,"(+/- 6509 )",85077,"(+/- 5049 )",94298,"(+/- 5948 )",111549,"(+/- 8326 )",134810,"(+/- 7481 )",95781,"(+/- 6908 )",167249,"(+/- 8271 )"
People,"Sex and Age","35 to 44 years",90275,"(+/- 4314 )",84863,"(+/- 4170 )",95912,"(+/- 4873 )",88239,"(+/- 4863 )",115879,"(+/- 5750 )",93489,"(+/- 5817 )",124198,"(+/- 5918 )",95688,"(+/- 5182 )",109990,"(+/- 6597 )"
People,"Sex and Age","45 to 54 years",86592,"(+/- 3644 )",81438,"(+/- 3308 )",91556,"(+/- 5330 )",84272,"(+/- 3980 )",110858,"(+/- 5481 )",108205,"(+/- 5433 )",97648,"(+/- 5299 )",98217,"(+/- 5324 )",94295,"(+/- 5065 )"
People,"Sex and Age","55 to 59 years",48306,"(+/- 3258 )",45457,"(+/- 3035 )",42293,"(+/- 3463 )",54360,"(+/- 3719 )",50912,"(+/- 3924 )",63057,"(+/- 4610 )",48633,"(+/- 4257 )",49930,"(+/- 4083 )",42058,"(+/- 3747 )"
People,"Sex and Age","60 to 64 years",47491,"(+/- 3402 )",48306,"(+/- 2781 )",40080,"(+/- 3382 )",70670,"(+/- 3722 )",48053,"(+/- 3273 )",60406,"(+/- 4194 )",32574,"(+/- 3185 )",51218,"(+/- 3624 )",40287,"(+/- 3266 )"
People,"Sex and Age","65 to 74 years",91942,"(+/- 4329 )",89168,"(+/- 2550 )",59123,"(+/- 3272 )",132020,"(+/- 3571 )",79457,"(+/- 3708 )",96281,"(+/- 4629 )",45305,"(+/- 3355 )",99538,"(+/- 4862 )",58997,"(+/- 4598 )"
People,"Sex and Age","75 to 84 years",49994,"(+/- 3667 )",55348,"(+/- 2359 )",29036,"(+/- 2641 )",79757,"(+/- 3544 )",50465,"(+/- 3796 )",52603,"(+/- 4246 )",20867,"(+/- 2568 )",58226,"(+/- 4461 )",28309,"(+/- 2811 )"
People,"Sex and Age","85 years and over",12873,"(+/- 1546 )",18885,"(+/- 1680 )",9223,"(+/- 1575 )",19816,"(+/- 2649 )",16925,"(+/- 1928 )",13482,"(+/- 2022 )",6424,"(+/- 1453 )",20736,"(+/- 2508 )",12441,"(+/- 1968 )"
People,"Sex and Age","Median age (years)",39.0,"(+/- 0.7 )",41.5,"(+/- 1.1 )",32.1,"(+/- 0.7 )",48.7,"(+/- 0.9 )",39.3,"(+/- 0.8 )",43.2,"(+/- 1.3 )",30.6,"(+/- 0.5 )",42.9,"(+/- 0.8 )",33.3,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",604473,"(+/- 8440 )",594587,"(+/- 8738 )",585235,"(+/- 14140 )",672103,"(+/- 11624 )",634260,"(+/- 10965 )",660059,"(+/- 13823 )",608443,"(+/- 14894 )",626365,"(+/- 10985 )",653544,"(+/- 12425 )"
