cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
People,"Sex and Age","Total population",852816,"(+/- 5329 )",824050,"(+/- 7031 )",756569,"(+/- 4594 )",868302,"(+/- 5989 )",820255,"(+/- 1903 )",828201,"(+/- 8112 )",808543,"(+/- 8300 )"
People,"Sex and Age",Male,426450,"(+/- 3253 )",416699,"(+/- 4836 )",381061,"(+/- 3696 )",438849,"(+/- 4401 )",419780,"(+/- 2059 )",414984,"(+/- 5633 )",407132,"(+/- 5818 )"
People,"Sex and Age",Female,426366,"(+/- 3421 )",407351,"(+/- 5071 )",375508,"(+/- 3731 )",429453,"(+/- 3909 )",400475,"(+/- 2067 )",413217,"(+/- 4558 )",401411,"(+/- 4881 )"
People,"Sex and Age","Under 5 years",49644,"(+/- 1360 )",37478,"(+/- 1803 )",38118,"(+/- 1726 )",53630,"(+/- 1822 )",49851,"(+/- 801 )",50167,"(+/- 2353 )",48414,"(+/- 2274 )"
People,"Sex and Age","5 to 9 years",42500,"(+/- 3231 )",40719,"(+/- 3177 )",45587,"(+/- 3205 )",57160,"(+/- 3117 )",53347,"(+/- 2889 )",53515,"(+/- 3330 )",51374,"(+/- 3303 )"
People,"Sex and Age","10 to 14 years",48835,"(+/- 2869 )",50711,"(+/- 3450 )",45993,"(+/- 2927 )",62971,"(+/- 3085 )",49465,"(+/- 3115 )",61370,"(+/- 4153 )",47077,"(+/- 3645 )"
People,"Sex and Age","15 to 19 years",41989,"(+/- 1779 )",57642,"(+/- 2518 )",48719,"(+/- 3005 )",60627,"(+/- 2225 )",51483,"(+/- 1367 )",55254,"(+/- 3113 )",49815,"(+/- 2595 )"
People,"Sex and Age","20 to 24 years",48374,"(+/- 1309 )",74147,"(+/- 2538 )",43195,"(+/- 2875 )",51655,"(+/- 3362 )",62474,"(+/- 1694 )",48664,"(+/- 2381 )",51829,"(+/- 1854 )"
People,"Sex and Age","25 to 34 years",189942,"(+/- 2437 )",115302,"(+/- 3427 )",96916,"(+/- 3499 )",113279,"(+/- 3876 )",128921,"(+/- 1719 )",124013,"(+/- 4120 )",139254,"(+/- 3556 )"
People,"Sex and Age","35 to 44 years",137798,"(+/- 2481 )",106266,"(+/- 4010 )",98677,"(+/- 3088 )",123889,"(+/- 3345 )",103637,"(+/- 1388 )",118818,"(+/- 2960 )",116221,"(+/- 2915 )"
