cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE"
People,"Sex and Age","Total population",703138,"(+/- 7674 )",701590,"(+/- 5979 )",717989,"(+/- 7838 )",737733,"(+/- 5796 )",704837,"(+/- 11981 )"
People,"Sex and Age",Male,337453,"(+/- 5117 )",351611,"(+/- 3633 )",345179,"(+/- 5415 )",358959,"(+/- 3719 )",350575,"(+/- 7913 )"
People,"Sex and Age",Female,365685,"(+/- 4565 )",349979,"(+/- 4213 )",372810,"(+/- 5766 )",378774,"(+/- 4395 )",354262,"(+/- 7477 )"
People,"Sex and Age","Under 5 years",37306,"(+/- 2162 )",31116,"(+/- 1475 )",33360,"(+/- 2474 )",42735,"(+/- 1824 )",36081,"(+/- 3283 )"
People,"Sex and Age","5 to 9 years",39597,"(+/- 2951 )",33700,"(+/- 2456 )",32463,"(+/- 2761 )",44451,"(+/- 3640 )",43255,"(+/- 4166 )"
People,"Sex and Age","10 to 14 years",41992,"(+/- 2843 )",40427,"(+/- 3033 )",41526,"(+/- 3482 )",53346,"(+/- 3381 )",38903,"(+/- 3099 )"
People,"Sex and Age","15 to 19 years",43821,"(+/- 2302 )",48405,"(+/- 2440 )",49612,"(+/- 3033 )",53081,"(+/- 2126 )",43751,"(+/- 3475 )"
People,"Sex and Age","20 to 24 years",43240,"(+/- 2461 )",54526,"(+/- 2593 )",52879,"(+/- 3114 )",44996,"(+/- 2510 )",44298,"(+/- 4222 )"
People,"Sex and Age","25 to 34 years",93144,"(+/- 3137 )",82802,"(+/- 3135 )",96676,"(+/- 3489 )",82958,"(+/- 2801 )",88929,"(+/- 4293 )"
People,"Sex and Age","35 to 44 years",86963,"(+/- 2933 )",79999,"(+/- 2980 )",82969,"(+/- 2756 )",93724,"(+/- 3213 )",83312,"(+/- 4013 )"
People,"Sex and Age","45 to 54 years",94619,"(+/- 3327 )",92619,"(+/- 2804 )",97381,"(+/- 3391 )",105570,"(+/- 3108 )",90376,"(+/- 5208 )"
People,"Sex and Age","55 to 59 years",45272,"(+/- 3381 )",55631,"(+/- 3203 )",51764,"(+/- 3866 )",52658,"(+/- 3104 )",53647,"(+/- 4056 )"
People,"Sex and Age","60 to 64 years",52830,"(+/- 3482 )",51908,"(+/- 3096 )",53218,"(+/- 3905 )",47801,"(+/- 3331 )",50618,"(+/- 3605 )"
