cdTopic,Subject,Title,District 01 Estimate,District (At Large) MOE
People,Sex and Age,Total population,973764,(*****)
People,Sex and Age,Male,470288,(+/- 1336 )
People,Sex and Age,Female,503476,(+/- 1336 )
People,Sex and Age,Under 5 years,54261,(+/- 384 )
People,Sex and Age,5 to 9 years,54150,(+/- 3167 )
People,Sex and Age,10 to 14 years,59911,(+/- 3217 )
People,Sex and Age,15 to 19 years,60766,(+/- 1890 )
People,Sex and Age,20 to 24 years,57365,(+/- 1728 )
People,Sex and Age,25 to 34 years,128412,(+/- 1158 )
People,Sex and Age,35 to 44 years,113704,(+/- 1289 )
People,Sex and Age,45 to 54 years,118670,(+/- 1317 )
People,Sex and Age,55 to 59 years,66092,(+/- 3432 )
People,Sex and Age,60 to 64 years,70795,(+/- 3456 )
People,Sex and Age,65 to 74 years,112847,(+/- 964 )
People,Sex and Age,75 to 84 years,57991,(+/- 1762 )
People,Sex and Age,85 years and over,18800,(+/- 1652 )
People,Sex and Age,Median age (years),41.4,(+/- 0.3 )
People,Sex and Age,18 years and over,769818,(+/- 709 )
People,Sex and Age,65 years and over,189638,(+/- 699 )
People,Race,Total population,973764,(*****)
People,Race,One race,943597,(+/- 4218 )
People,Race,White,659719,(+/- 5370 )
People,Race,Black or African American,219418,(+/- 3974 )
People,Race,American Indian and Alaska Native,4353,(+/- 1271 )
People,Race,Asian,36592,(+/- 1970 )
People,Race,Native Hawaiian and Other Pacific Islander,428,(+/- 499 )
People,Race,Some other race,23087,(+/- 5203 )
People,Race,Two or more races,30167,(+/- 4218 )
People,Hispanic or Latino and Race,Total population,973764,(*****)
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),93390,(*****)
People,Hispanic or Latino and Race,Mexican,37561,(+/- 5559 )
People,Hispanic or Latino and Race,Puerto Rican,27296,(+/- 4212 )
People,Hispanic or Latino and Race,Cuban,579,(+/- 326 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,27954,(+/- 4711 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,880374,(*****)
People,Place of Birth,Total population,973764,(*****)
People,Place of Birth,Native,876494,(+/- 5826 )
People,Place of Birth,Born in United States,857275,(+/- 5605 )
People,Place of Birth,State of residence,428368,(+/- 10672 )
People,Place of Birth,Different state,428907,(+/- 10536 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",19219,(+/- 3101 )
People,Place of Birth,Foreign born,97270,(+/- 5826 )
People,Ancestry,Total population,973764,(*****)
People,Ancestry,American,43254,(+/- 4965 )
People,Ancestry,Arab,2868,(+/- 1214 )
People,Ancestry,Czech,1306,(+/- 521 )
People,Ancestry,Danish,1474,(+/- 583 )
People,Ancestry,Dutch,9551,(+/- 2443 )
People,Ancestry,English,93218,(+/- 7372 )
People,Ancestry,French (except Basque),15541,(+/- 2994 )
People,Ancestry,French Canadian,3882,(+/- 1161 )
People,Ancestry,German,110395,(+/- 6548 )
People,Ancestry,Greek,3256,(+/- 1127 )
People,Ancestry,Hungarian,4019,(+/- 1127 )
People,Ancestry,Irish,134504,(+/- 8454 )
People,Ancestry,Italian,85015,(+/- 6100 )
People,Ancestry,Lithuanian,3227,(+/- 1012 )
People,Ancestry,Norwegian,4040,(+/- 1470 )
People,Ancestry,Polish,40743,(+/- 5576 )
People,Ancestry,Portuguese,1858,(+/- 909 )
People,Ancestry,Russian,6555,(+/- 1797 )
People,Ancestry,Scotch-Irish,7752,(+/- 1485 )
People,Ancestry,Scottish,15364,(+/- 2413 )
People,Ancestry,Slovak,2005,(+/- 862 )
People,Ancestry,Subsaharan African,15648,(+/- 3375 )
People,Ancestry,Swedish,5122,(+/- 1223 )
People,Ancestry,Swiss,2745,(+/- 959 )
People,Ancestry,Ukrainian,5081,(+/- 1310 )
People,Ancestry,Welsh,8827,(+/- 1497 )
People,Ancestry,West Indian (excluding Hispanic origin groups),16505,(+/- 4224 )
People,Veteran Status,Civilian population 18 years and over,764078,(+/- 1627 )
People,Veteran Status,Civilian veterans,68252,(+/- 3750 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,956378,(+/- 1518 )
