cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE"
People,"Sex and Age","Total population",798305,"(+/- 1594 )",720777,"(+/- 9195 )",758939,"(+/- 6802 )",836235,"(+/- 15700 )",742643,"(+/- 16104 )",790455,"(+/- 9332 )",814980,"(+/- 19094 )",780036,"(+/- 5489 )",931872,"(+/- 21323 )",811634,"(+/- 19731 )",813112,"(+/- 12773 )",811308,"(+/- 9679 )",731658,"(+/- 8994 )",831508,"(+/- 17116 )",801294,"(+/- 19880 )",873875,"(+/- 14734 )",804754,"(+/- 13912 )",795742,"(+/- 10675 )",833013,"(+/- 12133 )",802463,"(+/- 16017 )",786566,"(+/- 14424 )",760953,"(+/- 12049 )",762858,"(+/- 8912 )",754731,"(+/- 20042 )",796422,"(+/- 19963 )",780951,"(+/- 18280 )",750653,"(+/- 17949 )"
People,"Sex and Age",Male,401151,"(+/- 2134 )",361170,"(+/- 5606 )",375217,"(+/- 4266 )",408488,"(+/- 8148 )",363916,"(+/- 8543 )",381262,"(+/- 4636 )",393697,"(+/- 10209 )",381168,"(+/- 4239 )",462190,"(+/- 11848 )",395719,"(+/- 11066 )",394709,"(+/- 8195 )",389777,"(+/- 6942 )",355339,"(+/- 6758 )",414890,"(+/- 9051 )",388066,"(+/- 10499 )",418592,"(+/- 8145 )",397974,"(+/- 9271 )",387878,"(+/- 6033 )",407942,"(+/- 7445 )",390343,"(+/- 10404 )",379353,"(+/- 9909 )",375088,"(+/- 9529 )",364893,"(+/- 7605 )",371611,"(+/- 11837 )",389403,"(+/- 12156 )",384064,"(+/- 11330 )",364105,"(+/- 10765 )"
People,"Sex and Age",Female,397154,"(+/- 2279 )",359607,"(+/- 5958 )",383722,"(+/- 4965 )",427747,"(+/- 9766 )",378727,"(+/- 10384 )",409193,"(+/- 6857 )",421283,"(+/- 10899 )",398868,"(+/- 3393 )",469682,"(+/- 12801 )",415915,"(+/- 11819 )",418403,"(+/- 7743 )",421531,"(+/- 5361 )",376319,"(+/- 4633 )",416618,"(+/- 10313 )",413228,"(+/- 12579 )",455283,"(+/- 9582 )",406780,"(+/- 8706 )",407864,"(+/- 7414 )",425071,"(+/- 7371 )",412120,"(+/- 10812 )",407213,"(+/- 8110 )",385865,"(+/- 9373 )",397965,"(+/- 7897 )",383120,"(+/- 12102 )",407019,"(+/- 11174 )",396887,"(+/- 10669 )",386548,"(+/- 10776 )"
People,"Sex and Age","Under 5 years",47334,"(+/- 1349 )",35803,"(+/- 2175 )",40154,"(+/- 1993 )",47865,"(+/- 3763 )",47576,"(+/- 3764 )",35885,"(+/- 2249 )",41904,"(+/- 3977 )",35068,"(+/- 2773 )",58349,"(+/- 4629 )",51471,"(+/- 4648 )",33514,"(+/- 2340 )",39917,"(+/- 1958 )",30994,"(+/- 1947 )",52774,"(+/- 3180 )",38756,"(+/- 3741 )",40526,"(+/- 2884 )",34117,"(+/- 3137 )",35444,"(+/- 2499 )",33262,"(+/- 2712 )",54890,"(+/- 5515 )",36856,"(+/- 3577 )",36835,"(+/- 3766 )",42008,"(+/- 3504 )",50913,"(+/- 4789 )",40387,"(+/- 3718 )",48673,"(+/- 4497 )",39873,"(+/- 4186 )"
People,"Sex and Age","5 to 9 years",47402,"(+/- 2993 )",36637,"(+/- 3399 )",40957,"(+/- 3651 )",49474,"(+/- 4255 )",43340,"(+/- 3606 )",42358,"(+/- 3500 )",46969,"(+/- 4604 )",35577,"(+/- 3619 )",53141,"(+/- 5648 )",53937,"(+/- 5119 )",32124,"(+/- 3148 )",43602,"(+/- 3217 )",29268,"(+/- 3283 )",46726,"(+/- 4243 )",45592,"(+/- 4422 )",40264,"(+/- 5019 )",33904,"(+/- 3958 )",36602,"(+/- 3225 )",36161,"(+/- 3214 )",53506,"(+/- 5287 )",38113,"(+/- 4078 )",32028,"(+/- 3727 )",46503,"(+/- 4888 )",43390,"(+/- 4912 )",39330,"(+/- 4148 )",43219,"(+/- 3914 )",33524,"(+/- 3660 )"
People,"Sex and Age","10 to 14 years",49469,"(+/- 3134 )",43262,"(+/- 2814 )",47478,"(+/- 3666 )",51449,"(+/- 4569 )",50679,"(+/- 4173 )",38083,"(+/- 3287 )",43848,"(+/- 3593 )",42783,"(+/- 3884 )",67595,"(+/- 4728 )",51947,"(+/- 5152 )",37446,"(+/- 3655 )",47358,"(+/- 3662 )",33594,"(+/- 3398 )",50745,"(+/- 4697 )",57457,"(+/- 5309 )",48697,"(+/- 4198 )",43306,"(+/- 5060 )",47195,"(+/- 3943 )",39927,"(+/- 3674 )",54105,"(+/- 5153 )",42509,"(+/- 3855 )",36853,"(+/- 4360 )",47389,"(+/- 4828 )",48969,"(+/- 4652 )",48717,"(+/- 4549 )",51512,"(+/- 4386 )",35875,"(+/- 3811 )"
People,"Sex and Age","15 to 19 years",46744,"(+/- 2134 )",49058,"(+/- 3614 )",49665,"(+/- 2792 )",48214,"(+/- 3306 )",44400,"(+/- 3407 )",40395,"(+/- 2328 )",55369,"(+/- 3512 )",40891,"(+/- 2654 )",61053,"(+/- 4089 )",47817,"(+/- 4192 )",37676,"(+/- 3844 )",43264,"(+/- 2222 )",33014,"(+/- 2165 )",53475,"(+/- 3543 )",49896,"(+/- 4200 )",45500,"(+/- 3617 )",37340,"(+/- 3822 )",41828,"(+/- 4033 )",39199,"(+/- 2681 )",49962,"(+/- 4077 )",36482,"(+/- 3416 )",44631,"(+/- 4130 )",41646,"(+/- 3952 )",40427,"(+/- 4164 )",46116,"(+/- 3596 )",50362,"(+/- 3503 )",39385,"(+/- 4266 )"
People,"Sex and Age","20 to 24 years",53835,"(+/- 2441 )",45481,"(+/- 3546 )",68509,"(+/- 2942 )",47305,"(+/- 3165 )",67810,"(+/- 3697 )",40996,"(+/- 2420 )",63480,"(+/- 4207 )",39658,"(+/- 3257 )",59899,"(+/- 4512 )",51134,"(+/- 3889 )",31579,"(+/- 3136 )",36516,"(+/- 2354 )",40242,"(+/- 2237 )",57801,"(+/- 3881 )",46992,"(+/- 5109 )",43586,"(+/- 3767 )",39512,"(+/- 4261 )",39738,"(+/- 3872 )",39484,"(+/- 3081 )",50051,"(+/- 4521 )",38294,"(+/- 3700 )",35450,"(+/- 4115 )",46008,"(+/- 4301 )",46919,"(+/- 4029 )",47896,"(+/- 4561 )",45932,"(+/- 3883 )",42276,"(+/- 3769 )"
People,"Sex and Age","25 to 34 years",116768,"(+/- 3407 )",85649,"(+/- 4174 )",100616,"(+/- 4537 )",117131,"(+/- 5864 )",120415,"(+/- 6566 )",86412,"(+/- 2942 )",132381,"(+/- 6274 )",87044,"(+/- 3078 )",124571,"(+/- 6539 )",137663,"(+/- 6804 )",70182,"(+/- 5033 )",85435,"(+/- 4176 )",93527,"(+/- 4170 )",136750,"(+/- 5409 )",113360,"(+/- 6412 )",90768,"(+/- 3998 )",73627,"(+/- 5057 )",87387,"(+/- 4533 )",82213,"(+/- 3378 )",119143,"(+/- 6782 )",89566,"(+/- 4850 )",95335,"(+/- 7138 )",92456,"(+/- 6242 )",121525,"(+/- 6490 )",98066,"(+/- 5349 )",98885,"(+/- 5241 )",111185,"(+/- 7073 )"
People,"Sex and Age","35 to 44 years",94663,"(+/- 2839 )",83177,"(+/- 3398 )",92174,"(+/- 3790 )",109476,"(+/- 4342 )",91710,"(+/- 4891 )",83123,"(+/- 3138 )",111905,"(+/- 5426 )",79887,"(+/- 3094 )",132975,"(+/- 7417 )",114542,"(+/- 6023 )",70610,"(+/- 4829 )",96885,"(+/- 3646 )",82131,"(+/- 3241 )",108648,"(+/- 5694 )",112509,"(+/- 7551 )",96805,"(+/- 5651 )",75431,"(+/- 5753 )",85970,"(+/- 5719 )",83157,"(+/- 3569 )",105966,"(+/- 6257 )",92288,"(+/- 5197 )",92041,"(+/- 6427 )",102776,"(+/- 6162 )",107001,"(+/- 6644 )",101630,"(+/- 5630 )",104395,"(+/- 7468 )",100375,"(+/- 5103 )"
