cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population",720786,"(+/- 8847 )",695086,"(+/- 8847 )"
People,"Sex and Age",Male,358511,"(+/- 5010 )",349344,"(+/- 5010 )"
People,"Sex and Age",Female,362275,"(+/- 5388 )",345742,"(+/- 5802 )"
People,"Sex and Age","Under 5 years",42225,"(+/- 2198 )",43110,"(+/- 2160 )"
People,"Sex and Age","5 to 9 years",41352,"(+/- 3132 )",43114,"(+/- 3221 )"
People,"Sex and Age","10 to 14 years",36691,"(+/- 2537 )",45915,"(+/- 2698 )"
People,"Sex and Age","15 to 19 years",37875,"(+/- 2028 )",39822,"(+/- 2185 )"
People,"Sex and Age","20 to 24 years",46265,"(+/- 2024 )",42835,"(+/- 2334 )"
People,"Sex and Age","25 to 34 years",111066,"(+/- 2992 )",84715,"(+/- 3255 )"
People,"Sex and Age","35 to 44 years",95100,"(+/- 2943 )",90033,"(+/- 3254 )"
People,"Sex and Age","45 to 54 years",86954,"(+/- 2398 )",81225,"(+/- 2744 )"
People,"Sex and Age","55 to 59 years",42585,"(+/- 2662 )",44824,"(+/- 2791 )"
People,"Sex and Age","60 to 64 years",43026,"(+/- 2663 )",47670,"(+/- 2557 )"
People,"Sex and Age","65 to 74 years",74463,"(+/- 1753 )",78775,"(+/- 1943 )"
People,"Sex and Age","75 to 84 years",40885,"(+/- 2113 )",37679,"(+/- 2193 )"
People,"Sex and Age","85 years and over",22299,"(+/- 1709 )",15369,"(+/- 1720 )"
People,"Sex and Age","Median age (years)",39.1,"(+/- 0.5 )",40.0,"(+/- 0.5 )"
People,"Sex and Age","18 years and over",577763,"(+/- 6738 )",537922,"(+/- 6791 )"
People,"Sex and Age","65 years and over",137647,"(+/- 2672 )",131823,"(+/- 2710 )"
People,Race,"Total population",720786,"(+/- 8847 )",695086,"(+/- 8847 )"
People,Race,"One race",574234,"(+/- 10719 )",525170,"(+/- 9695 )"
People,Race,White,120751,"(+/- 5775 )",220460,"(+/- 6091 )"
People,Race,"Black or African American",17217,"(+/- 2163 )",9706,"(+/- 2137 )"
People,Race,"American Indian and Alaska Native",1527,"(+/- 768 )",4602,"(+/- 2258 )"
People,Race,Asian,364354,"(+/- 8586 )",183489,"(+/- 8618 )"
People,Race,"Native Hawaiian and Other Pacific Islander",57616,"(+/- 5370 )",94985,"(+/- 6915 )"
People,Race,"Some other race",12769,"(+/- 3022 )",11928,"(+/- 3796 )"
People,Race,"Two or more races",146552,"(+/- 7636 )",169916,"(+/- 7298 )"
People,"Hispanic or Latino and Race","Total population",720786,"(+/- 8847 )",695086,"(+/- 8847 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",65344,"(+/- 3906 )",85520,"(+/- 3906 )"
People,"Hispanic or Latino and Race",Mexican,21344,"(+/- 3604 )",29349,"(+/- 4591 )"
People,"Hispanic or Latino and Race","Puerto Rican",19839,"(+/- 4328 )",29540,"(+/- 3888 )"
People,"Hispanic or Latino and Race",Cuban,566,"(+/- 410 )",390,"(+/- 315 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",23595,"(+/- 4181 )",26241,"(+/- 5270 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",655442,"(+/- 8604 )",609566,"(+/- 8604 )"
People,"Place of Birth","Total population",720786,"(+/- 8847 )",695086,"(+/- 8847 )"
People,"Place of Birth",Native,554492,"(+/- 10668 )",588368,"(+/- 11100 )"
People,"Place of Birth","Born in United States",524540,"(+/- 10877 )",570146,"(+/- 10926 )"
People,"Place of Birth","State of residence",377866,"(+/- 10890 )",363107,"(+/- 11836 )"
People,"Place of Birth","Different state",146674,"(+/- 7073 )",207039,"(+/- 8341 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",29952,"(+/- 3847 )",18222,"(+/- 2910 )"
People,"Place of Birth","Foreign born",166294,"(+/- 9984 )",106718,"(+/- 6301 )"
People,Ancestry,"Total population",720786,"(+/- 8847 )",695086,"(+/- 8847 )"
People,Ancestry,American,9093,"(+/- 2024 )",9374,"(+/- 2356 )"
People,Ancestry,Arab,562,"(+/- 375 )",575,"(+/- 365 )"
People,Ancestry,Czech,1197,"(+/- 677 )",1257,"(+/- 859 )"
People,Ancestry,Danish,561,"(+/- 306 )",1693,"(+/- 807 )"
People,Ancestry,Dutch,1927,"(+/- 1048 )",4370,"(+/- 1672 )"
People,Ancestry,English,19609,"(+/- 2444 )",33077,"(+/- 4112 )"
People,Ancestry,"French (except Basque)",5961,"(+/- 1509 )",12027,"(+/- 1979 )"
People,Ancestry,"French Canadian",1145,"(+/- 609 )",1868,"(+/- 768 )"
People,Ancestry,German,34471,"(+/- 3929 )",46137,"(+/- 5060 )"
People,Ancestry,Greek,944,"(+/- 727 )",1041,"(+/- 562 )"
People,Ancestry,Hungarian,1325,"(+/- 742 )",2396,"(+/- 1203 )"
People,Ancestry,Irish,25296,"(+/- 3610 )",32206,"(+/- 3610 )"
People,Ancestry,Italian,11750,"(+/- 2213 )",20215,"(+/- 3259 )"
People,Ancestry,Lithuanian,680,"(+/- 697 )",406,"(+/- 269 )"
People,Ancestry,Norwegian,3908,"(+/- 1069 )",7113,"(+/- 1759 )"
People,Ancestry,Polish,4786,"(+/- 1839 )",9609,"(+/- 2371 )"
People,Ancestry,Portuguese,11148,"(+/- 2118 )",32945,"(+/- 4715 )"
People,Ancestry,Russian,1377,"(+/- 585 )",5222,"(+/- 1782 )"
People,Ancestry,Scotch-Irish,2736,"(+/- 1287 )",5210,"(+/- 1316 )"
People,Ancestry,Scottish,4652,"(+/- 1672 )",6800,"(+/- 1450 )"
People,Ancestry,Slovak,118,"(+/- 166 )",277,"(+/- 256 )"
People,Ancestry,"Subsaharan African",3104,"(+/- 2204 )",1406,"(+/- 726 )"
People,Ancestry,Swedish,3895,"(+/- 1095 )",4039,"(+/- 937 )"
People,Ancestry,Swiss,284,"(+/- 190 )",1252,"(+/- 464 )"
People,Ancestry,Ukrainian,807,"(+/- 561 )",1257,"(+/- 805 )"
People,Ancestry,Welsh,1357,"(+/- 557 )",3021,"(+/- 926 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1035,"(+/- 763 )",978,"(+/- 594 )"
People,"Veteran Status","Civilian population 18 years and over",550461,"(+/- 6533 )",518868,"(+/- 6485 )"
People,"Veteran Status","Civilian veterans",46590,"(+/- 3029 )",43778,"(+/- 2930 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",687126,"(+/- 8961 )",671589,"(+/- 8786 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",76782,"(+/- 4210 )",85068,"(+/- 4629 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",143005,"(+/- 4418 )",157103,"(+/- 4394 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",3517,"(+/- 853 )",6970,"(+/- 1697 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",408810,"(+/- 5616 )",384205,"(+/- 5825 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",27788,"(+/- 3094 )",34617,"(+/- 2907 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",135311,"(+/- 2627 )",130281,"(+/- 2713 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",45477,"(+/- 2864 )",43481,"(+/- 3004 )"
People,"Residence 1 Year Ago","Population 1 year and over",711329,"(+/- 8685 )",685490,"(+/- 8580 )"
People,"Residence 1 Year Ago","Same house",613832,"(+/- 12089 )",602142,"(+/- 10188 )"
People,"Residence 1 Year Ago","Different house in the U.S.",89117,"(+/- 9246 )",77157,"(+/- 7243 )"
