cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE"
People,"Sex and Age","Total population",711039,"(+/- 17932 )",685695,"(+/- 13061 )",702503,"(+/- 16991 )",676674,"(+/- 22481 )",739401,"(+/- 18229 )",710626,"(+/- 11904 )",727761,"(+/- 21736 )",717115,"(+/- 12382 )",719256,"(+/- 14265 )",706189,"(+/- 8111 )",721594,"(+/- 11023 )",679002,"(+/- 3364 )",698830,"(+/- 8782 )",727525,"(+/- 9880 )",685859,"(+/- 5590 )",694262,"(+/- 6576 )",666201,"(+/- 7618 )",702289,"(+/- 9496 )"
People,"Sex and Age",Male,332379,"(+/- 10430 )",317799,"(+/- 8833 )",351575,"(+/- 10898 )",342119,"(+/- 11242 )",364171,"(+/- 11034 )",349799,"(+/- 7185 )",354135,"(+/- 12706 )",355529,"(+/- 8307 )",351131,"(+/- 8732 )",350063,"(+/- 5193 )",354256,"(+/- 6606 )",335199,"(+/- 2471 )",341622,"(+/- 5513 )",359100,"(+/- 5851 )",342126,"(+/- 3531 )",345995,"(+/- 3989 )",328864,"(+/- 4494 )",341443,"(+/- 6290 )"
People,"Sex and Age",Female,378660,"(+/- 11050 )",367896,"(+/- 10023 )",350928,"(+/- 9164 )",334555,"(+/- 13241 )",375230,"(+/- 10599 )",360827,"(+/- 7396 )",373626,"(+/- 13648 )",361586,"(+/- 7897 )",368125,"(+/- 9390 )",356126,"(+/- 5782 )",367338,"(+/- 8129 )",343803,"(+/- 3157 )",357208,"(+/- 5743 )",368425,"(+/- 6828 )",343733,"(+/- 3874 )",348267,"(+/- 4338 )",337337,"(+/- 5217 )",360846,"(+/- 6235 )"
People,"Sex and Age","Under 5 years",41692,"(+/- 4203 )",41969,"(+/- 4104 )",41490,"(+/- 4321 )",40420,"(+/- 3548 )",44218,"(+/- 3504 )",39502,"(+/- 3395 )",41786,"(+/- 4841 )",48760,"(+/- 4870 )",43564,"(+/- 4401 )",39943,"(+/- 2154 )",42413,"(+/- 3168 )",39523,"(+/- 1379 )",34860,"(+/- 1998 )",41667,"(+/- 3297 )",39893,"(+/- 1790 )",38113,"(+/- 1982 )",39164,"(+/- 2195 )",43427,"(+/- 1884 )"
People,"Sex and Age","5 to 9 years",41800,"(+/- 4393 )",41423,"(+/- 4219 )",41231,"(+/- 4139 )",42056,"(+/- 3815 )",39366,"(+/- 2915 )",44238,"(+/- 3029 )",38981,"(+/- 3635 )",40942,"(+/- 4121 )",40528,"(+/- 4008 )",46089,"(+/- 3151 )",47001,"(+/- 3854 )",35364,"(+/- 2376 )",40091,"(+/- 2832 )",49185,"(+/- 4091 )",40934,"(+/- 2302 )",39452,"(+/- 2509 )",38287,"(+/- 2705 )",45888,"(+/- 3415 )"
People,"Sex and Age","10 to 14 years",45416,"(+/- 3684 )",45175,"(+/- 4088 )",49582,"(+/- 4816 )",46357,"(+/- 4497 )",37178,"(+/- 3553 )",46582,"(+/- 3393 )",41129,"(+/- 5421 )",52314,"(+/- 4305 )",40731,"(+/- 4535 )",48888,"(+/- 3139 )",53261,"(+/- 4116 )",44451,"(+/- 2500 )",37763,"(+/- 3037 )",57837,"(+/- 3996 )",44689,"(+/- 2257 )",43683,"(+/- 2687 )",43260,"(+/- 2359 )",44953,"(+/- 3432 )"
People,"Sex and Age","15 to 19 years",45527,"(+/- 4354 )",48816,"(+/- 4504 )",45699,"(+/- 4580 )",43155,"(+/- 4480 )",37286,"(+/- 3670 )",48961,"(+/- 3057 )",40842,"(+/- 4497 )",44250,"(+/- 3558 )",43938,"(+/- 4032 )",53256,"(+/- 2714 )",52482,"(+/- 3588 )",40869,"(+/- 2385 )",62333,"(+/- 3727 )",48726,"(+/- 3419 )",41439,"(+/- 2396 )",45985,"(+/- 2479 )",43643,"(+/- 2046 )",42318,"(+/- 2600 )"
People,"Sex and Age","20 to 24 years",48953,"(+/- 4252 )",50139,"(+/- 3619 )",40436,"(+/- 3079 )",50209,"(+/- 3939 )",46608,"(+/- 3431 )",36073,"(+/- 3575 )",50010,"(+/- 4705 )",42934,"(+/- 3440 )",39072,"(+/- 3737 )",45893,"(+/- 2625 )",51493,"(+/- 4334 )",44425,"(+/- 2299 )",70732,"(+/- 3904 )",40539,"(+/- 3090 )",39664,"(+/- 2004 )",46809,"(+/- 3182 )",42536,"(+/- 2392 )",42568,"(+/- 2951 )"
People,"Sex and Age","25 to 34 years",99374,"(+/- 6641 )",90833,"(+/- 5232 )",89309,"(+/- 6146 )",127158,"(+/- 5957 )",152856,"(+/- 6612 )",75265,"(+/- 4561 )",149733,"(+/- 8305 )",107100,"(+/- 5416 )",100058,"(+/- 6788 )",83713,"(+/- 3981 )",91337,"(+/- 5200 )",88871,"(+/- 2774 )",88299,"(+/- 3804 )",79774,"(+/- 4311 )",80425,"(+/- 2015 )",81806,"(+/- 3256 )",78610,"(+/- 2725 )",83802,"(+/- 3243 )"
People,"Sex and Age","35 to 44 years",86552,"(+/- 5377 )",76819,"(+/- 5142 )",96302,"(+/- 6147 )",99423,"(+/- 5873 )",112930,"(+/- 5972 )",90298,"(+/- 4571 )",103179,"(+/- 6137 )",94197,"(+/- 5599 )",94800,"(+/- 5904 )",90419,"(+/- 2959 )",104199,"(+/- 4689 )",82606,"(+/- 2341 )",79908,"(+/- 3824 )",95640,"(+/- 5175 )",84531,"(+/- 2874 )",81566,"(+/- 3080 )",80952,"(+/- 2766 )",86858,"(+/- 3583 )"
People,"Sex and Age","45 to 54 years",88226,"(+/- 4921 )",89515,"(+/- 5032 )",87947,"(+/- 6403 )",78661,"(+/- 5013 )",95278,"(+/- 5604 )",98412,"(+/- 4933 )",79226,"(+/- 5156 )",96279,"(+/- 5084 )",94490,"(+/- 5089 )",91853,"(+/- 3208 )",100170,"(+/- 4772 )",83800,"(+/- 2211 )",77804,"(+/- 2515 )",107210,"(+/- 4946 )",82692,"(+/- 2206 )",88790,"(+/- 3213 )",78402,"(+/- 2290 )",83614,"(+/- 1990 )"
