cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population",774014,"(+/- 2282 )",782989,"(+/- 1446 )",848170,"(+/- 1446 )",749897,"(+/- 2282 )"
People,"Sex and Age",Male,383643,"(+/- 2122 )",389118,"(+/- 2747 )",418155,"(+/- 1548 )",379468,"(+/- 2578 )"
People,"Sex and Age",Female,390371,"(+/- 2377 )",393871,"(+/- 2725 )",430015,"(+/- 1688 )",370429,"(+/- 2653 )"
People,"Sex and Age","Under 5 years",46510,"(+/- 1150 )",45267,"(+/- 963 )",55275,"(+/- 771 )",43554,"(+/- 1007 )"
People,"Sex and Age","5 to 9 years",49975,"(+/- 2692 )",47812,"(+/- 2252 )",61354,"(+/- 3304 )",46290,"(+/- 2195 )"
People,"Sex and Age","10 to 14 years",48317,"(+/- 2811 )",50860,"(+/- 2308 )",55595,"(+/- 3269 )",49365,"(+/- 2375 )"
People,"Sex and Age","15 to 19 years",53114,"(+/- 2134 )",51517,"(+/- 2135 )",55793,"(+/- 1706 )",54262,"(+/- 2295 )"
People,"Sex and Age","20 to 24 years",53818,"(+/- 1907 )",59176,"(+/- 1864 )",50524,"(+/- 2039 )",53688,"(+/- 2526 )"
People,"Sex and Age","25 to 34 years",93507,"(+/- 2471 )",99114,"(+/- 2669 )",116610,"(+/- 1763 )",91068,"(+/- 2164 )"
People,"Sex and Age","35 to 44 years",91244,"(+/- 2098 )",95078,"(+/- 1856 )",117937,"(+/- 1733 )",87838,"(+/- 1812 )"
People,"Sex and Age","45 to 54 years",89515,"(+/- 1688 )",90189,"(+/- 1967 )",101692,"(+/- 1480 )",77051,"(+/- 1328 )"
People,"Sex and Age","55 to 59 years",51660,"(+/- 2625 )",50762,"(+/- 2515 )",54501,"(+/- 2273 )",53461,"(+/- 2511 )"
People,"Sex and Age","60 to 64 years",54006,"(+/- 2560 )",54634,"(+/- 2297 )",49632,"(+/- 2183 )",49930,"(+/- 2251 )"
People,"Sex and Age","65 to 74 years",78879,"(+/- 1078 )",79173,"(+/- 1111 )",75665,"(+/- 1170 )",77926,"(+/- 1102 )"
People,"Sex and Age","75 to 84 years",44064,"(+/- 1978 )",39723,"(+/- 2030 )",37984,"(+/- 1621 )",43419,"(+/- 1577 )"
People,"Sex and Age","85 years and over",19405,"(+/- 1987 )",19684,"(+/- 1801 )",15608,"(+/- 1550 )",22045,"(+/- 1643 )"
People,"Sex and Age","Median age (years)",39.2,"(+/- 0.4 )",39.0,"(+/- 0.4 )",37.4,"(+/- 0.3 )",38.9,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",598732,"(+/- 1576 )",610678,"(+/- 1524 )",641273,"(+/- 1552 )",582557,"(+/- 1881 )"
People,"Sex and Age","65 years and over",142348,"(+/- 1247 )",138580,"(+/- 1351 )",129257,"(+/- 1091 )",143390,"(+/- 1309 )"
People,Race,"Total population",774014,"(+/- 2282 )",782989,"(+/- 1446 )",848170,"(+/- 1446 )",749897,"(+/- 2282 )"
People,Race,"One race",756065,"(+/- 3965 )",762997,"(+/- 3523 )",833617,"(+/- 3321 )",734143,"(+/- 3643 )"
People,Race,White,700111,"(+/- 3590 )",693896,"(+/- 3089 )",748148,"(+/- 2777 )",693381,"(+/- 2924 )"
People,Race,"Black or African American",32737,"(+/- 2882 )",38134,"(+/- 3397 )",43685,"(+/- 1663 )",14779,"(+/- 1885 )"
People,Race,"American Indian and Alaska Native",3350,"(+/- 665 )",2235,"(+/- 878 )",2702,"(+/- 786 )",3550,"(+/- 657 )"
People,Race,Asian,12561,"(+/- 1374 )",19484,"(+/- 1804 )",31585,"(+/- 1687 )",12504,"(+/- 1633 )"
People,Race,"Native Hawaiian and Other Pacific Islander",602,"(+/- 12 )",223,"(+/- 261 )",517,"(+/- 733 )",687,"(+/- 524 )"
People,Race,"Some other race",6704,"(+/- 2630 )",9025,"(+/- 2454 )",6980,"(+/- 2149 )",9242,"(+/- 1845 )"
People,Race,"Two or more races",17949,"(+/- 3164 )",19992,"(+/- 3204 )",14553,"(+/- 2655 )",15754,"(+/- 2601 )"
People,"Hispanic or Latino and Race","Total population",774014,"(+/- 2282 )",782989,"(+/- 1446 )",848170,"(+/- 1446 )",749897,"(+/- 2282 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",33640,"(+/- 684 )",45684,"(+/- 1227 )",60724,"(+/- 355 )",57434,"(+/- 755 )"
People,"Hispanic or Latino and Race",Mexican,23747,"(+/- 2612 )",33030,"(+/- 2499 )",46217,"(+/- 3190 )",44794,"(+/- 2557 )"
People,"Hispanic or Latino and Race","Puerto Rican",2392,"(+/- 1570 )",1864,"(+/- 833 )",1354,"(+/- 719 )",2128,"(+/- 945 )"
People,"Hispanic or Latino and Race",Cuban,313,"(+/- 296 )",1545,"(+/- 1186 )",668,"(+/- 495 )",336,"(+/- 257 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",7188,"(+/- 1934 )",9245,"(+/- 2325 )",12485,"(+/- 3209 )",10176,"(+/- 2276 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",740374,"(+/- 2300 )",737305,"(+/- 1845 )",787446,"(+/- 1520 )",692463,"(+/- 2244 )"
People,"Place of Birth","Total population",774014,"(+/- 2282 )",782989,"(+/- 1446 )",848170,"(+/- 1446 )",749897,"(+/- 2282 )"
People,"Place of Birth",Native,736942,"(+/- 5537 )",742112,"(+/- 4271 )",783594,"(+/- 5722 )",714653,"(+/- 3508 )"
People,"Place of Birth","Born in United States",732522,"(+/- 5306 )",736946,"(+/- 4442 )",776161,"(+/- 6170 )",709664,"(+/- 3956 )"
People,"Place of Birth","State of residence",568467,"(+/- 7618 )",523006,"(+/- 7205 )",570520,"(+/- 7737 )",537349,"(+/- 6452 )"
People,"Place of Birth","Different state",164055,"(+/- 7005 )",213940,"(+/- 7249 )",205641,"(+/- 6547 )",172315,"(+/- 5764 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",4420,"(+/- 1577 )",5166,"(+/- 1163 )",7433,"(+/- 2088 )",4989,"(+/- 1369 )"
People,"Place of Birth","Foreign born",37072,"(+/- 4666 )",40877,"(+/- 3940 )",64576,"(+/- 5414 )",35244,"(+/- 2827 )"
People,Ancestry,"Total population",774014,"(+/- 2282 )",782989,"(+/- 1446 )",848170,"(+/- 1446 )",749897,"(+/- 2282 )"
People,Ancestry,American,39756,"(+/- 3509 )",41258,"(+/- 3415 )",37178,"(+/- 3624 )",26440,"(+/- 2189 )"
People,Ancestry,Arab,2412,"(+/- 1212 )",2186,"(+/- 861 )",4812,"(+/- 2761 )",776,"(+/- 431 )"
People,Ancestry,Czech,25860,"(+/- 2810 )",9107,"(+/- 1536 )",7840,"(+/- 1895 )",7735,"(+/- 1165 )"
People,Ancestry,Danish,6306,"(+/- 1143 )",7329,"(+/- 1841 )",14281,"(+/- 2269 )",16450,"(+/- 2113 )"
People,Ancestry,Dutch,15318,"(+/- 2489 )",30841,"(+/- 2963 )",24756,"(+/- 4466 )",43753,"(+/- 3558 )"
People,Ancestry,English,52888,"(+/- 4270 )",59468,"(+/- 4534 )",73230,"(+/- 5118 )",45269,"(+/- 2940 )"
People,Ancestry,"French (except Basque)",13587,"(+/- 1840 )",13274,"(+/- 2019 )",14784,"(+/- 2309 )",13041,"(+/- 1873 )"
People,Ancestry,"French Canadian",2005,"(+/- 804 )",2034,"(+/- 896 )",1468,"(+/- 672 )",2630,"(+/- 769 )"
People,Ancestry,German,268711,"(+/- 8378 )",219110,"(+/- 8052 )",230960,"(+/- 10616 )",262397,"(+/- 7556 )"
People,Ancestry,Greek,1269,"(+/- 438 )",3356,"(+/- 1860 )",903,"(+/- 421 )",1803,"(+/- 1004 )"
People,Ancestry,Hungarian,435,"(+/- 250 )",872,"(+/- 448 )",1037,"(+/- 408 )",742,"(+/- 355 )"
People,Ancestry,Irish,102775,"(+/- 5781 )",105941,"(+/- 6686 )",106131,"(+/- 7326 )",81509,"(+/- 4584 )"
People,Ancestry,Italian,10914,"(+/- 2154 )",17954,"(+/- 3244 )",24047,"(+/- 3263 )",9250,"(+/- 1640 )"
People,Ancestry,Lithuanian,242,"(+/- 209 )",520,"(+/- 279 )",504,"(+/- 363 )",1043,"(+/- 713 )"
People,Ancestry,Norwegian,36663,"(+/- 2955 )",21787,"(+/- 2811 )",34269,"(+/- 3886 )",52688,"(+/- 3558 )"
People,Ancestry,Polish,7717,"(+/- 1587 )",11800,"(+/- 1973 )",9846,"(+/- 1887 )",7396,"(+/- 1382 )"
People,Ancestry,Portuguese,309,"(+/- 272 )",197,"(+/- 196 )",589,"(+/- 436 )",380,"(+/- 243 )"
People,Ancestry,Russian,2482,"(+/- 1257 )",1443,"(+/- 647 )",2515,"(+/- 897 )",2384,"(+/- 934 )"
People,Ancestry,Scotch-Irish,5354,"(+/- 1294 )",5442,"(+/- 1041 )",6497,"(+/- 1304 )",4956,"(+/- 1049 )"
People,Ancestry,Scottish,9904,"(+/- 1517 )",13712,"(+/- 1843 )",13124,"(+/- 1903 )",8315,"(+/- 1626 )"
People,Ancestry,Slovak,269,"(+/- 191 )",513,"(+/- 417 )",115,"(+/- 125 )",281,"(+/- 204 )"
People,Ancestry,"Subsaharan African",6289,"(+/- 1831 )",9063,"(+/- 3000 )",11200,"(+/- 3179 )",4749,"(+/- 1522 )"
People,Ancestry,Swedish,14448,"(+/- 2232 )",21283,"(+/- 3152 )",23202,"(+/- 2789 )",22467,"(+/- 2536 )"
People,Ancestry,Swiss,4554,"(+/- 1253 )",4410,"(+/- 1540 )",3293,"(+/- 1172 )",3481,"(+/- 1086 )"
People,Ancestry,Ukrainian,1054,"(+/- 944 )",935,"(+/- 459 )",1524,"(+/- 1032 )",816,"(+/- 787 )"
People,Ancestry,Welsh,4031,"(+/- 970 )",6577,"(+/- 1142 )",7571,"(+/- 1703 )",2742,"(+/- 645 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",604,"(+/- 400 )",768,"(+/- 618 )",308,"(+/- 252 )",144,"(+/- 144 )"
People,"Veteran Status","Civilian population 18 years and over",598638,"(+/- 1572 )",610196,"(+/- 1581 )",640609,"(+/- 1529 )",582010,"(+/- 1976 )"
People,"Veteran Status","Civilian veterans",46543,"(+/- 3112 )",49092,"(+/- 2730 )",46837,"(+/- 3239 )",42782,"(+/- 2941 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",763840,"(+/- 2547 )",771538,"(+/- 2127 )",838594,"(+/- 1660 )",737942,"(+/- 2607 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",92307,"(+/- 3777 )",92419,"(+/- 3792 )",95486,"(+/- 5778 )",88336,"(+/- 3432 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",174901,"(+/- 1528 )",172128,"(+/- 1550 )",206379,"(+/- 1265 )",166554,"(+/- 2048 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",6357,"(+/- 1394 )",5720,"(+/- 1188 )",8055,"(+/- 1542 )",6455,"(+/- 1163 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",452541,"(+/- 2168 )",465940,"(+/- 2207 )",507152,"(+/- 1884 )",434814,"(+/- 2410 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",43284,"(+/- 3041 )",44725,"(+/- 2966 )",47739,"(+/- 4533 )",41118,"(+/- 2609 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",136398,"(+/- 1564 )",133470,"(+/- 1312 )",125063,"(+/- 1349 )",136574,"(+/- 1591 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",42666,"(+/- 2471 )",41974,"(+/- 2234 )",39692,"(+/- 2604 )",40763,"(+/- 2202 )"
People,"Residence 1 Year Ago","Population 1 year and over",766796,"(+/- 2496 )",775136,"(+/- 1962 )",838540,"(+/- 2315 )",740913,"(+/- 2363 )"
People,"Residence 1 Year Ago","Same house",656516,"(+/- 8255 )",655588,"(+/- 8368 )",732781,"(+/- 6792 )",641643,"(+/- 6876 )"
People,"Residence 1 Year Ago","Different house in the U.S.",107529,"(+/- 7174 )",114059,"(+/- 7418 )",102367,"(+/- 6271 )",96778,"(+/- 5832 )"
People,"Residence 1 Year Ago","Same county",68896,"(+/- 6155 )",66478,"(+/- 6235 )",57601,"(+/- 5652 )",48817,"(+/- 4552 )"
People,"Residence 1 Year Ago","Different county",38633,"(+/- 3998 )",47581,"(+/- 5483 )",44766,"(+/- 4392 )",47961,"(+/- 3960 )"
People,"Residence 1 Year Ago","Same state",24137,"(+/- 2694 )",24822,"(+/- 3422 )",27084,"(+/- 3583 )",30247,"(+/- 3164 )"
People,"Residence 1 Year Ago","Different state",14496,"(+/- 2767 )",22759,"(+/- 3835 )",17682,"(+/- 2698 )",17714,"(+/- 2759 )"
People,"Residence 1 Year Ago",Abroad,2751,"(+/- 1247 )",5489,"(+/- 3095 )",3392,"(+/- 1519 )",2492,"(+/- 954 )"
Workers,"Employment Status","Population 16 years and over",620740,"(+/- 2065 )",631285,"(+/- 1880 )",664099,"(+/- 2086 )",600774,"(+/- 2124 )"
Workers,"Employment Status","In labor force",415520,"(+/- 5367 )",409578,"(+/- 5982 )",463389,"(+/- 5954 )",394214,"(+/- 5073 )"
Workers,"Employment Status","Civilian labor force",415426,"(+/- 5374 )",409096,"(+/- 5936 )",462724,"(+/- 5918 )",393667,"(+/- 5092 )"
Workers,"Employment Status",Employed,399688,"(+/- 5386 )",392326,"(+/- 6408 )",443737,"(+/- 7038 )",382805,"(+/- 5037 )"
Workers,"Employment Status",Unemployed,15738,"(+/- 2264 )",16770,"(+/- 2454 )",18987,"(+/- 3108 )",10862,"(+/- 1623 )"
Workers,"Employment Status","Armed Forces",94,"(+/- 90 )",482,"(+/- 261 )",665,"(+/- 433 )",547,"(+/- 333 )"
Workers,"Employment Status","Not in labor force",205220,"(+/- 5545 )",221707,"(+/- 5638 )",200710,"(+/- 5671 )",206560,"(+/- 4568 )"
Workers,"Employment Status","Civilian labor force",415426,"(+/- 5374 )",409096,"(+/- 5936 )",462724,"(+/- 5918 )",393667,"(+/- 5092 )"
Workers,"Employment Status","Unemployment Rate",3.8,"(+/- 0.5 )",4.1,"(+/- 0.6 )",4.1,"(+/- 0.7 )",2.8,"(+/- 0.4 )"
