cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population",694498,"(+/- 2001 )",715881,"(+/- 2698 )",779860,"(+/- 1993 )",723075,"(+/- 1798 )"
People,"Sex and Age",Male,348976,"(+/- 2399 )",355928,"(+/- 2886 )",382973,"(+/- 1433 )",358410,"(+/- 1809 )"
People,"Sex and Age",Female,345522,"(+/- 2409 )",359953,"(+/- 2747 )",396887,"(+/- 1505 )",364665,"(+/- 1833 )"
People,"Sex and Age","Under 5 years",43748,"(+/- 1573 )",40655,"(+/- 1309 )",51301,"(+/- 446 )",47532,"(+/- 705 )"
People,"Sex and Age","5 to 9 years",45522,"(+/- 2828 )",49568,"(+/- 3251 )",53572,"(+/- 2702 )",48300,"(+/- 2944 )"
People,"Sex and Age","10 to 14 years",47713,"(+/- 2326 )",43237,"(+/- 2650 )",56244,"(+/- 2719 )",56114,"(+/- 2967 )"
People,"Sex and Age","15 to 19 years",50025,"(+/- 3161 )",51133,"(+/- 2238 )",49976,"(+/- 1507 )",47726,"(+/- 1209 )"
People,"Sex and Age","20 to 24 years",60922,"(+/- 3293 )",60123,"(+/- 2145 )",45652,"(+/- 1692 )",46170,"(+/- 1650 )"
People,"Sex and Age","25 to 34 years",86894,"(+/- 2974 )",85637,"(+/- 2297 )",108426,"(+/- 1305 )",96416,"(+/- 1310 )"
People,"Sex and Age","35 to 44 years",82386,"(+/- 2656 )",81591,"(+/- 2054 )",109903,"(+/- 978 )",89025,"(+/- 1217 )"
People,"Sex and Age","45 to 54 years",68924,"(+/- 2562 )",81071,"(+/- 2046 )",95944,"(+/- 857 )",81352,"(+/- 1087 )"
People,"Sex and Age","55 to 59 years",41748,"(+/- 2280 )",48092,"(+/- 2675 )",47500,"(+/- 2431 )",44375,"(+/- 2498 )"
People,"Sex and Age","60 to 64 years",45007,"(+/- 2439 )",47869,"(+/- 2738 )",48359,"(+/- 2468 )",49566,"(+/- 2626 )"
People,"Sex and Age","65 to 74 years",66340,"(+/- 1811 )",73529,"(+/- 1463 )",68031,"(+/- 803 )",66766,"(+/- 965 )"
People,"Sex and Age","75 to 84 years",36007,"(+/- 1845 )",38623,"(+/- 1524 )",30140,"(+/- 1724 )",35359,"(+/- 1527 )"
People,"Sex and Age","85 years and over",19262,"(+/- 1644 )",14753,"(+/- 1475 )",14812,"(+/- 1770 )",14374,"(+/- 1313 )"
People,"Sex and Age","Median age (years)",36.3,"(+/- 0.4 )",38.5,"(+/- 0.6 )",37.1,"(+/- 0.3 )",36.9,"(+/- 0.2 )"
People,"Sex and Age","18 years and over",531633,"(+/- 2382 )",554015,"(+/- 2510 )",585868,"(+/- 1294 )",541497,"(+/- 1553 )"
People,"Sex and Age","65 years and over",121609,"(+/- 1980 )",126905,"(+/- 1697 )",112983,"(+/- 561 )",116499,"(+/- 969 )"
People,Race,"Total population",694498,"(+/- 2001 )",715881,"(+/- 2698 )",779860,"(+/- 1993 )",723075,"(+/- 1798 )"
People,Race,"One race",675594,"(+/- 3557 )",685595,"(+/- 3907 )",752881,"(+/- 3670 )",690473,"(+/- 4014 )"
People,Race,White,610172,"(+/- 5126 )",618520,"(+/- 4061 )",616313,"(+/- 4559 )",591897,"(+/- 5058 )"
People,Race,"Black or African American",19109,"(+/- 2199 )",34000,"(+/- 1944 )",65806,"(+/- 2332 )",48322,"(+/- 3124 )"
People,Race,"American Indian and Alaska Native",6259,"(+/- 2351 )",9299,"(+/- 1254 )",2039,"(+/- 734 )",6263,"(+/- 2023 )"
People,Race,Asian,11060,"(+/- 1297 )",11129,"(+/- 1265 )",40136,"(+/- 1575 )",24693,"(+/- 1546 )"
People,Race,"Native Hawaiian and Other Pacific Islander",1446,"(+/- 1340 )",297,"(+/- 335 )",507,"(+/- 314 )",203,"(+/- 212 )"
People,Race,"Some other race",27548,"(+/- 4023 )",12350,"(+/- 2753 )",28080,"(+/- 3944 )",19095,"(+/- 4158 )"
People,Race,"Two or more races",18904,"(+/- 2972 )",30286,"(+/- 2544 )",26979,"(+/- 3152 )",32602,"(+/- 3299 )"
People,"Hispanic or Latino and Race","Total population",694498,"(+/- 2001 )",715881,"(+/- 2698 )",779860,"(+/- 1993 )",723075,"(+/- 1798 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",113616,"(+/- 961 )",50531,"(+/- 748 )",97137,"(+/- 132 )",93520,"(+/- 983 )"
People,"Hispanic or Latino and Race",Mexican,92046,"(+/- 4514 )",40075,"(+/- 2433 )",72289,"(+/- 4154 )",75210,"(+/- 4113 )"
People,"Hispanic or Latino and Race","Puerto Rican",3717,"(+/- 1623 )",2376,"(+/- 1272 )",4641,"(+/- 1978 )",2595,"(+/- 1064 )"
People,"Hispanic or Latino and Race",Cuban,2005,"(+/- 1169 )",1184,"(+/- 1012 )",1472,"(+/- 984 )",617,"(+/- 397 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",15848,"(+/- 3757 )",6896,"(+/- 1682 )",18735,"(+/- 3546 )",15098,"(+/- 3967 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",580882,"(+/- 1840 )",665350,"(+/- 2963 )",682723,"(+/- 1971 )",629555,"(+/- 1696 )"
People,"Place of Birth","Total population",694498,"(+/- 2001 )",715881,"(+/- 2698 )",779860,"(+/- 1993 )",723075,"(+/- 1798 )"
People,"Place of Birth",Native,641710,"(+/- 3833 )",696316,"(+/- 3345 )",694599,"(+/- 6482 )",671789,"(+/- 4257 )"
People,"Place of Birth","Born in United States",634706,"(+/- 4081 )",690825,"(+/- 3452 )",685911,"(+/- 6634 )",663872,"(+/- 4952 )"
People,"Place of Birth","State of residence",446102,"(+/- 7334 )",460103,"(+/- 7530 )",346312,"(+/- 8428 )",470718,"(+/- 8768 )"
People,"Place of Birth","Different state",188604,"(+/- 6652 )",230722,"(+/- 7536 )",339599,"(+/- 8799 )",193154,"(+/- 7658 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",7004,"(+/- 1673 )",5491,"(+/- 1195 )",8688,"(+/- 1636 )",7917,"(+/- 2279 )"
People,"Place of Birth","Foreign born",52788,"(+/- 3428 )",19565,"(+/- 2358 )",85261,"(+/- 5935 )",51286,"(+/- 3876 )"
People,Ancestry,"Total population",694498,"(+/- 2001 )",715881,"(+/- 2698 )",779860,"(+/- 1993 )",723075,"(+/- 1798 )"
People,Ancestry,American,42958,"(+/- 4058 )",55915,"(+/- 4965 )",30248,"(+/- 3675 )",44339,"(+/- 4332 )"
People,Ancestry,Arab,1407,"(+/- 821 )",1010,"(+/- 454 )",3530,"(+/- 1601 )",2281,"(+/- 892 )"
People,Ancestry,Czech,7844,"(+/- 1374 )",5454,"(+/- 2333 )",3401,"(+/- 1060 )",3643,"(+/- 1215 )"
People,Ancestry,Danish,2997,"(+/- 910 )",2636,"(+/- 858 )",4225,"(+/- 1626 )",2709,"(+/- 834 )"
People,Ancestry,Dutch,10600,"(+/- 2219 )",10288,"(+/- 1779 )",11615,"(+/- 2139 )",11731,"(+/- 2943 )"
People,Ancestry,English,55751,"(+/- 3924 )",91254,"(+/- 6643 )",86553,"(+/- 5949 )",66202,"(+/- 5106 )"
People,Ancestry,"French (except Basque)",15369,"(+/- 2019 )",14176,"(+/- 2045 )",18034,"(+/- 2594 )",14261,"(+/- 2458 )"
People,Ancestry,"French Canadian",2918,"(+/- 975 )",2720,"(+/- 1027 )",1386,"(+/- 481 )",1862,"(+/- 766 )"
People,Ancestry,German,185389,"(+/- 6722 )",158349,"(+/- 6745 )",177442,"(+/- 7293 )",154761,"(+/- 7960 )"
People,Ancestry,Greek,479,"(+/- 284 )",856,"(+/- 471 )",1810,"(+/- 889 )",1597,"(+/- 937 )"
People,Ancestry,Hungarian,1125,"(+/- 836 )",2154,"(+/- 1881 )",1699,"(+/- 838 )",1601,"(+/- 741 )"
People,Ancestry,Irish,61656,"(+/- 4210 )",81138,"(+/- 5671 )",94819,"(+/- 6668 )",71279,"(+/- 5971 )"
People,Ancestry,Italian,10031,"(+/- 2936 )",17927,"(+/- 2554 )",24336,"(+/- 2933 )",13504,"(+/- 2329 )"
People,Ancestry,Lithuanian,111,"(+/- 120 )",146,"(+/- 153 )",1551,"(+/- 1023 )",487,"(+/- 638 )"
People,Ancestry,Norwegian,6679,"(+/- 1388 )",6344,"(+/- 1557 )",11191,"(+/- 2128 )",4623,"(+/- 1379 )"
People,Ancestry,Polish,7427,"(+/- 1560 )",8913,"(+/- 2086 )",14498,"(+/- 2146 )",7766,"(+/- 2088 )"
People,Ancestry,Portuguese,159,"(+/- 119 )",1290,"(+/- 791 )",844,"(+/- 548 )",398,"(+/- 335 )"
People,Ancestry,Russian,6522,"(+/- 1520 )",3786,"(+/- 1660 )",5634,"(+/- 1997 )",6329,"(+/- 2631 )"
People,Ancestry,Scotch-Irish,6479,"(+/- 1040 )",7679,"(+/- 1300 )",8155,"(+/- 1761 )",6381,"(+/- 1163 )"
People,Ancestry,Scottish,9615,"(+/- 1678 )",11904,"(+/- 1737 )",15093,"(+/- 2480 )",11525,"(+/- 1808 )"
People,Ancestry,Slovak,512,"(+/- 439 )",81,"(+/- 79 )",730,"(+/- 413 )",650,"(+/- 542 )"
People,Ancestry,"Subsaharan African",4235,"(+/- 1729 )",2034,"(+/- 958 )",14286,"(+/- 4214 )",5624,"(+/- 1904 )"
People,Ancestry,Swedish,16009,"(+/- 2416 )",12683,"(+/- 2358 )",14112,"(+/- 2779 )",11945,"(+/- 2193 )"
People,Ancestry,Swiss,3503,"(+/- 1045 )",3258,"(+/- 988 )",2791,"(+/- 836 )",4325,"(+/- 1401 )"
People,Ancestry,Ukrainian,1116,"(+/- 817 )",1111,"(+/- 622 )",856,"(+/- 392 )",975,"(+/- 608 )"
People,Ancestry,Welsh,4841,"(+/- 1086 )",7187,"(+/- 1580 )",8986,"(+/- 2207 )",5075,"(+/- 1175 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",645,"(+/- 453 )",942,"(+/- 889 )",512,"(+/- 372 )",212,"(+/- 156 )"
People,"Veteran Status","Civilian population 18 years and over",519564,"(+/- 2743 )",550496,"(+/- 2744 )",584935,"(+/- 1477 )",537447,"(+/- 2605 )"
People,"Veteran Status","Civilian veterans",41032,"(+/- 2712 )",44097,"(+/- 2466 )",37542,"(+/- 2818 )",42362,"(+/- 2384 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",668584,"(+/- 2745 )",699624,"(+/- 3323 )",773928,"(+/- 2595 )",709695,"(+/- 3084 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",94326,"(+/- 4460 )",103798,"(+/- 4388 )",78732,"(+/- 4400 )",107771,"(+/- 4840 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",162575,"(+/- 1879 )",161177,"(+/- 1999 )",193719,"(+/- 1141 )",181201,"(+/- 1299 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",7097,"(+/- 1384 )",9632,"(+/- 1844 )",7740,"(+/- 1296 )",9883,"(+/- 1606 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",390934,"(+/- 3399 )",416281,"(+/- 3185 )",470387,"(+/- 1926 )",415533,"(+/- 2795 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",47172,"(+/- 3517 )",51883,"(+/- 3482 )",39041,"(+/- 3254 )",57642,"(+/- 4020 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",115075,"(+/- 2090 )",122166,"(+/- 1793 )",109822,"(+/- 783 )",112961,"(+/- 1043 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",40057,"(+/- 2138 )",42283,"(+/- 2292 )",31951,"(+/- 2210 )",40246,"(+/- 2368 )"
People,"Residence 1 Year Ago","Population 1 year and over",686100,"(+/- 2460 )",709364,"(+/- 2617 )",770192,"(+/- 2335 )",713862,"(+/- 2249 )"
People,"Residence 1 Year Ago","Same house",577314,"(+/- 6960 )",592369,"(+/- 7521 )",656054,"(+/- 10015 )",601160,"(+/- 7655 )"
People,"Residence 1 Year Ago","Different house in the U.S.",104130,"(+/- 6749 )",114514,"(+/- 7389 )",111141,"(+/- 9129 )",109866,"(+/- 7477 )"
People,"Residence 1 Year Ago","Same county",56345,"(+/- 5874 )",60087,"(+/- 5944 )",60882,"(+/- 6849 )",75475,"(+/- 6987 )"
People,"Residence 1 Year Ago","Different county",47785,"(+/- 4104 )",54427,"(+/- 4972 )",50259,"(+/- 6117 )",34391,"(+/- 4701 )"
People,"Residence 1 Year Ago","Same state",27994,"(+/- 2978 )",30422,"(+/- 4121 )",18126,"(+/- 2998 )",15672,"(+/- 2825 )"
People,"Residence 1 Year Ago","Different state",19791,"(+/- 3063 )",24005,"(+/- 3550 )",32133,"(+/- 5242 )",18719,"(+/- 4021 )"
People,"Residence 1 Year Ago",Abroad,4656,"(+/- 1529 )",2481,"(+/- 1081 )",2997,"(+/- 935 )",2836,"(+/- 1115 )"
Workers,"Employment Status","Population 16 years and over",548757,"(+/- 2831 )",573376,"(+/- 2707 )",608382,"(+/- 1949 )",561961,"(+/- 1995 )"
Workers,"Employment Status","In labor force",364297,"(+/- 4853 )",370441,"(+/- 4560 )",429255,"(+/- 4517 )",369061,"(+/- 4846 )"
Workers,"Employment Status","Civilian labor force",352228,"(+/- 5023 )",366922,"(+/- 4695 )",428322,"(+/- 4348 )",365011,"(+/- 5390 )"
Workers,"Employment Status",Employed,339960,"(+/- 4970 )",354073,"(+/- 5574 )",414921,"(+/- 4698 )",346792,"(+/- 5836 )"
Workers,"Employment Status",Unemployed,12268,"(+/- 1974 )",12849,"(+/- 2228 )",13401,"(+/- 1809 )",18219,"(+/- 2586 )"
Workers,"Employment Status","Armed Forces",12069,"(+/- 1768 )",3519,"(+/- 1123 )",933,"(+/- 681 )",4050,"(+/- 1935 )"
Workers,"Employment Status","Not in labor force",184460,"(+/- 4348 )",202935,"(+/- 4446 )",179127,"(+/- 4112 )",192900,"(+/- 5270 )"
Workers,"Employment Status","Civilian labor force",352228,"(+/- 5023 )",366922,"(+/- 4695 )",428322,"(+/- 4348 )",365011,"(+/- 5390 )"
Workers,"Employment Status","Unemployment Rate",3.5,"(+/- 0.6 )",3.5,"(+/- 0.6 )",3.1,"(+/- 0.4 )",5.0,"(+/- 0.7 )"
Workers,"Commuting to Work","Workers 16 years and over",344356,"(+/- 4998 )",351769,"(+/- 5790 )",405893,"(+/- 5281 )",345992,"(+/- 5766 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",275338,"(+/- 5157 )",287068,"(+/- 6951 )",340823,"(+/- 6096 )",294358,"(+/- 6441 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",34394,"(+/- 3023 )",32050,"(+/- 3316 )",29197,"(+/- 3167 )",26946,"(+/- 3132 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",1177,"(+/- 602 )",2786,"(+/- 928 )",1317,"(+/- 540 )",1945,"(+/- 836 )"
Workers,"Commuting to Work",Walked,11973,"(+/- 1795 )",9727,"(+/- 1826 )",4029,"(+/- 1340 )",6341,"(+/- 1203 )"
Workers,"Commuting to Work","Other means",4338,"(+/- 1337 )",3158,"(+/- 946 )",2618,"(+/- 766 )",4319,"(+/- 1021 )"
Workers,"Commuting to Work","Worked from home",17136,"(+/- 1888 )",16980,"(+/- 2463 )",27909,"(+/- 2483 )",12083,"(+/- 1694 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",16.7,"(+/- 0.6 )",20.9,"(+/- 0.5 )",21.5,"(+/- 0.4 )",20.5,"(+/- 0.7 )"
Workers,Occupation,"Civilian employed population 16 years and over",339960,"(+/- 4970 )",354073,"(+/- 5574 )",414921,"(+/- 4698 )",346792,"(+/- 5836 )"
Workers,Occupation,"Management, business, science, and arts occupations",119953,"(+/- 4903 )",131294,"(+/- 5040 )",203239,"(+/- 4990 )",127466,"(+/- 4804 )"
Workers,Occupation,"Service occupations",61644,"(+/- 4120 )",56663,"(+/- 4158 )",61170,"(+/- 4109 )",57761,"(+/- 4033 )"
Workers,Occupation,"Sales and office occupations",63753,"(+/- 3903 )",72920,"(+/- 4767 )",80861,"(+/- 3812 )",69062,"(+/- 4206 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",40562,"(+/- 2961 )",32943,"(+/- 3122 )",26699,"(+/- 2870 )",40459,"(+/- 3079 )"
Workers,Occupation,"Production, transportation, and material moving occupations",54048,"(+/- 3558 )",60253,"(+/- 3644 )",42952,"(+/- 3419 )",52044,"(+/- 3864 )"
Workers,Industry,"Civilian employed population 16 years and over",339960,"(+/- 4970 )",354073,"(+/- 5574 )",414921,"(+/- 4698 )",346792,"(+/- 5836 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",27487,"(+/- 2027 )",8244,"(+/- 1327 )",1302,"(+/- 500 )",7732,"(+/- 966 )"
Workers,Industry,Construction,20842,"(+/- 2231 )",23507,"(+/- 2757 )",27106,"(+/- 2971 )",24555,"(+/- 2665 )"
Workers,Industry,Manufacturing,41496,"(+/- 3011 )",45098,"(+/- 3652 )",35565,"(+/- 2738 )",61035,"(+/- 3859 )"
