cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
People,"Sex and Age","Total population",799917,"(+/- 13340 )",788021,"(+/- 13871 )",785101,"(+/- 3139 )",737674,"(+/- 4597 )",734377,"(+/- 9114 )",803704,"(+/- 12526 )"
People,"Sex and Age",Male,383359,"(+/- 8087 )",381944,"(+/- 8123 )",381575,"(+/- 2959 )",365148,"(+/- 3302 )",367375,"(+/- 5972 )",388801,"(+/- 7879 )"
People,"Sex and Age",Female,416558,"(+/- 7592 )",406077,"(+/- 8259 )",403526,"(+/- 3000 )",372526,"(+/- 3841 )",367002,"(+/- 5000 )",414903,"(+/- 7838 )"
People,"Sex and Age","Under 5 years",47163,"(+/- 3085 )",50376,"(+/- 2957 )",52438,"(+/- 1970 )",48749,"(+/- 2175 )",45337,"(+/- 2549 )",48914,"(+/- 3875 )"
People,"Sex and Age","5 to 9 years",51161,"(+/- 4278 )",46522,"(+/- 5067 )",56094,"(+/- 3111 )",47625,"(+/- 3788 )",45746,"(+/- 3624 )",50941,"(+/- 5068 )"
People,"Sex and Age","10 to 14 years",53816,"(+/- 4005 )",52339,"(+/- 4185 )",53363,"(+/- 3601 )",48042,"(+/- 3365 )",51705,"(+/- 3478 )",57890,"(+/- 4482 )"
People,"Sex and Age","15 to 19 years",51024,"(+/- 3634 )",43917,"(+/- 3656 )",52868,"(+/- 3185 )",47236,"(+/- 2677 )",51193,"(+/- 2838 )",55474,"(+/- 3110 )"
People,"Sex and Age","20 to 24 years",45925,"(+/- 3669 )",48558,"(+/- 3618 )",45789,"(+/- 2815 )",48082,"(+/- 3139 )",48520,"(+/- 2841 )",61786,"(+/- 4600 )"
People,"Sex and Age","25 to 34 years",102933,"(+/- 4505 )",122581,"(+/- 4576 )",110513,"(+/- 3544 )",96316,"(+/- 4131 )",92668,"(+/- 4040 )",118411,"(+/- 5399 )"
People,"Sex and Age","35 to 44 years",105071,"(+/- 4554 )",103678,"(+/- 4178 )",102082,"(+/- 3455 )",91919,"(+/- 2974 )",95897,"(+/- 4487 )",108138,"(+/- 4605 )"
People,"Sex and Age","45 to 54 years",95773,"(+/- 3692 )",89635,"(+/- 3942 )",92121,"(+/- 2968 )",87824,"(+/- 2688 )",85682,"(+/- 3804 )",93689,"(+/- 3341 )"
People,"Sex and Age","55 to 59 years",53132,"(+/- 3012 )",52682,"(+/- 3616 )",48566,"(+/- 3574 )",44238,"(+/- 2573 )",53233,"(+/- 3457 )",43907,"(+/- 3527 )"
People,"Sex and Age","60 to 64 years",54840,"(+/- 3620 )",56891,"(+/- 3831 )",52837,"(+/- 3638 )",49179,"(+/- 3078 )",44482,"(+/- 2887 )",49089,"(+/- 3476 )"
People,"Sex and Age","65 to 74 years",83562,"(+/- 2305 )",76212,"(+/- 3073 )",70731,"(+/- 1832 )",75392,"(+/- 1858 )",69335,"(+/- 2359 )",71489,"(+/- 2609 )"
People,"Sex and Age","75 to 84 years",40969,"(+/- 2424 )",34019,"(+/- 1915 )",34868,"(+/- 2272 )",38802,"(+/- 2255 )",40556,"(+/- 2046 )",30899,"(+/- 2376 )"
People,"Sex and Age","85 years and over",14548,"(+/- 1925 )",10611,"(+/- 1493 )",12831,"(+/- 2119 )",14270,"(+/- 1951 )",10023,"(+/- 1457 )",13077,"(+/- 1886 )"
People,"Sex and Age","Median age (years)",39.1,"(+/- 0.7 )",37.6,"(+/- 0.8 )",36.8,"(+/- 0.4 )",38.3,"(+/- 0.5 )",38.3,"(+/- 0.6 )",35.7,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",616706,"(+/- 9998 )",612180,"(+/- 10085 )",591932,"(+/- 2339 )",565080,"(+/- 3462 )",562609,"(+/- 6520 )",615401,"(+/- 8516 )"
People,"Sex and Age","65 years and over",139079,"(+/- 3118 )",120842,"(+/- 3568 )",118430,"(+/- 1521 )",128464,"(+/- 2096 )",119914,"(+/- 2503 )",115465,"(+/- 3339 )"
People,Race,"Total population",799917,"(+/- 13340 )",788021,"(+/- 13871 )",785101,"(+/- 3139 )",737674,"(+/- 4597 )",734377,"(+/- 9114 )",803704,"(+/- 12526 )"
People,Race,"One race",781406,"(+/- 13422 )",773087,"(+/- 14569 )",768980,"(+/- 4713 )",719151,"(+/- 6305 )",720788,"(+/- 9515 )",792315,"(+/- 11901 )"
People,Race,White,635105,"(+/- 11211 )",247449,"(+/- 9514 )",548286,"(+/- 3063 )",448340,"(+/- 4811 )",445163,"(+/- 7595 )",550441,"(+/- 7605 )"
People,Race,"Black or African American",112319,"(+/- 7968 )",484763,"(+/- 11955 )",196006,"(+/- 3300 )",250359,"(+/- 5867 )",258019,"(+/- 7281 )",202551,"(+/- 9800 )"
People,Race,"American Indian and Alaska Native",9158,"(+/- 1680 )",3418,"(+/- 998 )",3488,"(+/- 1007 )",6705,"(+/- 2176 )",2197,"(+/- 554 )",3595,"(+/- 1441 )"
People,Race,Asian,17842,"(+/- 2821 )",20172,"(+/- 2510 )",11971,"(+/- 1208 )",7629,"(+/- 870 )",5660,"(+/- 1736 )",18232,"(+/- 3363 )"
People,Race,"Native Hawaiian and Other Pacific Islander",46,"(+/- 80 )",29,"(+/- 48 )",194,"(+/- 279 )",699,"(+/- 507 )",3,"(+/- 7 )",0,"(+/- 224 )"
People,Race,"Some other race",6936,"(+/- 3451 )",17256,"(+/- 4441 )",9035,"(+/- 2389 )",5419,"(+/- 1840 )",9746,"(+/- 2910 )",17496,"(+/- 4079 )"
People,Race,"Two or more races",18511,"(+/- 3697 )",14934,"(+/- 3138 )",16121,"(+/- 3074 )",18523,"(+/- 3842 )",13589,"(+/- 3024 )",11389,"(+/- 3920 )"
