cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population",686731,"(+/- 4008 )",657481,"(+/- 4008 )"
People,"Sex and Age",Male,332607,"(+/- 3366 )",323723,"(+/- 2789 )"
People,"Sex and Age",Female,354124,"(+/- 2565 )",333758,"(+/- 2571 )"
People,"Sex and Age","Under 5 years",31128,"(+/- 1109 )",31685,"(+/- 1205 )"
People,"Sex and Age","5 to 9 years",33286,"(+/- 2415 )",31588,"(+/- 2049 )"
People,"Sex and Age","10 to 14 years",36270,"(+/- 2598 )",36600,"(+/- 2294 )"
People,"Sex and Age","15 to 19 years",39632,"(+/- 1641 )",38577,"(+/- 1471 )"
People,"Sex and Age","20 to 24 years",37289,"(+/- 1383 )",37005,"(+/- 1711 )"
People,"Sex and Age","25 to 34 years",89417,"(+/- 1899 )",74814,"(+/- 1562 )"
People,"Sex and Age","35 to 44 years",79921,"(+/- 1681 )",73694,"(+/- 1645 )"
People,"Sex and Age","45 to 54 years",90026,"(+/- 1644 )",86403,"(+/- 1602 )"
People,"Sex and Age","55 to 59 years",51871,"(+/- 2892 )",50431,"(+/- 2578 )"
People,"Sex and Age","60 to 64 years",53865,"(+/- 2632 )",54732,"(+/- 2774 )"
People,"Sex and Age","65 to 74 years",84760,"(+/- 1314 )",84796,"(+/- 1300 )"
People,"Sex and Age","75 to 84 years",39784,"(+/- 2185 )",41985,"(+/- 1600 )"
People,"Sex and Age","85 years and over",19482,"(+/- 1997 )",15171,"(+/- 1547 )"
People,"Sex and Age","Median age (years)",44.5,"(+/- 0.3 )",45.7,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",562678,"(+/- 3055 )",535181,"(+/- 3065 )"
People,"Sex and Age","65 years and over",144026,"(+/- 1712 )",141952,"(+/- 1648 )"
People,Race,"Total population",686731,"(+/- 4008 )",657481,"(+/- 4008 )"
People,Race,"One race",673587,"(+/- 4664 )",642089,"(+/- 4086 )"
People,Race,White,642538,"(+/- 4148 )",620749,"(+/- 3955 )"
People,Race,"Black or African American",14754,"(+/- 2136 )",7229,"(+/- 1451 )"
People,Race,"American Indian and Alaska Native",3157,"(+/- 993 )",6262,"(+/- 737 )"
People,Race,Asian,10160,"(+/- 1385 )",5163,"(+/- 712 )"
People,Race,"Native Hawaiian and Other Pacific Islander",100,"(+/- 121 )",122,"(+/- 135 )"
People,Race,"Some other race",2878,"(+/- 1224 )",2564,"(+/- 1094 )"
People,Race,"Two or more races",13144,"(+/- 2232 )",15392,"(+/- 2559 )"
People,"Hispanic or Latino and Race","Total population",686731,"(+/- 4008 )",657481,"(+/- 4008 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",13182,"(+/- 505 )",9885,"(+/- 826 )"
People,"Hispanic or Latino and Race",Mexican,2653,"(+/- 971 )",2891,"(+/- 1045 )"
People,"Hispanic or Latino and Race","Puerto Rican",3543,"(+/- 1230 )",3155,"(+/- 903 )"
People,"Hispanic or Latino and Race",Cuban,1023,"(+/- 657 )",403,"(+/- 284 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",5963,"(+/- 1411 )",3436,"(+/- 944 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",673549,"(+/- 3966 )",647596,"(+/- 4080 )"
People,"Place of Birth","Total population",686731,"(+/- 4008 )",657481,"(+/- 4008 )"
People,"Place of Birth",Native,653750,"(+/- 5023 )",638050,"(+/- 4221 )"
People,"Place of Birth","Born in United States",646382,"(+/- 4957 )",630896,"(+/- 4429 )"
People,"Place of Birth","State of residence",379153,"(+/- 9352 )",449023,"(+/- 6797 )"
People,"Place of Birth","Different state",267229,"(+/- 9000 )",181873,"(+/- 5964 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",7368,"(+/- 1470 )",7154,"(+/- 1238 )"
People,"Place of Birth","Foreign born",32981,"(+/- 3151 )",19431,"(+/- 1833 )"
People,Ancestry,"Total population",686731,"(+/- 4008 )",657481,"(+/- 4008 )"
People,Ancestry,American,36034,"(+/- 3767 )",44050,"(+/- 3514 )"
People,Ancestry,Arab,2091,"(+/- 913 )",1122,"(+/- 539 )"
People,Ancestry,Czech,1537,"(+/- 741 )",761,"(+/- 370 )"
People,Ancestry,Danish,3038,"(+/- 1047 )",3057,"(+/- 1305 )"
People,Ancestry,Dutch,7869,"(+/- 2290 )",5078,"(+/- 1364 )"
People,Ancestry,English,116555,"(+/- 5884 )",113965,"(+/- 5962 )"
People,Ancestry,"French (except Basque)",81535,"(+/- 6787 )",92089,"(+/- 5086 )"
People,Ancestry,"French Canadian",50854,"(+/- 4672 )",54099,"(+/- 5204 )"
People,Ancestry,German,56090,"(+/- 4680 )",45397,"(+/- 4584 )"
People,Ancestry,Greek,5420,"(+/- 1634 )",2058,"(+/- 845 )"
People,Ancestry,Hungarian,1716,"(+/- 775 )",972,"(+/- 509 )"
People,Ancestry,Irish,122141,"(+/- 7602 )",95468,"(+/- 5337 )"
People,Ancestry,Italian,47300,"(+/- 4873 )",25686,"(+/- 3008 )"
People,Ancestry,Lithuanian,2640,"(+/- 1146 )",1072,"(+/- 412 )"
People,Ancestry,Norwegian,7993,"(+/- 1708 )",4781,"(+/- 1167 )"
People,Ancestry,Polish,18389,"(+/- 2978 )",12546,"(+/- 1800 )"
People,Ancestry,Portuguese,4361,"(+/- 1296 )",4158,"(+/- 1207 )"
People,Ancestry,Russian,3985,"(+/- 1133 )",2219,"(+/- 728 )"
People,Ancestry,Scotch-Irish,9320,"(+/- 1877 )",9316,"(+/- 1912 )"
People,Ancestry,Scottish,29098,"(+/- 2993 )",25018,"(+/- 2593 )"
People,Ancestry,Slovak,1073,"(+/- 570 )",1098,"(+/- 530 )"
People,Ancestry,"Subsaharan African",10490,"(+/- 2507 )",4184,"(+/- 1678 )"
People,Ancestry,Swedish,11253,"(+/- 1806 )",9769,"(+/- 1542 )"
People,Ancestry,Swiss,1885,"(+/- 626 )",876,"(+/- 316 )"
People,Ancestry,Ukrainian,1848,"(+/- 754 )",691,"(+/- 310 )"
People,Ancestry,Welsh,5940,"(+/- 1388 )",6423,"(+/- 2241 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1417,"(+/- 859 )",1120,"(+/- 521 )"
People,"Veteran Status","Civilian population 18 years and over",561222,"(+/- 3033 )",534286,"(+/- 3102 )"
People,"Veteran Status","Civilian veterans",44323,"(+/- 2706 )",53116,"(+/- 2936 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",677299,"(+/- 4158 )",650324,"(+/- 4249 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",96549,"(+/- 5115 )",119041,"(+/- 4922 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",123628,"(+/- 1810 )",122047,"(+/- 1928 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",5907,"(+/- 1377 )",9060,"(+/- 1523 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",413493,"(+/- 3239 )",390871,"(+/- 3425 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",47036,"(+/- 4332 )",61168,"(+/- 3853 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",140178,"(+/- 1647 )",137406,"(+/- 1682 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",43606,"(+/- 2416 )",48813,"(+/- 2526 )"
People,"Residence 1 Year Ago","Population 1 year and over",680877,"(+/- 4180 )",650779,"(+/- 4251 )"
People,"Residence 1 Year Ago","Same house",595497,"(+/- 7244 )",567061,"(+/- 7048 )"
People,"Residence 1 Year Ago","Different house in the U.S.",82273,"(+/- 6084 )",81961,"(+/- 5728 )"
People,"Residence 1 Year Ago","Same county",43046,"(+/- 5432 )",48726,"(+/- 5307 )"
People,"Residence 1 Year Ago","Different county",39227,"(+/- 4157 )",33235,"(+/- 3662 )"
People,"Residence 1 Year Ago","Same state",18583,"(+/- 3046 )",17750,"(+/- 2876 )"
People,"Residence 1 Year Ago","Different state",20644,"(+/- 2747 )",15485,"(+/- 2021 )"
People,"Residence 1 Year Ago",Abroad,3107,"(+/- 1334 )",1757,"(+/- 724 )"
Workers,"Employment Status","Population 16 years and over",578275,"(+/- 3603 )",549893,"(+/- 3316 )"
Workers,"Employment Status","In labor force",382290,"(+/- 6614 )",328945,"(+/- 6332 )"
Workers,"Employment Status","Civilian labor force",380834,"(+/- 6441 )",328050,"(+/- 6291 )"
Workers,"Employment Status",Employed,369546,"(+/- 6259 )",314867,"(+/- 6228 )"
Workers,"Employment Status",Unemployed,11288,"(+/- 2375 )",13183,"(+/- 1769 )"
Workers,"Employment Status","Armed Forces",1456,"(+/- 915 )",895,"(+/- 528 )"
Workers,"Employment Status","Not in labor force",195985,"(+/- 5096 )",220948,"(+/- 5711 )"
Workers,"Employment Status","Civilian labor force",380834,"(+/- 6441 )",328050,"(+/- 6291 )"
Workers,"Employment Status","Unemployment Rate",3.0,"(+/- 0.6 )",4.0,"(+/- 0.5 )"
Workers,"Commuting to Work","Workers 16 years and over",362111,"(+/- 6531 )",306063,"(+/- 6235 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",281895,"(+/- 7183 )",242486,"(+/- 6453 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",32296,"(+/- 3333 )",31391,"(+/- 2928 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",3091,"(+/- 888 )",1166,"(+/- 484 )"
Workers,"Commuting to Work",Walked,14734,"(+/- 2169 )",10700,"(+/- 1742 )"
Workers,"Commuting to Work","Other means",5268,"(+/- 1292 )",3132,"(+/- 760 )"
Workers,"Commuting to Work","Worked from home",24827,"(+/- 2678 )",17188,"(+/- 1670 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",24.9,"(+/- 0.7 )",24.2,"(+/- 0.6 )"
Workers,Occupation,"Civilian employed population 16 years and over",369546,"(+/- 6259 )",314867,"(+/- 6228 )"
Workers,Occupation,"Management, business, science, and arts occupations",162258,"(+/- 6008 )",111896,"(+/- 4407 )"
Workers,Occupation,"Service occupations",61029,"(+/- 4453 )",58071,"(+/- 3763 )"
Workers,Occupation,"Sales and office occupations",73721,"(+/- 4174 )",65786,"(+/- 4110 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",33978,"(+/- 2416 )",37756,"(+/- 2754 )"
Workers,Occupation,"Production, transportation, and material moving occupations",38560,"(+/- 3761 )",41358,"(+/- 2903 )"
Workers,Industry,"Civilian employed population 16 years and over",369546,"(+/- 6259 )",314867,"(+/- 6228 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",7882,"(+/- 1558 )",11201,"(+/- 1588 )"
Workers,Industry,Construction,26271,"(+/- 2714 )",25758,"(+/- 2584 )"
Workers,Industry,Manufacturing,31679,"(+/- 3406 )",28196,"(+/- 2200 )"
Workers,Industry,"Wholesale trade",7629,"(+/- 1433 )",6080,"(+/- 1078 )"
Workers,Industry,"Retail trade",44632,"(+/- 3432 )",40893,"(+/- 2663 )"
Workers,Industry,"Transportation and warehousing, and utilities",13977,"(+/- 2032 )",13118,"(+/- 1401 )"
Workers,Industry,Information,6287,"(+/- 1214 )",4416,"(+/- 1053 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",26099,"(+/- 2767 )",14195,"(+/- 1799 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",39713,"(+/- 3396 )",23213,"(+/- 2703 )"
Workers,Industry,"Educational services, and health care and social assistance",100480,"(+/- 5097 )",91120,"(+/- 4080 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",33434,"(+/- 3542 )",27922,"(+/- 2532 )"
Workers,Industry,"Other services, except public administration",15334,"(+/- 2188 )",13662,"(+/- 1960 )"
Workers,Industry,"Public administration",16129,"(+/- 2034 )",15093,"(+/- 1779 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",369546,"(+/- 6259 )",314867,"(+/- 6228 )"
Workers,"Class of Worker","Private wage and salary workers",288709,"(+/- 6812 )",243962,"(+/- 5681 )"
Workers,"Class of Worker","Government workers",49581,"(+/- 3437 )",44570,"(+/- 2920 )"
