cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Sex and Age","Total population",737341,"(+/- 8934 )",750702,"(+/- 19495 )",779502,"(+/- 21331 )",758795,"(+/- 16552 )",756743,"(+/- 12290 )",769046,"(+/- 12713 )",717158,"(+/- 15793 )",776393,"(+/- 13919 )"
People,"Sex and Age",Male,361694,"(+/- 5138 )",356225,"(+/- 11135 )",373732,"(+/- 12329 )",369508,"(+/- 8619 )",364600,"(+/- 7525 )",377877,"(+/- 7994 )",343509,"(+/- 9184 )",380868,"(+/- 8307 )"
People,"Sex and Age",Female,375647,"(+/- 5563 )",394477,"(+/- 11355 )",405770,"(+/- 11316 )",389287,"(+/- 9913 )",392143,"(+/- 7108 )",391169,"(+/- 7691 )",373649,"(+/- 9836 )",395525,"(+/- 8321 )"
People,"Sex and Age","Under 5 years",35815,"(+/- 2015 )",49087,"(+/- 3751 )",51431,"(+/- 3780 )",51677,"(+/- 3374 )",43388,"(+/- 3050 )",43234,"(+/- 2629 )",37074,"(+/- 3223 )",46640,"(+/- 2907 )"
People,"Sex and Age","5 to 9 years",43431,"(+/- 2932 )",46593,"(+/- 5570 )",46629,"(+/- 4275 )",45727,"(+/- 3089 )",42683,"(+/- 2520 )",48183,"(+/- 3481 )",40049,"(+/- 3792 )",46210,"(+/- 3516 )"
People,"Sex and Age","10 to 14 years",46542,"(+/- 2883 )",47803,"(+/- 3956 )",50937,"(+/- 4952 )",50050,"(+/- 3625 )",52316,"(+/- 3406 )",51523,"(+/- 3642 )",42534,"(+/- 4135 )",48932,"(+/- 3499 )"
People,"Sex and Age","15 to 19 years",48331,"(+/- 3323 )",44544,"(+/- 3413 )",48899,"(+/- 3822 )",44962,"(+/- 3007 )",50517,"(+/- 3381 )",46970,"(+/- 2994 )",47776,"(+/- 3335 )",49319,"(+/- 2982 )"
People,"Sex and Age","20 to 24 years",44897,"(+/- 3007 )",47625,"(+/- 3742 )",48513,"(+/- 4636 )",41854,"(+/- 3749 )",54709,"(+/- 3546 )",44230,"(+/- 2867 )",45557,"(+/- 2821 )",44631,"(+/- 2590 )"
People,"Sex and Age","25 to 34 years",84890,"(+/- 3747 )",115822,"(+/- 7223 )",119639,"(+/- 6181 )",110969,"(+/- 4758 )",95180,"(+/- 4312 )",99174,"(+/- 4348 )",102418,"(+/- 5647 )",92483,"(+/- 4392 )"
People,"Sex and Age","35 to 44 years",81803,"(+/- 3130 )",100414,"(+/- 5179 )",104404,"(+/- 5959 )",106003,"(+/- 4449 )",94086,"(+/- 3832 )",106465,"(+/- 4865 )",91072,"(+/- 5021 )",102677,"(+/- 5016 )"
People,"Sex and Age","45 to 54 years",98037,"(+/- 3481 )",92814,"(+/- 5004 )",97342,"(+/- 4843 )",98510,"(+/- 4827 )",106717,"(+/- 4571 )",105765,"(+/- 3921 )",90031,"(+/- 4115 )",106738,"(+/- 3655 )"
People,"Sex and Age","55 to 59 years",54259,"(+/- 3290 )",42523,"(+/- 3664 )",50150,"(+/- 4205 )",53621,"(+/- 3314 )",52982,"(+/- 3405 )",54269,"(+/- 3707 )",51324,"(+/- 3365 )",54102,"(+/- 3464 )"
People,"Sex and Age","60 to 64 years",56020,"(+/- 2876 )",53475,"(+/- 3781 )",46536,"(+/- 3648 )",48155,"(+/- 3426 )",53947,"(+/- 3271 )",51257,"(+/- 3425 )",51986,"(+/- 3393 )",45912,"(+/- 2937 )"
People,"Sex and Age","65 to 74 years",83514,"(+/- 2166 )",66950,"(+/- 3506 )",65301,"(+/- 3802 )",64862,"(+/- 3131 )",69537,"(+/- 3261 )",70325,"(+/- 2820 )",66491,"(+/- 2866 )",77553,"(+/- 2742 )"
People,"Sex and Age","75 to 84 years",44870,"(+/- 2161 )",30615,"(+/- 2899 )",33760,"(+/- 2764 )",31763,"(+/- 2413 )",29476,"(+/- 2279 )",34129,"(+/- 2169 )",34859,"(+/- 2300 )",42335,"(+/- 2442 )"
People,"Sex and Age","85 years and over",14932,"(+/- 1663 )",12437,"(+/- 1630 )",15961,"(+/- 2589 )",10642,"(+/- 1668 )",11205,"(+/- 1687 )",13522,"(+/- 1472 )",15987,"(+/- 2297 )",18861,"(+/- 2094 )"
People,"Sex and Age","Median age (years)",43.0,"(+/- 0.5 )",37.1,"(+/- 0.7 )",36.8,"(+/- 0.6 )",38.0,"(+/- 0.6 )",39.1,"(+/- 0.7 )",39.6,"(+/- 0.5 )",39.2,"(+/- 0.7 )",40.5,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",583354,"(+/- 6673 )",581213,"(+/- 14029 )",602897,"(+/- 15212 )",582717,"(+/- 12344 )",590249,"(+/- 9606 )",597502,"(+/- 9417 )",571113,"(+/- 12177 )",604348,"(+/- 10174 )"
People,"Sex and Age","65 years and over",143316,"(+/- 3066 )",110002,"(+/- 4322 )",115022,"(+/- 4642 )",107267,"(+/- 4155 )",110218,"(+/- 4013 )",117976,"(+/- 3425 )",117337,"(+/- 3883 )",138749,"(+/- 3317 )"
