cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Sex and Age","Total population",723831,"(+/- 6486 )",759750,"(+/- 9057 )",771723,"(+/- 10690 )",765466,"(+/- 7933 )",768043,"(+/- 8751 )",770998,"(+/- 5274 )",819035,"(+/- 9529 )",765516,"(+/- 9332 )",748141,"(+/- 7725 )"
People,"Sex and Age",Male,351501,"(+/- 4274 )",365886,"(+/- 5596 )",386924,"(+/- 7693 )",369940,"(+/- 6071 )",375777,"(+/- 6107 )",368686,"(+/- 5152 )",396492,"(+/- 7216 )",370810,"(+/- 6283 )",359540,"(+/- 5380 )"
People,"Sex and Age",Female,372330,"(+/- 3773 )",393864,"(+/- 5188 )",384799,"(+/- 7896 )",395526,"(+/- 6003 )",392266,"(+/- 6490 )",402312,"(+/- 4550 )",422543,"(+/- 6698 )",394706,"(+/- 6954 )",388601,"(+/- 5867 )"
People,"Sex and Age","Under 5 years",36333,"(+/- 1323 )",37027,"(+/- 1958 )",41125,"(+/- 3432 )",38681,"(+/- 2754 )",46213,"(+/- 3269 )",40425,"(+/- 2226 )",40945,"(+/- 2895 )",38030,"(+/- 3057 )",36287,"(+/- 2563 )"
People,"Sex and Age","5 to 9 years",39459,"(+/- 2672 )",38007,"(+/- 3179 )",46519,"(+/- 3761 )",43494,"(+/- 3587 )",41393,"(+/- 3270 )",38586,"(+/- 3100 )",33717,"(+/- 2605 )",37916,"(+/- 3598 )",36430,"(+/- 3282 )"
People,"Sex and Age","10 to 14 years",43039,"(+/- 3162 )",43547,"(+/- 3006 )",46523,"(+/- 3299 )",49653,"(+/- 2731 )",39633,"(+/- 3473 )",48480,"(+/- 3003 )",40779,"(+/- 3398 )",40053,"(+/- 3251 )",43900,"(+/- 3349 )"
People,"Sex and Age","15 to 19 years",49700,"(+/- 2444 )",58908,"(+/- 2713 )",48275,"(+/- 3625 )",54447,"(+/- 3169 )",44964,"(+/- 3356 )",48521,"(+/- 2596 )",60972,"(+/- 3469 )",42325,"(+/- 2913 )",43281,"(+/- 3040 )"
People,"Sex and Age","20 to 24 years",50181,"(+/- 1847 )",61777,"(+/- 2900 )",50977,"(+/- 4325 )",49516,"(+/- 4432 )",53486,"(+/- 3912 )",45427,"(+/- 2712 )",87427,"(+/- 3367 )",42979,"(+/- 3626 )",42570,"(+/- 3131 )"
People,"Sex and Age","25 to 34 years",89779,"(+/- 2428 )",95122,"(+/- 3079 )",107075,"(+/- 6403 )",89884,"(+/- 4290 )",123624,"(+/- 6413 )",86775,"(+/- 3639 )",187457,"(+/- 6134 )",127991,"(+/- 5116 )",84900,"(+/- 3997 )"
People,"Sex and Age","35 to 44 years",84959,"(+/- 2612 )",87002,"(+/- 2881 )",99378,"(+/- 4777 )",93177,"(+/- 4240 )",101790,"(+/- 4650 )",94274,"(+/- 3594 )",108260,"(+/- 5070 )",97583,"(+/- 4920 )",83231,"(+/- 4587 )"
