cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Sex and Age","Total population",679003,"(+/- 2359 )",717698,"(+/- 2410 )",730214,"(+/- 4889 )",719873,"(+/- 3091 )",724373,"(+/- 6502 )",729029,"(+/- 5797 )",668096,"(+/- 2773 )",671346,"(+/- 1326 )"
People,"Sex and Age",Male,336877,"(+/- 2131 )",357221,"(+/- 2365 )",356680,"(+/- 5025 )",352436,"(+/- 2253 )",361393,"(+/- 4932 )",367191,"(+/- 4065 )",333132,"(+/- 2178 )",339286,"(+/- 1457 )"
People,"Sex and Age",Female,342126,"(+/- 2775 )",360477,"(+/- 1909 )",373534,"(+/- 4372 )",367437,"(+/- 1978 )",362980,"(+/- 5335 )",361838,"(+/- 3873 )",334964,"(+/- 2052 )",332060,"(+/- 1388 )"
People,"Sex and Age","Under 5 years",43043,"(+/- 1546 )",45052,"(+/- 1511 )",44034,"(+/- 2499 )",45680,"(+/- 1099 )",46449,"(+/- 2544 )",47836,"(+/- 1795 )",41267,"(+/- 1163 )",36260,"(+/- 837 )"
People,"Sex and Age","5 to 9 years",43936,"(+/- 1859 )",47261,"(+/- 3001 )",47808,"(+/- 3575 )",48507,"(+/- 3165 )",41117,"(+/- 3394 )",49739,"(+/- 3413 )",45743,"(+/- 1934 )",37219,"(+/- 1538 )"
People,"Sex and Age","10 to 14 years",43781,"(+/- 2438 )",53425,"(+/- 2701 )",47627,"(+/- 2940 )",46800,"(+/- 2823 )",40139,"(+/- 3140 )",54859,"(+/- 3322 )",44602,"(+/- 1725 )",41504,"(+/- 1554 )"
People,"Sex and Age","15 to 19 years",47155,"(+/- 2170 )",48960,"(+/- 1871 )",46144,"(+/- 3039 )",47116,"(+/- 1832 )",39384,"(+/- 2912 )",52633,"(+/- 2227 )",42525,"(+/- 1517 )",39441,"(+/- 1166 )"
People,"Sex and Age","20 to 24 years",45658,"(+/- 1767 )",41555,"(+/- 1738 )",35308,"(+/- 3097 )",45903,"(+/- 1796 )",52244,"(+/- 3042 )",45325,"(+/- 2125 )",40927,"(+/- 1764 )",38454,"(+/- 1151 )"
People,"Sex and Age","25 to 34 years",87061,"(+/- 2460 )",88920,"(+/- 2245 )",89294,"(+/- 4362 )",109868,"(+/- 1883 )",149217,"(+/- 3863 )",90647,"(+/- 3098 )",75133,"(+/- 2049 )",75438,"(+/- 1227 )"
People,"Sex and Age","35 to 44 years",80295,"(+/- 1995 )",100318,"(+/- 1891 )",101920,"(+/- 4395 )",93935,"(+/- 1773 )",101058,"(+/- 3978 )",98101,"(+/- 3297 )",76505,"(+/- 1514 )",78267,"(+/- 1091 )"
People,"Sex and Age","45 to 54 years",77809,"(+/- 1737 )",93076,"(+/- 1557 )",97058,"(+/- 3733 )",82634,"(+/- 1584 )",77942,"(+/- 3528 )",93346,"(+/- 2458 )",72089,"(+/- 1158 )",78856,"(+/- 1126 )"
People,"Sex and Age","55 to 59 years",43688,"(+/- 1900 )",50161,"(+/- 2475 )",54843,"(+/- 3826 )",46612,"(+/- 2754 )",41002,"(+/- 2971 )",52830,"(+/- 2656 )",47702,"(+/- 2023 )",49643,"(+/- 1814 )"
People,"Sex and Age","60 to 64 years",45402,"(+/- 2001 )",45624,"(+/- 2343 )",49745,"(+/- 3746 )",44440,"(+/- 2803 )",37531,"(+/- 2925 )",46174,"(+/- 3017 )",47465,"(+/- 1885 )",54072,"(+/- 1772 )"
People,"Sex and Age","65 to 74 years",67094,"(+/- 840 )",61907,"(+/- 1450 )",70041,"(+/- 2879 )",64211,"(+/- 1359 )",56449,"(+/- 2767 )",58302,"(+/- 1860 )",72735,"(+/- 1092 )",82627,"(+/- 652 )"
People,"Sex and Age","75 to 84 years",38111,"(+/- 1310 )",29645,"(+/- 2100 )",33680,"(+/- 2312 )",29701,"(+/- 1895 )",28962,"(+/- 2300 )",29174,"(+/- 2255 )",43883,"(+/- 1115 )",43378,"(+/- 1290 )"
People,"Sex and Age","85 years and over",15970,"(+/- 1331 )",11794,"(+/- 1480 )",12712,"(+/- 1641 )",14466,"(+/- 1313 )",12879,"(+/- 1583 )",10063,"(+/- 1537 )",17520,"(+/- 1031 )",16187,"(+/- 1202 )"
People,"Sex and Age","Median age (years)",38.3,"(+/- 0.4 )",38.1,"(+/- 0.3 )",39.9,"(+/- 0.6 )",36.5,"(+/- 0.3 )",34.5,"(+/- 0.4 )",37.3,"(+/- 0.5 )",40.5,"(+/- 0.4 )",43.5,"(+/- 0.2 )"
People,"Sex and Age","18 years and over",521440,"(+/- 1685 )",542075,"(+/- 2486 )",558785,"(+/- 5870 )",551339,"(+/- 2920 )",576805,"(+/- 7217 )",544344,"(+/- 4822 )",510584,"(+/- 2386 )",531591,"(+/- 1359 )"
People,"Sex and Age","65 years and over",121175,"(+/- 1066 )",103346,"(+/- 1750 )",116433,"(+/- 3648 )",108378,"(+/- 1770 )",98290,"(+/- 3509 )",97539,"(+/- 2782 )",134138,"(+/- 1377 )",142192,"(+/- 797 )"
People,Race,"Total population",679003,"(+/- 2359 )",717698,"(+/- 2410 )",730214,"(+/- 4889 )",719873,"(+/- 3091 )",724373,"(+/- 6502 )",729029,"(+/- 5797 )",668096,"(+/- 2773 )",671346,"(+/- 1326 )"
People,Race,"One race",661768,"(+/- 3049 )",692163,"(+/- 4582 )",701848,"(+/- 5883 )",689849,"(+/- 5287 )",689767,"(+/- 7840 )",709967,"(+/- 6807 )",654375,"(+/- 3242 )",653312,"(+/- 2390 )"
People,Race,White,604755,"(+/- 3186 )",593539,"(+/- 5831 )",564634,"(+/- 8518 )",504711,"(+/- 4404 )",487035,"(+/- 9960 )",647996,"(+/- 6120 )",603675,"(+/- 3434 )",621243,"(+/- 1630 )"
People,Race,"Black or African American",21232,"(+/- 2100 )",40955,"(+/- 2838 )",60789,"(+/- 7393 )",77715,"(+/- 4411 )",121205,"(+/- 8208 )",30110,"(+/- 3443 )",11006,"(+/- 1662 )",7279,"(+/- 925 )"
People,Race,"American Indian and Alaska Native",2076,"(+/- 899 )",2479,"(+/- 780 )",2954,"(+/- 990 )",3045,"(+/- 778 )",5965,"(+/- 2083 )",3080,"(+/- 882 )",22124,"(+/- 1513 )",15691,"(+/- 1444 )"
People,Race,Asian,20675,"(+/- 1709 )",35642,"(+/- 2769 )",64480,"(+/- 5356 )",92979,"(+/- 2634 )",40703,"(+/- 4448 )",18974,"(+/- 3068 )",6477,"(+/- 956 )",5700,"(+/- 908 )"
People,Race,"Native Hawaiian and Other Pacific Islander",441,"(+/- 565 )",86,"(+/- 131 )",0,"(+/- 149 )",130,"(+/- 156 )",746,"(+/- 262 )",60,"(+/- 82 )",1088,"(+/- 619 )",202,"(+/- 158 )"
People,Race,"Some other race",12589,"(+/- 2159 )",19462,"(+/- 4545 )",8991,"(+/- 3104 )",11269,"(+/- 2596 )",34113,"(+/- 5492 )",9747,"(+/- 2110 )",10005,"(+/- 1824 )",3197,"(+/- 881 )"
People,Race,"Two or more races",17235,"(+/- 2451 )",25535,"(+/- 3976 )",28366,"(+/- 4564 )",30024,"(+/- 4674 )",34606,"(+/- 4806 )",19062,"(+/- 3425 )",13721,"(+/- 2187 )",18034,"(+/- 1817 )"
People,"Hispanic or Latino and Race","Total population",679003,"(+/- 2359 )",717698,"(+/- 2410 )",730214,"(+/- 4889 )",719873,"(+/- 3091 )",724373,"(+/- 6502 )",729029,"(+/- 5797 )",668096,"(+/- 2773 )",671346,"(+/- 1326 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",46456,"(+/- 959 )",46414,"(+/- 1373 )",29233,"(+/- 4335 )",48538,"(+/- 1356 )",71650,"(+/- 4250 )",24837,"(+/- 2154 )",34594,"(+/- 874 )",12495,"(+/- 479 )"
People,"Hispanic or Latino and Race",Mexican,32213,"(+/- 2834 )",33350,"(+/- 3638 )",16758,"(+/- 3413 )",31773,"(+/- 2769 )",45139,"(+/- 5070 )",14786,"(+/- 2183 )",26742,"(+/- 1669 )",7317,"(+/- 1152 )"
People,"Hispanic or Latino and Race","Puerto Rican",1422,"(+/- 705 )",1655,"(+/- 1078 )",2069,"(+/- 1011 )",2825,"(+/- 1306 )",4401,"(+/- 2907 )",2418,"(+/- 1520 )",1392,"(+/- 601 )",812,"(+/- 403 )"
People,"Hispanic or Latino and Race",Cuban,548,"(+/- 661 )",1188,"(+/- 631 )",1162,"(+/- 1170 )",605,"(+/- 566 )",856,"(+/- 504 )",417,"(+/- 432 )",573,"(+/- 301 )",378,"(+/- 323 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",12273,"(+/- 2636 )",10221,"(+/- 3044 )",9244,"(+/- 2858 )",13335,"(+/- 2499 )",21254,"(+/- 4845 )",7216,"(+/- 1699 )",5887,"(+/- 1420 )",3988,"(+/- 1039 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",632547,"(+/- 2155 )",671284,"(+/- 2451 )",700981,"(+/- 6607 )",671335,"(+/- 3359 )",652723,"(+/- 7861 )",704192,"(+/- 5870 )",633502,"(+/- 2785 )",658851,"(+/- 1383 )"
People,"Place of Birth","Total population",679003,"(+/- 2359 )",717698,"(+/- 2410 )",730214,"(+/- 4889 )",719873,"(+/- 3091 )",724373,"(+/- 6502 )",729029,"(+/- 5797 )",668096,"(+/- 2773 )",671346,"(+/- 1326 )"
People,"Place of Birth",Native,633965,"(+/- 4257 )",655095,"(+/- 5395 )",639152,"(+/- 8368 )",616605,"(+/- 8242 )",623255,"(+/- 10137 )",693091,"(+/- 7105 )",647642,"(+/- 4019 )",658596,"(+/- 1866 )"
People,"Place of Birth","Born in United States",630352,"(+/- 4235 )",650048,"(+/- 5372 )",632912,"(+/- 8266 )",610521,"(+/- 8304 )",616635,"(+/- 10111 )",689955,"(+/- 7081 )",644948,"(+/- 3929 )",655769,"(+/- 1874 )"
People,"Place of Birth","State of residence",462433,"(+/- 5775 )",482680,"(+/- 7375 )",455805,"(+/- 8932 )",443858,"(+/- 7339 )",412461,"(+/- 10082 )",554985,"(+/- 7789 )",480022,"(+/- 5907 )",527292,"(+/- 4283 )"
People,"Place of Birth","Different state",167919,"(+/- 5635 )",167368,"(+/- 6710 )",177107,"(+/- 7090 )",166663,"(+/- 6806 )",204174,"(+/- 7044 )",134970,"(+/- 7117 )",164926,"(+/- 4853 )",128477,"(+/- 4239 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",3613,"(+/- 985 )",5047,"(+/- 1245 )",6240,"(+/- 1699 )",6084,"(+/- 1667 )",6620,"(+/- 1380 )",3136,"(+/- 991 )",2694,"(+/- 638 )",2827,"(+/- 584 )"
People,"Place of Birth","Foreign born",45038,"(+/- 3737 )",62603,"(+/- 4722 )",91062,"(+/- 7297 )",103268,"(+/- 7502 )",101118,"(+/- 7463 )",35938,"(+/- 4734 )",20454,"(+/- 2639 )",12750,"(+/- 1412 )"
People,Ancestry,"Total population",679003,"(+/- 2359 )",717698,"(+/- 2410 )",730214,"(+/- 4889 )",719873,"(+/- 3091 )",724373,"(+/- 6502 )",729029,"(+/- 5797 )",668096,"(+/- 2773 )",671346,"(+/- 1326 )"
People,Ancestry,American,22600,"(+/- 2711 )",17113,"(+/- 3244 )",19452,"(+/- 2679 )",21958,"(+/- 4434 )",18263,"(+/- 2876 )",44818,"(+/- 7228 )",17858,"(+/- 1902 )",23234,"(+/- 2670 )"
People,Ancestry,Arab,2511,"(+/- 1129 )",3509,"(+/- 1169 )",6074,"(+/- 3207 )",1471,"(+/- 521 )",5046,"(+/- 1560 )",3818,"(+/- 2160 )",3161,"(+/- 2651 )",1212,"(+/- 608 )"
People,Ancestry,Czech,15997,"(+/- 1884 )",15406,"(+/- 2512 )",10127,"(+/- 1849 )",8300,"(+/- 1450 )",8584,"(+/- 1434 )",11810,"(+/- 2295 )",11570,"(+/- 1252 )",9650,"(+/- 1336 )"
People,Ancestry,Danish,10769,"(+/- 1340 )",8597,"(+/- 1261 )",7629,"(+/- 1529 )",6560,"(+/- 1249 )",7851,"(+/- 1394 )",8269,"(+/- 2767 )",7235,"(+/- 888 )",7487,"(+/- 1102 )"
People,Ancestry,Dutch,16887,"(+/- 2073 )",10075,"(+/- 2522 )",10666,"(+/- 1964 )",7662,"(+/- 1857 )",8987,"(+/- 1412 )",11237,"(+/- 2134 )",16241,"(+/- 1710 )",10146,"(+/- 1420 )"
People,Ancestry,English,34056,"(+/- 2646 )",42261,"(+/- 3886 )",50327,"(+/- 5508 )",38216,"(+/- 3685 )",41047,"(+/- 3404 )",33508,"(+/- 4047 )",26694,"(+/- 2220 )",39671,"(+/- 2955 )"
People,Ancestry,"French (except Basque)",13406,"(+/- 1377 )",19763,"(+/- 2730 )",22194,"(+/- 2886 )",24607,"(+/- 4363 )",18284,"(+/- 1980 )",25826,"(+/- 3496 )",20416,"(+/- 2400 )",24277,"(+/- 2012 )"
People,Ancestry,"French Canadian",3799,"(+/- 958 )",6251,"(+/- 1133 )",4736,"(+/- 1484 )",6812,"(+/- 1591 )",7373,"(+/- 1574 )",9092,"(+/- 2021 )",4959,"(+/- 1004 )",10746,"(+/- 1213 )"
People,Ancestry,German,250116,"(+/- 6129 )",230410,"(+/- 8648 )",200311,"(+/- 9012 )",178528,"(+/- 7339 )",150667,"(+/- 6229 )",271197,"(+/- 9797 )",247208,"(+/- 6234 )",197833,"(+/- 5734 )"
People,Ancestry,Greek,606,"(+/- 330 )",2084,"(+/- 962 )",2106,"(+/- 896 )",1288,"(+/- 629 )",2274,"(+/- 802 )",902,"(+/- 597 )",378,"(+/- 213 )",819,"(+/- 282 )"
People,Ancestry,Hungarian,882,"(+/- 436 )",3010,"(+/- 1113 )",1792,"(+/- 964 )",2567,"(+/- 788 )",1639,"(+/- 562 )",1467,"(+/- 513 )",645,"(+/- 273 )",1623,"(+/- 458 )"
People,Ancestry,Irish,66487,"(+/- 4157 )",83808,"(+/- 6614 )",72467,"(+/- 5998 )",78035,"(+/- 4703 )",69532,"(+/- 4585 )",69244,"(+/- 5370 )",46216,"(+/- 3314 )",61017,"(+/- 3832 )"
People,Ancestry,Italian,7576,"(+/- 1440 )",20860,"(+/- 3416 )",14605,"(+/- 2614 )",21515,"(+/- 2229 )",17511,"(+/- 2208 )",18081,"(+/- 3099 )",5959,"(+/- 1248 )",19548,"(+/- 2357 )"
People,Ancestry,Lithuanian,547,"(+/- 224 )",677,"(+/- 548 )",1177,"(+/- 639 )",1052,"(+/- 651 )",1095,"(+/- 488 )",369,"(+/- 345 )",105,"(+/- 75 )",310,"(+/- 170 )"
People,Ancestry,Norwegian,108397,"(+/- 4608 )",87680,"(+/- 5451 )",96310,"(+/- 6279 )",63471,"(+/- 4719 )",72524,"(+/- 4429 )",91513,"(+/- 6289 )",154765,"(+/- 5472 )",95190,"(+/- 4417 )"
People,Ancestry,Polish,21709,"(+/- 2331 )",27397,"(+/- 2985 )",30316,"(+/- 3432 )",31524,"(+/- 4993 )",30002,"(+/- 4130 )",47692,"(+/- 4861 )",23975,"(+/- 2156 )",38672,"(+/- 3514 )"
People,Ancestry,Portuguese,348,"(+/- 243 )",593,"(+/- 350 )",314,"(+/- 235 )",225,"(+/- 235 )",848,"(+/- 461 )",349,"(+/- 354 )",245,"(+/- 161 )",162,"(+/- 197 )"
People,Ancestry,Russian,2122,"(+/- 647 )",3491,"(+/- 1145 )",7574,"(+/- 2161 )",3387,"(+/- 943 )",7267,"(+/- 1456 )",2503,"(+/- 1019 )",3377,"(+/- 878 )",2387,"(+/- 683 )"
People,Ancestry,Scotch-Irish,2832,"(+/- 740 )",3088,"(+/- 775 )",3128,"(+/- 814 )",4766,"(+/- 2453 )",4147,"(+/- 1098 )",2320,"(+/- 789 )",2644,"(+/- 555 )",3127,"(+/- 828 )"
People,Ancestry,Scottish,7784,"(+/- 1451 )",8415,"(+/- 1593 )",11273,"(+/- 2856 )",8456,"(+/- 1552 )",9316,"(+/- 1402 )",6807,"(+/- 1890 )",6673,"(+/- 1577 )",7491,"(+/- 1361 )"
People,Ancestry,Slovak,483,"(+/- 272 )",997,"(+/- 592 )",1434,"(+/- 713 )",1399,"(+/- 608 )",1885,"(+/- 849 )",309,"(+/- 227 )",320,"(+/- 145 )",552,"(+/- 243 )"
People,Ancestry,"Subsaharan African",12478,"(+/- 3314 )",19243,"(+/- 3769 )",35822,"(+/- 7113 )",33034,"(+/- 5334 )",53206,"(+/- 7660 )",18120,"(+/- 3855 )",3752,"(+/- 1438 )",3007,"(+/- 1017 )"
People,Ancestry,Swedish,27788,"(+/- 2636 )",46201,"(+/- 4129 )",56967,"(+/- 4840 )",49178,"(+/- 3981 )",47330,"(+/- 4061 )",57573,"(+/- 5335 )",48170,"(+/- 2588 )",75126,"(+/- 4349 )"
People,Ancestry,Swiss,3114,"(+/- 1104 )",2464,"(+/- 763 )",3026,"(+/- 1150 )",3351,"(+/- 842 )",2225,"(+/- 712 )",2299,"(+/- 783 )",1857,"(+/- 474 )",1988,"(+/- 571 )"
People,Ancestry,Ukrainian,819,"(+/- 514 )",2259,"(+/- 1110 )",3765,"(+/- 1317 )",2885,"(+/- 2258 )",1732,"(+/- 710 )",3354,"(+/- 2139 )",477,"(+/- 226 )",1841,"(+/- 571 )"
People,Ancestry,Welsh,5292,"(+/- 1279 )",2710,"(+/- 872 )",3438,"(+/- 945 )",3225,"(+/- 997 )",4121,"(+/- 873 )",2055,"(+/- 659 )",1512,"(+/- 495 )",2268,"(+/- 629 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",120,"(+/- 164 )",1535,"(+/- 1110 )",1065,"(+/- 752 )",1594,"(+/- 848 )",3027,"(+/- 1507 )",330,"(+/- 457 )",168,"(+/- 226 )",527,"(+/- 426 )"
People,"Veteran Status","Civilian population 18 years and over",520951,"(+/- 1799 )",541538,"(+/- 2563 )",558621,"(+/- 5902 )",550948,"(+/- 2946 )",576565,"(+/- 7193 )",543536,"(+/- 4816 )",510327,"(+/- 2363 )",530852,"(+/- 1416 )"
People,"Veteran Status","Civilian veterans",37603,"(+/- 1889 )",33209,"(+/- 2403 )",29192,"(+/- 3010 )",28715,"(+/- 2014 )",26746,"(+/- 1904 )",36148,"(+/- 2618 )",38112,"(+/- 1905 )",46961,"(+/- 2136 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",668480,"(+/- 2910 )",712733,"(+/- 2634 )",727212,"(+/- 4894 )",713605,"(+/- 3286 )",718171,"(+/- 6429 )",722040,"(+/- 6073 )",659488,"(+/- 2951 )",659099,"(+/- 2316 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",70410,"(+/- 3758 )",60562,"(+/- 3427 )",63943,"(+/- 5114 )",85773,"(+/- 4262 )",80733,"(+/- 4053 )",69510,"(+/- 4185 )",82211,"(+/- 3190 )",91637,"(+/- 3256 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",157317,"(+/- 1625 )",175395,"(+/- 2057 )",171154,"(+/- 5368 )",168348,"(+/- 2345 )",147328,"(+/- 5599 )",184344,"(+/- 3584 )",157121,"(+/- 1687 )",138991,"(+/- 964 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",6610,"(+/- 1038 )",6309,"(+/- 1499 )",5481,"(+/- 1700 )",7811,"(+/- 1820 )",6725,"(+/- 1225 )",7176,"(+/- 1564 )",6901,"(+/- 904 )",5450,"(+/- 1011 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",395070,"(+/- 2681 )",436531,"(+/- 2536 )",441337,"(+/- 6550 )",439913,"(+/- 2940 )",476035,"(+/- 7051 )",442405,"(+/- 4815 )",374280,"(+/- 2401 )",383337,"(+/- 2006 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",31642,"(+/- 2584 )",27265,"(+/- 2605 )",29833,"(+/- 3535 )",45318,"(+/- 3245 )",44311,"(+/- 3768 )",35039,"(+/- 2811 )",35895,"(+/- 2396 )",42828,"(+/- 2450 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",116093,"(+/- 1229 )",100807,"(+/- 1951 )",114721,"(+/- 3681 )",105344,"(+/- 1811 )",94808,"(+/- 3570 )",95291,"(+/- 2874 )",128087,"(+/- 1631 )",136771,"(+/- 1005 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",32158,"(+/- 1746 )",26988,"(+/- 2070 )",28629,"(+/- 2495 )",32644,"(+/- 2137 )",29697,"(+/- 2530 )",27295,"(+/- 2050 )",39415,"(+/- 1809 )",43359,"(+/- 1919 )"
People,"Residence 1 Year Ago","Population 1 year and over",671070,"(+/- 2623 )",709758,"(+/- 2575 )",721367,"(+/- 4996 )",711487,"(+/- 3741 )",715453,"(+/- 6682 )",721284,"(+/- 5903 )",659734,"(+/- 2981 )",665082,"(+/- 1727 )"
People,"Residence 1 Year Ago","Same house",585050,"(+/- 6770 )",630978,"(+/- 7000 )",628537,"(+/- 8604 )",606879,"(+/- 8621 )",572302,"(+/- 10617 )",639920,"(+/- 8366 )",588411,"(+/- 4843 )",584625,"(+/- 5189 )"
People,"Residence 1 Year Ago","Different house in the U.S.",82576,"(+/- 6828 )",75822,"(+/- 6242 )",87521,"(+/- 8265 )",99553,"(+/- 6861 )",137411,"(+/- 7983 )",80364,"(+/- 6054 )",69901,"(+/- 4246 )",80000,"(+/- 4828 )"
People,"Residence 1 Year Ago","Same county",41157,"(+/- 5910 )",34291,"(+/- 4640 )",51791,"(+/- 7316 )",41487,"(+/- 4865 )",84332,"(+/- 6622 )",34130,"(+/- 4772 )",33536,"(+/- 3261 )",41491,"(+/- 4089 )"
People,"Residence 1 Year Ago","Different county",41419,"(+/- 3966 )",41531,"(+/- 4518 )",35730,"(+/- 4321 )",58066,"(+/- 5126 )",53079,"(+/- 5904 )",46234,"(+/- 4128 )",36365,"(+/- 3087 )",38509,"(+/- 3194 )"
People,"Residence 1 Year Ago","Same state",26816,"(+/- 3369 )",31652,"(+/- 3769 )",23173,"(+/- 3538 )",40777,"(+/- 4371 )",29689,"(+/- 4124 )",39798,"(+/- 4068 )",22975,"(+/- 2399 )",29133,"(+/- 2510 )"
People,"Residence 1 Year Ago","Different state",14603,"(+/- 2402 )",9879,"(+/- 2310 )",12557,"(+/- 2963 )",17289,"(+/- 3265 )",23390,"(+/- 3349 )",6436,"(+/- 1707 )",13390,"(+/- 2093 )",9376,"(+/- 1687 )"
People,"Residence 1 Year Ago",Abroad,3444,"(+/- 1082 )",2958,"(+/- 1488 )",5309,"(+/- 2002 )",5055,"(+/- 3295 )",5740,"(+/- 1632 )",1000,"(+/- 719 )",1422,"(+/- 444 )",457,"(+/- 237 )"
Workers,"Employment Status","Population 16 years and over",538386,"(+/- 2317 )",561762,"(+/- 3004 )",578890,"(+/- 5706 )",569126,"(+/- 3203 )",589249,"(+/- 7207 )",565580,"(+/- 5213 )",527879,"(+/- 2506 )",548584,"(+/- 1637 )"
