cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population",769026,"(+/- 4090 )",692452,"(+/- 7851 )",738992,"(+/- 7848 )",775679,"(+/- 1171 )"
People,"Sex and Age",Male,373950,"(+/- 3559 )",334942,"(+/- 4499 )",353073,"(+/- 5290 )",372992,"(+/- 2978 )"
People,"Sex and Age",Female,395076,"(+/- 3852 )",357510,"(+/- 5357 )",385919,"(+/- 6725 )",402687,"(+/- 2871 )"
People,"Sex and Age","Under 5 years",45780,"(+/- 1753 )",43154,"(+/- 2267 )",44429,"(+/- 3412 )",46134,"(+/- 1818 )"
People,"Sex and Age","5 to 9 years",49063,"(+/- 3030 )",44366,"(+/- 3157 )",48990,"(+/- 3790 )",47858,"(+/- 3477 )"
People,"Sex and Age","10 to 14 years",53029,"(+/- 3092 )",53649,"(+/- 3147 )",48466,"(+/- 3297 )",56120,"(+/- 3574 )"
People,"Sex and Age","15 to 19 years",56553,"(+/- 3714 )",51528,"(+/- 3715 )",49896,"(+/- 4132 )",56681,"(+/- 3580 )"
People,"Sex and Age","20 to 24 years",53874,"(+/- 2855 )",46685,"(+/- 3662 )",53309,"(+/- 3420 )",46921,"(+/- 3514 )"
People,"Sex and Age","25 to 34 years",92158,"(+/- 3511 )",87913,"(+/- 4521 )",91517,"(+/- 5686 )",96639,"(+/- 4326 )"
People,"Sex and Age","35 to 44 years",99078,"(+/- 3505 )",88772,"(+/- 4040 )",93687,"(+/- 5255 )",98073,"(+/- 3776 )"
People,"Sex and Age","45 to 54 years",97801,"(+/- 3323 )",76352,"(+/- 3392 )",88379,"(+/- 4342 )",99025,"(+/- 3478 )"
People,"Sex and Age","55 to 59 years",50762,"(+/- 3073 )",46007,"(+/- 2905 )",46344,"(+/- 3016 )",49608,"(+/- 3682 )"
People,"Sex and Age","60 to 64 years",47335,"(+/- 3073 )",42454,"(+/- 2563 )",49922,"(+/- 3153 )",51034,"(+/- 3514 )"
People,"Sex and Age","65 to 74 years",73505,"(+/- 2123 )",66640,"(+/- 2616 )",72404,"(+/- 2855 )",76515,"(+/- 2367 )"
People,"Sex and Age","75 to 84 years",35082,"(+/- 2173 )",34332,"(+/- 2420 )",36965,"(+/- 2694 )",36940,"(+/- 2182 )"
People,"Sex and Age","85 years and over",15006,"(+/- 1905 )",10600,"(+/- 1804 )",14684,"(+/- 2446 )",14131,"(+/- 1850 )"
People,"Sex and Age","Median age (years)",38.3,"(+/- 0.4 )",37.4,"(+/- 0.6 )",38.4,"(+/- 0.5 )",39.0,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",589185,"(+/- 3598 )",523742,"(+/- 6230 )",568222,"(+/- 6375 )",596580,"(+/- 1936 )"
People,"Sex and Age","65 years and over",123593,"(+/- 2221 )",111572,"(+/- 2753 )",124053,"(+/- 2980 )",127586,"(+/- 2364 )"
People,Race,"Total population",769026,"(+/- 4090 )",692452,"(+/- 7851 )",738992,"(+/- 7848 )",775679,"(+/- 1171 )"
People,Race,"One race",759553,"(+/- 4856 )",685314,"(+/- 7998 )",732717,"(+/- 7844 )",754901,"(+/- 4357 )"
People,Race,White,513762,"(+/- 3570 )",211581,"(+/- 5845 )",447016,"(+/- 6008 )",554611,"(+/- 4197 )"
People,Race,"Black or African American",222636,"(+/- 4592 )",464171,"(+/- 6936 )",261390,"(+/- 6674 )",182411,"(+/- 5495 )"
People,Race,"American Indian and Alaska Native",1110,"(+/- 530 )",3335,"(+/- 1237 )",7390,"(+/- 459 )",2799,"(+/- 1533 )"
People,Race,Asian,8329,"(+/- 2354 )",3582,"(+/- 1255 )",9074,"(+/- 1567 )",10169,"(+/- 1643 )"
People,Race,"Native Hawaiian and Other Pacific Islander",87,"(+/- 163 )",88,"(+/- 196 )",0,"(+/- 226 )",0,"(+/- 226 )"
People,Race,"Some other race",13629,"(+/- 1988 )",2557,"(+/- 1054 )",7847,"(+/- 2587 )",4911,"(+/- 2199 )"
People,Race,"Two or more races",9473,"(+/- 2647 )",7138,"(+/- 2610 )",6275,"(+/- 1902 )",20778,"(+/- 4330 )"
People,"Hispanic or Latino and Race","Total population",769026,"(+/- 4090 )",692452,"(+/- 7851 )",738992,"(+/- 7848 )",775679,"(+/- 1171 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",25750,"(+/- 1275 )",12888,"(+/- 2443 )",17446,"(+/- 2315 )",34059,"(+/- 1853 )"
People,"Hispanic or Latino and Race",Mexican,19645,"(+/- 1613 )",6996,"(+/- 1992 )",9827,"(+/- 2867 )",14781,"(+/- 2529 )"
People,"Hispanic or Latino and Race","Puerto Rican",1549,"(+/- 857 )",902,"(+/- 741 )",1212,"(+/- 796 )",6126,"(+/- 2074 )"
People,"Hispanic or Latino and Race",Cuban,750,"(+/- 743 )",2605,"(+/- 1931 )",1034,"(+/- 1335 )",1902,"(+/- 1497 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",3806,"(+/- 1033 )",2385,"(+/- 1092 )",5373,"(+/- 2491 )",11250,"(+/- 2649 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",743276,"(+/- 4203 )",679564,"(+/- 7851 )",721546,"(+/- 7647 )",741620,"(+/- 2308 )"
People,"Place of Birth","Total population",769026,"(+/- 4090 )",692452,"(+/- 7851 )",738992,"(+/- 7848 )",775679,"(+/- 1171 )"
People,"Place of Birth",Native,750597,"(+/- 5171 )",684238,"(+/- 7834 )",721948,"(+/- 8436 )",755449,"(+/- 3271 )"
People,"Place of Birth","Born in United States",746704,"(+/- 5234 )",681805,"(+/- 7828 )",718175,"(+/- 8529 )",745474,"(+/- 3703 )"
People,"Place of Birth","State of residence",489663,"(+/- 10144 )",585491,"(+/- 9078 )",569524,"(+/- 10925 )",482956,"(+/- 10395 )"
People,"Place of Birth","Different state",257041,"(+/- 9016 )",96314,"(+/- 6367 )",148651,"(+/- 9097 )",262518,"(+/- 10241 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",3893,"(+/- 1134 )",2433,"(+/- 977 )",3773,"(+/- 1445 )",9975,"(+/- 2502 )"
People,"Place of Birth","Foreign born",18429,"(+/- 2552 )",8214,"(+/- 1720 )",17044,"(+/- 2931 )",20230,"(+/- 3039 )"
People,Ancestry,"Total population",769026,"(+/- 4090 )",692452,"(+/- 7851 )",738992,"(+/- 7848 )",775679,"(+/- 1171 )"
People,Ancestry,American,88862,"(+/- 5580 )",38497,"(+/- 4371 )",88545,"(+/- 8225 )",87181,"(+/- 8624 )"
