cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Sex and Age","Total population",727772,"(+/- 11114 )",751926,"(+/- 14353 )",802919,"(+/- 8570 )",775664,"(+/- 4050 )",777659,"(+/- 7357 )",777104,"(+/- 7601 )",787917,"(+/- 3195 )",736467,"(+/- 5208 )"
People,"Sex and Age",Male,344466,"(+/- 6489 )",361748,"(+/- 8211 )",403071,"(+/- 4978 )",386924,"(+/- 3246 )",379496,"(+/- 4475 )",381445,"(+/- 4639 )",387051,"(+/- 3071 )",363968,"(+/- 3530 )"
People,"Sex and Age",Female,383306,"(+/- 6292 )",390178,"(+/- 8056 )",399848,"(+/- 5149 )",388740,"(+/- 3296 )",398163,"(+/- 4282 )",395659,"(+/- 5155 )",400866,"(+/- 3010 )",372499,"(+/- 3515 )"
People,"Sex and Age","Under 5 years",45399,"(+/- 2460 )",40492,"(+/- 3119 )",47096,"(+/- 1758 )",45876,"(+/- 1472 )",50449,"(+/- 1476 )",46758,"(+/- 1913 )",46692,"(+/- 1875 )",42689,"(+/- 1744 )"
People,"Sex and Age","5 to 9 years",42474,"(+/- 3571 )",43749,"(+/- 3661 )",53281,"(+/- 3210 )",46638,"(+/- 2575 )",46222,"(+/- 3645 )",51370,"(+/- 3371 )",52507,"(+/- 3097 )",44577,"(+/- 2979 )"
People,"Sex and Age","10 to 14 years",43930,"(+/- 3768 )",44848,"(+/- 3235 )",52425,"(+/- 3228 )",50324,"(+/- 2453 )",51885,"(+/- 3670 )",50764,"(+/- 2906 )",49647,"(+/- 3536 )",47947,"(+/- 2850 )"
People,"Sex and Age","15 to 19 years",45373,"(+/- 2643 )",42055,"(+/- 2733 )",49775,"(+/- 2574 )",60175,"(+/- 3206 )",45019,"(+/- 1689 )",56415,"(+/- 2784 )",50675,"(+/- 2104 )",48748,"(+/- 2340 )"
People,"Sex and Age","20 to 24 years",51075,"(+/- 3427 )",39425,"(+/- 3932 )",45565,"(+/- 2582 )",62415,"(+/- 2942 )",48090,"(+/- 2178 )",46562,"(+/- 2439 )",59212,"(+/- 1799 )",42648,"(+/- 2372 )"
People,"Sex and Age","25 to 34 years",125552,"(+/- 3709 )",87548,"(+/- 4492 )",101437,"(+/- 3668 )",100018,"(+/- 2936 )",122798,"(+/- 2591 )",95027,"(+/- 3374 )",103721,"(+/- 2611 )",87621,"(+/- 2594 )"
People,"Sex and Age","35 to 44 years",92909,"(+/- 3220 )",90963,"(+/- 4065 )",105535,"(+/- 3441 )",92399,"(+/- 2437 )",97156,"(+/- 2813 )",96768,"(+/- 3373 )",92818,"(+/- 1988 )",88161,"(+/- 2223 )"
People,"Sex and Age","45 to 54 years",81769,"(+/- 2948 )",95184,"(+/- 3660 )",101301,"(+/- 3309 )",85607,"(+/- 2309 )",90923,"(+/- 2490 )",97147,"(+/- 3205 )",90749,"(+/- 1395 )",87965,"(+/- 2362 )"
People,"Sex and Age","55 to 59 years",45044,"(+/- 3290 )",58161,"(+/- 3765 )",58286,"(+/- 3661 )",49249,"(+/- 2616 )",51375,"(+/- 2658 )",54748,"(+/- 2763 )",49324,"(+/- 2747 )",54107,"(+/- 2830 )"
People,"Sex and Age","60 to 64 years",47887,"(+/- 3289 )",57882,"(+/- 3240 )",54284,"(+/- 3690 )",51422,"(+/- 2843 )",51214,"(+/- 2958 )",49838,"(+/- 2862 )",52038,"(+/- 2794 )",52284,"(+/- 3039 )"
People,"Sex and Age","65 to 74 years",62800,"(+/- 2048 )",84131,"(+/- 2476 )",81158,"(+/- 2207 )",75618,"(+/- 1654 )",69174,"(+/- 1779 )",76134,"(+/- 1887 )",80496,"(+/- 1478 )",79739,"(+/- 1643 )"
People,"Sex and Age","75 to 84 years",31559,"(+/- 2550 )",46611,"(+/- 2674 )",40456,"(+/- 2352 )",42463,"(+/- 1777 )",37903,"(+/- 2000 )",40398,"(+/- 2075 )",43454,"(+/- 2181 )",44188,"(+/- 2045 )"
People,"Sex and Age","85 years and over",12001,"(+/- 1658 )",20877,"(+/- 2468 )",12320,"(+/- 1477 )",13460,"(+/- 1404 )",15451,"(+/- 1704 )",15175,"(+/- 1706 )",16584,"(+/- 2109 )",15793,"(+/- 1697 )"
People,"Sex and Age","Median age (years)",36.0,"(+/- 0.5 )",43.3,"(+/- 0.8 )",39.8,"(+/- 0.5 )",37.1,"(+/- 0.4 )",37.5,"(+/- 0.4 )",39.3,"(+/- 0.5 )",38.2,"(+/- 0.3 )",40.7,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",570177,"(+/- 8186 )",595216,"(+/- 10441 )",617791,"(+/- 6459 )",604961,"(+/- 3142 )",601151,"(+/- 5535 )",594755,"(+/- 5529 )",609265,"(+/- 2899 )",571417,"(+/- 3918 )"
People,"Sex and Age","65 years and over",106360,"(+/- 3311 )",151619,"(+/- 3685 )",133934,"(+/- 2897 )",131541,"(+/- 1968 )",122528,"(+/- 2297 )",131707,"(+/- 2294 )",140534,"(+/- 1794 )",139720,"(+/- 1878 )"
People,Race,"Total population",727772,"(+/- 11114 )",751926,"(+/- 14353 )",802919,"(+/- 8570 )",775664,"(+/- 4050 )",777659,"(+/- 7357 )",777104,"(+/- 7601 )",787917,"(+/- 3195 )",736467,"(+/- 5208 )"
People,Race,"One race",706517,"(+/- 11653 )",735393,"(+/- 13187 )",786079,"(+/- 8528 )",748534,"(+/- 5434 )",750684,"(+/- 7857 )",751255,"(+/- 7125 )",762693,"(+/- 4583 )",724020,"(+/- 5868 )"
People,Race,White,308948,"(+/- 9281 )",666694,"(+/- 12358 )",736085,"(+/- 8417 )",688277,"(+/- 4428 )",534414,"(+/- 8051 )",693307,"(+/- 7647 )",717901,"(+/- 3665 )",677313,"(+/- 5403 )"
People,Race,"Black or African American",356860,"(+/- 7408 )",27710,"(+/- 5025 )",31939,"(+/- 3542 )",36132,"(+/- 3476 )",165064,"(+/- 4262 )",35330,"(+/- 3577 )",14714,"(+/- 1819 )",35309,"(+/- 2013 )"
People,Race,"American Indian and Alaska Native",1724,"(+/- 781 )",1624,"(+/- 821 )",3111,"(+/- 1290 )",3926,"(+/- 1126 )",2745,"(+/- 957 )",2986,"(+/- 778 )",7041,"(+/- 1644 )",2359,"(+/- 843 )"
People,Race,Asian,25193,"(+/- 3155 )",34616,"(+/- 3202 )",10500,"(+/- 1650 )",14754,"(+/- 1679 )",13432,"(+/- 1458 )",10749,"(+/- 1942 )",11366,"(+/- 963 )",6544,"(+/- 1328 )"
People,Race,"Native Hawaiian and Other Pacific Islander",61,"(+/- 95 )",1604,"(+/- 2213 )",186,"(+/- 194 )",1402,"(+/- 1300 )",3175,"(+/- 343 )",2315,"(+/- 1289 )",772,"(+/- 537 )",699,"(+/- 581 )"
People,Race,"Some other race",13731,"(+/- 3980 )",3145,"(+/- 1479 )",4258,"(+/- 1506 )",4043,"(+/- 1342 )",31854,"(+/- 5636 )",6568,"(+/- 2477 )",10899,"(+/- 2387 )",1796,"(+/- 877 )"
People,Race,"Two or more races",21255,"(+/- 4483 )",16533,"(+/- 3285 )",16840,"(+/- 3060 )",27130,"(+/- 3690 )",26975,"(+/- 4405 )",25849,"(+/- 3580 )",25224,"(+/- 3236 )",12447,"(+/- 1959 )"
People,"Hispanic or Latino and Race","Total population",727772,"(+/- 11114 )",751926,"(+/- 14353 )",802919,"(+/- 8570 )",775664,"(+/- 4050 )",777659,"(+/- 7357 )",777104,"(+/- 7601 )",787917,"(+/- 3195 )",736467,"(+/- 5208 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",25856,"(+/- 2906 )",23553,"(+/- 3033 )",21486,"(+/- 1858 )",30373,"(+/- 1255 )",72855,"(+/- 3771 )",32999,"(+/- 4096 )",42898,"(+/- 701 )",14314,"(+/- 1530 )"
People,"Hispanic or Latino and Race",Mexican,18149,"(+/- 3027 )",12042,"(+/- 2640 )",12772,"(+/- 2114 )",19032,"(+/- 2278 )",51279,"(+/- 4660 )",20702,"(+/- 4331 )",27700,"(+/- 2705 )",9826,"(+/- 1533 )"
People,"Hispanic or Latino and Race","Puerto Rican",1784,"(+/- 765 )",1987,"(+/- 908 )",1845,"(+/- 1259 )",4555,"(+/- 1650 )",2410,"(+/- 1091 )",3567,"(+/- 1868 )",2393,"(+/- 1367 )",1145,"(+/- 722 )"
People,"Hispanic or Latino and Race",Cuban,458,"(+/- 296 )",2191,"(+/- 1081 )",678,"(+/- 756 )",522,"(+/- 490 )",3547,"(+/- 2244 )",755,"(+/- 594 )",47,"(+/- 88 )",1131,"(+/- 672 )"
