cdTopic,Subject,Title,District 01 Estimate,District (At Large) MOE
People,Sex and Age,Total population,1068778,(*****)
People,Sex and Age,Male,537170,(+/- 2159 )
People,Sex and Age,Female,531608,(+/- 2159 )
People,Sex and Age,Under 5 years,58850,(+/- 1310 )
People,Sex and Age,5 to 9 years,61823,(+/- 2789 )
People,Sex and Age,10 to 14 years,67783,(+/- 2971 )
People,Sex and Age,15 to 19 years,70013,(+/- 2502 )
People,Sex and Age,20 to 24 years,68359,(+/- 2753 )
People,Sex and Age,25 to 34 years,133119,(+/- 2830 )
People,Sex and Age,35 to 44 years,132472,(+/- 2017 )
People,Sex and Age,45 to 54 years,117178,(+/- 2014 )
People,Sex and Age,55 to 59 years,72614,(+/- 2995 )
People,Sex and Age,60 to 64 years,78658,(+/- 2723 )
People,Sex and Age,65 to 74 years,126488,(+/- 1331 )
People,Sex and Age,75 to 84 years,60461,(+/- 2271 )
People,Sex and Age,85 years and over,20960,(+/- 2067 )
People,Sex and Age,Median age (years),40.5,(+/- 0.3 )
People,Sex and Age,18 years and over,842254,(+/- 1539 )
People,Sex and Age,65 years and over,207909,(+/- 1531 )
People,Race,Total population,1068778,(*****)
People,Race,One race,1032261,(+/- 3637 )
People,Race,White,940423,(+/- 2810 )
People,Race,Black or African American,7787,(+/- 1893 )
People,Race,American Indian and Alaska Native,67603,(+/- 3257 )
People,Race,Asian,8927,(+/- 1287 )
People,Race,Native Hawaiian and Other Pacific Islander,224,(+/- 253 )
People,Race,Some other race,7297,(+/- 1714 )
People,Race,Two or more races,36517,(+/- 3637 )
People,Hispanic or Latino and Race,Total population,1068778,(*****)
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),40328,(+/- 1552 )
People,Hispanic or Latino and Race,Mexican,29795,(+/- 1939 )
People,Hispanic or Latino and Race,Puerto Rican,1940,(+/- 757 )
People,Hispanic or Latino and Race,Cuban,1054,(+/- 826 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,7539,(+/- 1675 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,1028450,(+/- 1552 )
People,Place of Birth,Total population,1068778,(*****)
People,Place of Birth,Native,1043710,(+/- 2916 )
People,Place of Birth,Born in United States,1033986,(+/- 3512 )
People,Place of Birth,State of residence,571138,(+/- 8944 )
People,Place of Birth,Different state,462848,(+/- 9133 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",9724,(+/- 1860 )
People,Place of Birth,Foreign born,25068,(+/- 2916 )
People,Ancestry,Total population,1068778,(*****)
People,Ancestry,American,50511,(+/- 4381 )
People,Ancestry,Arab,1844,(+/- 1087 )
People,Ancestry,Czech,6473,(+/- 1409 )
People,Ancestry,Danish,10526,(+/- 1779 )
People,Ancestry,Dutch,21447,(+/- 2704 )
People,Ancestry,English,115849,(+/- 5694 )
People,Ancestry,French (except Basque),36215,(+/- 4286 )
People,Ancestry,French Canadian,8212,(+/- 1482 )
People,Ancestry,German,255305,(+/- 8383 )
People,Ancestry,Greek,2735,(+/- 1870 )
People,Ancestry,Hungarian,4116,(+/- 1357 )
People,Ancestry,Irish,149147,(+/- 8258 )
People,Ancestry,Italian,34721,(+/- 3486 )
People,Ancestry,Lithuanian,1019,(+/- 504 )
People,Ancestry,Norwegian,89062,(+/- 6476 )
People,Ancestry,Polish,19782,(+/- 2616 )
People,Ancestry,Portuguese,2101,(+/- 761 )
People,Ancestry,Russian,9149,(+/- 1953 )
People,Ancestry,Scotch-Irish,14429,(+/- 2330 )
People,Ancestry,Scottish,29131,(+/- 2954 )
People,Ancestry,Slovak,1033,(+/- 631 )
People,Ancestry,Subsaharan African,2760,(+/- 1079 )
People,Ancestry,Swedish,28873,(+/- 4413 )
People,Ancestry,Swiss,5796,(+/- 1443 )
People,Ancestry,Ukrainian,3739,(+/- 1366 )
People,Ancestry,Welsh,9957,(+/- 1693 )
People,Ancestry,West Indian (excluding Hispanic origin groups),1334,(+/- 945 )
People,Veteran Status,Civilian population 18 years and over,839149,(+/- 1811 )
People,Veteran Status,Civilian veterans,86270,(+/- 4621 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,1053646,(+/- 851 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,142208,(+/- 5421 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,225536,(+/- 1537 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,9373,(+/- 1639 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,624910,(+/- 2083 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,65253,(+/- 4172 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,203200,(+/- 1562 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,67582,(+/- 3331 )
People,Residence 1 Year Ago,Population 1 year and over,1056994,(+/- 1671 )
People,Residence 1 Year Ago,Same house,882156,(+/- 9661 )
People,Residence 1 Year Ago,Different house in the U.S.,170641,(+/- 9445 )
People,Residence 1 Year Ago,Same county,88015,(+/- 7017 )
People,Residence 1 Year Ago,Different county,82626,(+/- 6186 )
People,Residence 1 Year Ago,Same state,41764,(+/- 4999 )
People,Residence 1 Year Ago,Different state,40862,(+/- 4320 )
People,Residence 1 Year Ago,Abroad,4197,(+/- 1406 )
Workers,Employment Status,Population 16 years and over,869402,(+/- 2312 )
Workers,Employment Status,In labor force,545370,(+/- 5673 )
Workers,Employment Status,Civilian labor force,542265,(+/- 5700 )
