cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population",712411,"(+/- 18319 )",736907,"(+/- 3284 )",857197,"(+/- 15302 )",773641,"(+/- 15699 )"
People,"Sex and Age",Male,359375,"(+/- 10978 )",374971,"(+/- 2656 )",421995,"(+/- 8981 )",388438,"(+/- 9942 )"
People,"Sex and Age",Female,353036,"(+/- 10467 )",361936,"(+/- 2409 )",435202,"(+/- 9475 )",385203,"(+/- 9570 )"
People,"Sex and Age","Under 5 years",44067,"(+/- 4019 )",41719,"(+/- 1000 )",49556,"(+/- 3797 )",48826,"(+/- 4291 )"
People,"Sex and Age","5 to 9 years",42395,"(+/- 3511 )",42336,"(+/- 2669 )",48817,"(+/- 4702 )",51776,"(+/- 4311 )"
People,"Sex and Age","10 to 14 years",50549,"(+/- 4883 )",47241,"(+/- 3097 )",52695,"(+/- 3839 )",56196,"(+/- 4588 )"
People,"Sex and Age","15 to 19 years",42197,"(+/- 3893 )",42437,"(+/- 1968 )",45369,"(+/- 3078 )",54663,"(+/- 4175 )"
People,"Sex and Age","20 to 24 years",46310,"(+/- 3594 )",45992,"(+/- 2120 )",46011,"(+/- 3719 )",44538,"(+/- 3979 )"
People,"Sex and Age","25 to 34 years",114239,"(+/- 6513 )",105143,"(+/- 2882 )",123330,"(+/- 5335 )",106343,"(+/- 6349 )"
People,"Sex and Age","35 to 44 years",96213,"(+/- 5248 )",89251,"(+/- 2129 )",126448,"(+/- 5486 )",98409,"(+/- 5079 )"
People,"Sex and Age","45 to 54 years",89831,"(+/- 4894 )",89327,"(+/- 2094 )",121295,"(+/- 4278 )",95651,"(+/- 5088 )"
People,"Sex and Age","55 to 59 years",46684,"(+/- 3818 )",51540,"(+/- 3020 )",52974,"(+/- 3900 )",46716,"(+/- 3374 )"
People,"Sex and Age","60 to 64 years",39029,"(+/- 3030 )",50088,"(+/- 2581 )",49012,"(+/- 3683 )",46724,"(+/- 3665 )"
People,"Sex and Age","65 to 74 years",62016,"(+/- 3478 )",83430,"(+/- 1708 )",84915,"(+/- 3396 )",75482,"(+/- 3476 )"
People,"Sex and Age","75 to 84 years",29985,"(+/- 2486 )",38379,"(+/- 2034 )",43805,"(+/- 3215 )",37415,"(+/- 2458 )"
People,"Sex and Age","85 years and over",8896,"(+/- 1376 )",10024,"(+/- 1783 )",12970,"(+/- 1853 )",10902,"(+/- 1559 )"
People,"Sex and Age","Median age (years)",36.4,"(+/- 0.7 )",39.6,"(+/- 0.5 )",39.7,"(+/- 0.6 )",37.3,"(+/- 0.8 )"
People,"Sex and Age","18 years and over",550029,"(+/- 12073 )",580489,"(+/- 2482 )",676863,"(+/- 10602 )",582038,"(+/- 10673 )"
People,"Sex and Age","65 years and over",100897,"(+/- 3721 )",131833,"(+/- 1835 )",141690,"(+/- 4542 )",123799,"(+/- 4416 )"
