cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population",686735,"(+/- 6977 )",672976,"(+/- 6977 )"
People,"Sex and Age",Male,335575,"(+/- 4543 )",337385,"(+/- 4756 )"
People,"Sex and Age",Female,351160,"(+/- 4765 )",335591,"(+/- 4373 )"
People,"Sex and Age","Under 5 years",29745,"(+/- 1678 )",34455,"(+/- 2036 )"
People,"Sex and Age","5 to 9 years",32958,"(+/- 2608 )",34043,"(+/- 2245 )"
People,"Sex and Age","10 to 14 years",41963,"(+/- 2872 )",34747,"(+/- 2372 )"
People,"Sex and Age","15 to 19 years",44068,"(+/- 2176 )",43318,"(+/- 1967 )"
People,"Sex and Age","20 to 24 years",44159,"(+/- 2432 )",40505,"(+/- 2496 )"
People,"Sex and Age","25 to 34 years",85510,"(+/- 3287 )",85220,"(+/- 2985 )"
People,"Sex and Age","35 to 44 years",82991,"(+/- 3579 )",75994,"(+/- 2957 )"
People,"Sex and Age","45 to 54 years",92145,"(+/- 3375 )",89984,"(+/- 3347 )"
People,"Sex and Age","55 to 59 years",57488,"(+/- 3806 )",53315,"(+/- 3680 )"
People,"Sex and Age","60 to 64 years",50644,"(+/- 3112 )",53312,"(+/- 3080 )"
People,"Sex and Age","65 to 74 years",75037,"(+/- 2446 )",77013,"(+/- 2639 )"
People,"Sex and Age","75 to 84 years",36213,"(+/- 2078 )",36017,"(+/- 2404 )"
People,"Sex and Age","85 years and over",13814,"(+/- 1765 )",15053,"(+/- 1727 )"
People,"Sex and Age","Median age (years)",42.5,"(+/- 0.6 )",43.5,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",558656,"(+/- 5321 )",545035,"(+/- 5422 )"
People,"Sex and Age","65 years and over",125064,"(+/- 3041 )",128083,"(+/- 2976 )"
People,Race,"Total population",686735,"(+/- 6977 )",672976,"(+/- 6977 )"
People,Race,"One race",674327,"(+/- 7363 )",655179,"(+/- 7110 )"
People,Race,White,637422,"(+/- 7210 )",621154,"(+/- 7214 )"
People,Race,"Black or African American",11005,"(+/- 2200 )",10995,"(+/- 1782 )"
People,Race,"American Indian and Alaska Native",593,"(+/- 538 )",1134,"(+/- 600 )"
People,Race,Asian,18207,"(+/- 2676 )",17600,"(+/- 2436 )"
People,Race,"Native Hawaiian and Other Pacific Islander",320,"(+/- 350 )",393,"(+/- 401 )"
People,Race,"Some other race",6780,"(+/- 3144 )",3903,"(+/- 1790 )"
People,Race,"Two or more races",12408,"(+/- 2432 )",17797,"(+/- 2348 )"
People,"Hispanic or Latino and Race","Total population",686735,"(+/- 6977 )",672976,"(+/- 6977 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",28283,"(+/- 3664 )",25899,"(+/- 3670 )"
People,"Hispanic or Latino and Race",Mexican,2460,"(+/- 1007 )",5053,"(+/- 2216 )"
People,"Hispanic or Latino and Race","Puerto Rican",9376,"(+/- 2789 )",9873,"(+/- 3001 )"
People,"Hispanic or Latino and Race",Cuban,613,"(+/- 543 )",1577,"(+/- 772 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",15834,"(+/- 3199 )",9396,"(+/- 2378 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",658452,"(+/- 7644 )",647077,"(+/- 7690 )"
People,"Place of Birth","Total population",686735,"(+/- 6977 )",672976,"(+/- 6977 )"
People,"Place of Birth",Native,638612,"(+/- 7038 )",634193,"(+/- 7254 )"
People,"Place of Birth","Born in United States",629377,"(+/- 7450 )",624810,"(+/- 7604 )"
People,"Place of Birth","State of residence",270310,"(+/- 8143 )",281967,"(+/- 9080 )"
People,"Place of Birth","Different state",359067,"(+/- 8859 )",342843,"(+/- 8302 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",9235,"(+/- 1617 )",9383,"(+/- 1665 )"
People,"Place of Birth","Foreign born",48123,"(+/- 4229 )",38783,"(+/- 3923 )"
People,Ancestry,"Total population",686735,"(+/- 6977 )",672976,"(+/- 6977 )"
People,Ancestry,American,34536,"(+/- 4729 )",34462,"(+/- 4385 )"
People,Ancestry,Arab,2542,"(+/- 881 )",3606,"(+/- 1470 )"
People,Ancestry,Czech,798,"(+/- 421 )",1471,"(+/- 806 )"
People,Ancestry,Danish,1047,"(+/- 605 )",1725,"(+/- 618 )"
People,Ancestry,Dutch,4059,"(+/- 1171 )",6570,"(+/- 1891 )"
People,Ancestry,English,113890,"(+/- 7709 )",102782,"(+/- 7058 )"
People,Ancestry,"French (except Basque)",78807,"(+/- 6549 )",82252,"(+/- 7140 )"
People,Ancestry,"French Canadian",66203,"(+/- 5755 )",61233,"(+/- 5381 )"
People,Ancestry,German,56781,"(+/- 5094 )",58320,"(+/- 5153 )"
People,Ancestry,Greek,9664,"(+/- 1957 )",7549,"(+/- 2245 )"
People,Ancestry,Hungarian,1869,"(+/- 1091 )",2942,"(+/- 998 )"
People,Ancestry,Irish,146302,"(+/- 7153 )",128075,"(+/- 7231 )"
People,Ancestry,Italian,80064,"(+/- 7226 )",60534,"(+/- 5072 )"
People,Ancestry,Lithuanian,4268,"(+/- 1943 )",3556,"(+/- 986 )"
People,Ancestry,Norwegian,7366,"(+/- 1623 )",7264,"(+/- 2044 )"
People,Ancestry,Polish,29335,"(+/- 3270 )",27842,"(+/- 3333 )"
People,Ancestry,Portuguese,10215,"(+/- 2337 )",12280,"(+/- 2566 )"
People,Ancestry,Russian,4733,"(+/- 1258 )",6028,"(+/- 1952 )"
People,Ancestry,Scotch-Irish,10049,"(+/- 2072 )",7672,"(+/- 1549 )"
People,Ancestry,Scottish,25520,"(+/- 3128 )",26831,"(+/- 4083 )"
People,Ancestry,Slovak,1443,"(+/- 1000 )",813,"(+/- 453 )"
People,Ancestry,"Subsaharan African",4058,"(+/- 1951 )",4643,"(+/- 1655 )"
People,Ancestry,Swedish,13370,"(+/- 2099 )",11889,"(+/- 2287 )"
People,Ancestry,Swiss,1521,"(+/- 919 )",1142,"(+/- 549 )"
People,Ancestry,Ukrainian,2151,"(+/- 890 )",2896,"(+/- 1099 )"
People,Ancestry,Welsh,5797,"(+/- 1765 )",4063,"(+/- 1459 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1732,"(+/- 976 )",2937,"(+/- 1195 )"
People,"Veteran Status","Civilian population 18 years and over",557015,"(+/- 5411 )",544847,"(+/- 5438 )"
People,"Veteran Status","Civilian veterans",46645,"(+/- 3246 )",47221,"(+/- 3126 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",679238,"(+/- 7256 )",664099,"(+/- 7145 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",87531,"(+/- 5602 )",88730,"(+/- 5004 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",127871,"(+/- 3966 )",127740,"(+/- 4063 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",5404,"(+/- 1316 )",6552,"(+/- 1395 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",430107,"(+/- 5345 )",412172,"(+/- 5301 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",44122,"(+/- 3910 )",44369,"(+/- 3894 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",121260,"(+/- 3095 )",124187,"(+/- 3166 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",38005,"(+/- 2792 )",37809,"(+/- 2189 )"
People,"Residence 1 Year Ago","Population 1 year and over",682412,"(+/- 6988 )",667743,"(+/- 6860 )"
People,"Residence 1 Year Ago","Same house",589658,"(+/- 9517 )",584339,"(+/- 8318 )"
People,"Residence 1 Year Ago","Different house in the U.S.",88489,"(+/- 7035 )",80988,"(+/- 5960 )"
People,"Residence 1 Year Ago","Same county",47571,"(+/- 5930 )",38620,"(+/- 4962 )"
People,"Residence 1 Year Ago","Different county",40918,"(+/- 4547 )",42368,"(+/- 4063 )"
People,"Residence 1 Year Ago","Same state",17285,"(+/- 2711 )",15713,"(+/- 2924 )"
People,"Residence 1 Year Ago","Different state",23633,"(+/- 3670 )",26655,"(+/- 3312 )"
People,"Residence 1 Year Ago",Abroad,4265,"(+/- 1968 )",2416,"(+/- 1197 )"
Workers,"Employment Status","Population 16 years and over",575321,"(+/- 5465 )",561995,"(+/- 5565 )"
Workers,"Employment Status","In labor force",390533,"(+/- 7024 )",369398,"(+/- 7230 )"
Workers,"Employment Status","Civilian labor force",388892,"(+/- 7070 )",369210,"(+/- 7234 )"
Workers,"Employment Status",Employed,376508,"(+/- 7510 )",358985,"(+/- 7523 )"
Workers,"Employment Status",Unemployed,12384,"(+/- 1843 )",10225,"(+/- 1630 )"
Workers,"Employment Status","Armed Forces",1641,"(+/- 720 )",188,"(+/- 205 )"
Workers,"Employment Status","Not in labor force",184788,"(+/- 5732 )",192597,"(+/- 5033 )"
Workers,"Employment Status","Civilian labor force",388892,"(+/- 7070 )",369210,"(+/- 7234 )"
Workers,"Employment Status","Unemployment Rate",3.2,"(+/- 0.5 )",2.8,"(+/- 0.4 )"
