cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE"
People,"Sex and Age","Total population",691229,"(+/- 8667 )",705615,"(+/- 5623 )",699985,"(+/- 6671 )"
People,"Sex and Age",Male,336583,"(+/- 4904 )",356884,"(+/- 4225 )",343241,"(+/- 4259 )"
People,"Sex and Age",Female,354646,"(+/- 4790 )",348731,"(+/- 3797 )",356744,"(+/- 4091 )"
People,"Sex and Age","Under 5 years",36740,"(+/- 1680 )",41696,"(+/- 1662 )",38542,"(+/- 1651 )"
People,"Sex and Age","5 to 9 years",38348,"(+/- 3259 )",46875,"(+/- 4442 )",45528,"(+/- 3508 )"
People,"Sex and Age","10 to 14 years",44285,"(+/- 3246 )",52866,"(+/- 3990 )",49056,"(+/- 3126 )"
People,"Sex and Age","15 to 19 years",42385,"(+/- 1277 )",52521,"(+/- 3208 )",44280,"(+/- 2485 )"
People,"Sex and Age","20 to 24 years",43815,"(+/- 1892 )",52138,"(+/- 3311 )",41766,"(+/- 2626 )"
People,"Sex and Age","25 to 34 years",100166,"(+/- 3788 )",85702,"(+/- 3209 )",92759,"(+/- 3894 )"
People,"Sex and Age","35 to 44 years",90232,"(+/- 2601 )",86329,"(+/- 3300 )",85286,"(+/- 3094 )"
People,"Sex and Age","45 to 54 years",81035,"(+/- 2281 )",75740,"(+/- 2645 )",78300,"(+/- 2904 )"
People,"Sex and Age","55 to 59 years",43167,"(+/- 2976 )",42677,"(+/- 2864 )",46522,"(+/- 2282 )"
People,"Sex and Age","60 to 64 years",48772,"(+/- 2980 )",44100,"(+/- 2712 )",47471,"(+/- 2571 )"
People,"Sex and Age","65 to 74 years",73194,"(+/- 1480 )",73439,"(+/- 2309 )",77378,"(+/- 1847 )"
People,"Sex and Age","75 to 84 years",33751,"(+/- 1812 )",40719,"(+/- 2251 )",38751,"(+/- 2000 )"
People,"Sex and Age","85 years and over",15339,"(+/- 1912 )",10813,"(+/- 1676 )",14346,"(+/- 1717 )"
People,"Sex and Age","Median age (years)",39.1,"(+/- 0.5 )",37.3,"(+/- 0.4 )",39.3,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",545971,"(+/- 6345 )",536668,"(+/- 4269 )",540340,"(+/- 5412 )"
People,"Sex and Age","65 years and over",122284,"(+/- 1745 )",124971,"(+/- 2401 )",130475,"(+/- 1941 )"
