cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE"
People,"Sex and Age","Total population",713168,"(+/- 5293 )",698974,"(+/- 9107 )",725746,"(+/- 11728 )",730314,"(+/- 12509 )",759001,"(+/- 18721 )",714299,"(+/- 18826 )",698794,"(+/- 21552 )",776825,"(+/- 19704 )",720316,"(+/- 19819 )",732732,"(+/- 20718 )",737390,"(+/- 11021 )",725760,"(+/- 18574 )",751661,"(+/- 19085 )",696664,"(+/- 17664 )",739390,"(+/- 17023 )",739893,"(+/- 13763 )",737355,"(+/- 6742 )",718624,"(+/- 5766 )",701011,"(+/- 5617 )",725669,"(+/- 6345 )",694835,"(+/- 5151 )",688391,"(+/- 5314 )",687583,"(+/- 3878 )",701841,"(+/- 4195 )",714657,"(+/- 3027 )",703114,"(+/- 5190 )",719554,"(+/- 6488 )"
People,"Sex and Age",Male,346002,"(+/- 5667 )",343482,"(+/- 6046 )",358762,"(+/- 7684 )",356770,"(+/- 6960 )",358071,"(+/- 10853 )",344830,"(+/- 11291 )",344686,"(+/- 12080 )",349512,"(+/- 11019 )",335459,"(+/- 9892 )",358129,"(+/- 12773 )",358359,"(+/- 6794 )",345800,"(+/- 10591 )",357682,"(+/- 10638 )",353057,"(+/- 10283 )",343003,"(+/- 10084 )",351948,"(+/- 7868 )",359922,"(+/- 4988 )",359580,"(+/- 4339 )",350582,"(+/- 4325 )",353209,"(+/- 4300 )",355499,"(+/- 3068 )",341663,"(+/- 3121 )",341076,"(+/- 3199 )",343210,"(+/- 2656 )",345728,"(+/- 1712 )",336809,"(+/- 4206 )",357980,"(+/- 4711 )"
People,"Sex and Age",Female,367166,"(+/- 5111 )",355492,"(+/- 7161 )",366984,"(+/- 7059 )",373544,"(+/- 7784 )",400930,"(+/- 10527 )",369469,"(+/- 9558 )",354108,"(+/- 13059 )",427313,"(+/- 11978 )",384857,"(+/- 12235 )",374603,"(+/- 12393 )",379031,"(+/- 5922 )",379960,"(+/- 11912 )",393979,"(+/- 12274 )",343607,"(+/- 9929 )",396387,"(+/- 9967 )",387945,"(+/- 9258 )",377433,"(+/- 5017 )",359044,"(+/- 3446 )",350429,"(+/- 3746 )",372460,"(+/- 3835 )",339336,"(+/- 3492 )",346728,"(+/- 3331 )",346507,"(+/- 2638 )",358631,"(+/- 2439 )",368929,"(+/- 2180 )",366305,"(+/- 4146 )",361574,"(+/- 5145 )"
People,"Sex and Age","Under 5 years",39619,"(+/- 3576 )",38697,"(+/- 3762 )",32956,"(+/- 3512 )",43035,"(+/- 2747 )",44358,"(+/- 4251 )",43429,"(+/- 4605 )",47447,"(+/- 4818 )",49414,"(+/- 4424 )",50425,"(+/- 4292 )",48822,"(+/- 4577 )",42966,"(+/- 2626 )",33161,"(+/- 4007 )",42814,"(+/- 4451 )",44351,"(+/- 5148 )",56678,"(+/- 4030 )",44337,"(+/- 3852 )",49477,"(+/- 2634 )",40079,"(+/- 1484 )",31923,"(+/- 1636 )",36254,"(+/- 1411 )",36059,"(+/- 1358 )",36630,"(+/- 1183 )",34759,"(+/- 1177 )",38744,"(+/- 1012 )",38838,"(+/- 947 )",39175,"(+/- 1797 )",35378,"(+/- 1984 )"
People,"Sex and Age","5 to 9 years",39580,"(+/- 4234 )",37828,"(+/- 3269 )",40007,"(+/- 3746 )",47067,"(+/- 3403 )",39670,"(+/- 3594 )",36044,"(+/- 3416 )",38992,"(+/- 3591 )",43855,"(+/- 4675 )",38517,"(+/- 4059 )",36996,"(+/- 3807 )",47154,"(+/- 3285 )",21601,"(+/- 3232 )",41970,"(+/- 3954 )",34323,"(+/- 3229 )",54038,"(+/- 3572 )",39142,"(+/- 3448 )",45027,"(+/- 2833 )",42311,"(+/- 3106 )",32051,"(+/- 2318 )",37430,"(+/- 2491 )",36391,"(+/- 2171 )",38484,"(+/- 2703 )",37179,"(+/- 1896 )",37135,"(+/- 2451 )",36586,"(+/- 2389 )",37755,"(+/- 2720 )",35030,"(+/- 2806 )"
People,"Sex and Age","10 to 14 years",42659,"(+/- 3508 )",42460,"(+/- 4768 )",43386,"(+/- 2553 )",44749,"(+/- 2761 )",49705,"(+/- 4104 )",39902,"(+/- 5004 )",42613,"(+/- 4120 )",45302,"(+/- 3840 )",43218,"(+/- 4190 )",37902,"(+/- 4373 )",45435,"(+/- 3738 )",20278,"(+/- 3081 )",45181,"(+/- 4171 )",40088,"(+/- 4369 )",57992,"(+/- 4416 )",48880,"(+/- 3726 )",52895,"(+/- 3270 )",48484,"(+/- 3019 )",38030,"(+/- 2537 )",40282,"(+/- 2527 )",41244,"(+/- 2282 )",40087,"(+/- 2745 )",37528,"(+/- 1806 )",44039,"(+/- 2755 )",46037,"(+/- 2360 )",40894,"(+/- 3044 )",44953,"(+/- 2648 )"
People,"Sex and Age","15 to 19 years",46347,"(+/- 2701 )",47058,"(+/- 3243 )",42682,"(+/- 3423 )",43661,"(+/- 2834 )",49640,"(+/- 3914 )",34155,"(+/- 3133 )",35768,"(+/- 3388 )",37487,"(+/- 3776 )",37201,"(+/- 3299 )",37476,"(+/- 3575 )",43584,"(+/- 1824 )",26988,"(+/- 3490 )",34748,"(+/- 3200 )",35420,"(+/- 3024 )",55442,"(+/- 3311 )",47121,"(+/- 3700 )",49675,"(+/- 2675 )",51603,"(+/- 2581 )",44912,"(+/- 2272 )",51495,"(+/- 2214 )",45331,"(+/- 1664 )",48444,"(+/- 1869 )",54249,"(+/- 2304 )",50919,"(+/- 1801 )",47170,"(+/- 881 )",44565,"(+/- 1925 )",44127,"(+/- 2119 )"
People,"Sex and Age","20 to 24 years",44735,"(+/- 3082 )",46943,"(+/- 3303 )",43731,"(+/- 3736 )",41901,"(+/- 3064 )",50336,"(+/- 3026 )",33762,"(+/- 2852 )",45619,"(+/- 3973 )",51112,"(+/- 3420 )",40814,"(+/- 3395 )",44601,"(+/- 4119 )",41940,"(+/- 2191 )",48036,"(+/- 5259 )",51816,"(+/- 3984 )",38692,"(+/- 3276 )",57080,"(+/- 3686 )",45789,"(+/- 3857 )",45529,"(+/- 2567 )",52044,"(+/- 2336 )",45887,"(+/- 2617 )",57007,"(+/- 3128 )",48012,"(+/- 1860 )",53824,"(+/- 1756 )",52853,"(+/- 2020 )",44932,"(+/- 1197 )",48406,"(+/- 798 )",49769,"(+/- 2557 )",40178,"(+/- 2801 )"
People,"Sex and Age","25 to 34 years",84490,"(+/- 3697 )",88392,"(+/- 4724 )",72936,"(+/- 5601 )",94667,"(+/- 4352 )",105120,"(+/- 5952 )",101381,"(+/- 5273 )",140627,"(+/- 6917 )",144067,"(+/- 6880 )",125859,"(+/- 6265 )",134882,"(+/- 8114 )",100861,"(+/- 4205 )",191490,"(+/- 9142 )",156083,"(+/- 7576 )",125901,"(+/- 5592 )",118398,"(+/- 5751 )",93942,"(+/- 5274 )",87979,"(+/- 3574 )",82035,"(+/- 2755 )",76671,"(+/- 3518 )",101405,"(+/- 3983 )",87940,"(+/- 2391 )",82387,"(+/- 2606 )",81888,"(+/- 2399 )",88880,"(+/- 1418 )",103502,"(+/- 976 )",110748,"(+/- 2969 )",82870,"(+/- 3670 )"
People,"Sex and Age","35 to 44 years",83718,"(+/- 4313 )",81090,"(+/- 4639 )",78280,"(+/- 4932 )",96824,"(+/- 3661 )",92452,"(+/- 5261 )",97987,"(+/- 5644 )",102952,"(+/- 6490 )",107501,"(+/- 5642 )",98542,"(+/- 5658 )",102790,"(+/- 6006 )",95162,"(+/- 3504 )",111769,"(+/- 6155 )",100343,"(+/- 6097 )",102329,"(+/- 6565 )",91885,"(+/- 4907 )",91157,"(+/- 4884 )",92206,"(+/- 4085 )",87288,"(+/- 2968 )",77840,"(+/- 2986 )",86382,"(+/- 3364 )",79980,"(+/- 2391 )",73493,"(+/- 1686 )",72729,"(+/- 1605 )",80697,"(+/- 1528 )",82255,"(+/- 1161 )",80133,"(+/- 2643 )",82322,"(+/- 3355 )"
