cdTopic,Subject,Title,District 01 Estimate,District (At Large) MOE
People,Sex and Age,Total population,762062,(*****)
People,Sex and Age,Male,388339,(+/- 2147 )
People,Sex and Age,Female,373723,(+/- 2147 )
People,Sex and Age,Under 5 years,50567,(+/- 1802 )
People,Sex and Age,5 to 9 years,48953,(+/- 2765 )
People,Sex and Age,10 to 14 years,50415,(+/- 2717 )
People,Sex and Age,15 to 19 years,46933,(+/- 2327 )
People,Sex and Age,20 to 24 years,60819,(+/- 2410 )
People,Sex and Age,25 to 34 years,117574,(+/- 3088 )
People,Sex and Age,35 to 44 years,96037,(+/- 2241 )
People,Sex and Age,45 to 54 years,76528,(+/- 1883 )
People,Sex and Age,55 to 59 years,47196,(+/- 2342 )
People,Sex and Age,60 to 64 years,46863,(+/- 2335 )
People,Sex and Age,65 to 74 years,67281,(+/- 1069 )
People,Sex and Age,75 to 84 years,34821,(+/- 1739 )
People,Sex and Age,85 years and over,18075,(+/- 1656 )
People,Sex and Age,Median age (years),35.5,(+/- 0.3 )
People,Sex and Age,18 years and over,585356,(+/- 2389 )
People,Sex and Age,65 years and over,120177,(+/- 1213 )
People,Race,Total population,762062,(*****)
People,Race,One race,736917,(+/- 3813 )
People,Race,White,653910,(+/- 2209 )
People,Race,Black or African American,22256,(+/- 2558 )
People,Race,American Indian and Alaska Native,40970,(+/- 2364 )
People,Race,Asian,10669,(+/- 2355 )
People,Race,Native Hawaiian and Other Pacific Islander,2792,(+/- 1647 )
People,Race,Some other race,6320,(+/- 2122 )
People,Race,Two or more races,25145,(+/- 3813 )
People,Hispanic or Latino and Race,Total population,762062,(*****)
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),30486,(+/- 1447 )
People,Hispanic or Latino and Race,Mexican,20021,(+/- 2171 )
People,Hispanic or Latino and Race,Puerto Rican,3526,(+/- 1447 )
People,Hispanic or Latino and Race,Cuban,53,(+/- 64 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,6886,(+/- 2401 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,731576,(+/- 1447 )
People,Place of Birth,Total population,762062,(*****)
People,Place of Birth,Native,730924,(+/- 3365 )
People,Place of Birth,Born in United States,724343,(+/- 3577 )
People,Place of Birth,State of residence,470871,(+/- 8335 )
People,Place of Birth,Different state,253472,(+/- 7697 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",6581,(+/- 1581 )
People,Place of Birth,Foreign born,31138,(+/- 3365 )
People,Ancestry,Total population,762062,(*****)
People,Ancestry,American,24668,(+/- 3316 )
People,Ancestry,Arab,2240,(+/- 1284 )
People,Ancestry,Czech,9491,(+/- 1702 )
People,Ancestry,Danish,8282,(+/- 2012 )
People,Ancestry,Dutch,9052,(+/- 2105 )
People,Ancestry,English,29285,(+/- 3124 )
People,Ancestry,French (except Basque),19661,(+/- 2737 )
People,Ancestry,French Canadian,7639,(+/- 2136 )
People,Ancestry,German,264959,(+/- 8850 )
People,Ancestry,Greek,1556,(+/- 1255 )
People,Ancestry,Hungarian,2137,(+/- 907 )
People,Ancestry,Irish,49001,(+/- 4859 )
People,Ancestry,Italian,8867,(+/- 1952 )
People,Ancestry,Lithuanian,354,(+/- 334 )
People,Ancestry,Norwegian,185790,(+/- 7998 )
People,Ancestry,Polish,18801,(+/- 2960 )
People,Ancestry,Portuguese,473,(+/- 444 )
People,Ancestry,Russian,17549,(+/- 2229 )
People,Ancestry,Scotch-Irish,3953,(+/- 1250 )
People,Ancestry,Scottish,9944,(+/- 1831 )
People,Ancestry,Slovak,411,(+/- 286 )
People,Ancestry,Subsaharan African,10517,(+/- 2412 )
People,Ancestry,Swedish,25067,(+/- 2981 )
People,Ancestry,Swiss,1896,(+/- 1040 )
People,Ancestry,Ukrainian,3887,(+/- 1128 )
People,Ancestry,Welsh,2394,(+/- 833 )
People,Ancestry,West Indian (excluding Hispanic origin groups),1543,(+/- 1056 )
People,Veteran Status,Civilian population 18 years and over,577495,(+/- 2751 )
People,Veteran Status,Civilian veterans,46041,(+/- 3061 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,744172,(+/- 1649 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,84947,(+/- 4552 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,176314,(+/- 2394 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,5480,(+/- 1097 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,454069,(+/- 2878 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,41715,(+/- 3352 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,113789,(+/- 1211 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,37752,(+/- 2558 )
People,Residence 1 Year Ago,Population 1 year and over,750501,(+/- 1733 )
People,Residence 1 Year Ago,Same house,615450,(+/- 9766 )
People,Residence 1 Year Ago,Different house in the U.S.,131081,(+/- 9646 )
People,Residence 1 Year Ago,Same county,70638,(+/- 6492 )
People,Residence 1 Year Ago,Different county,60443,(+/- 6736 )
People,Residence 1 Year Ago,Same state,23775,(+/- 3497 )
People,Residence 1 Year Ago,Different state,36668,(+/- 5643 )
People,Residence 1 Year Ago,Abroad,3970,(+/- 1479 )
Workers,Employment Status,Population 16 years and over,602982,(+/- 2714 )
Workers,Employment Status,In labor force,424480,(+/- 5344 )
Workers,Employment Status,Civilian labor force,416619,(+/- 5125 )
Workers,Employment Status,Employed,405699,(+/- 5519 )
Workers,Employment Status,Unemployed,10920,(+/- 1826 )
Workers,Employment Status,Armed Forces,7861,(+/- 1649 )
Workers,Employment Status,Not in labor force,178502,(+/- 4837 )
Workers,Employment Status,Civilian labor force,416619,(+/- 5125 )
Workers,Employment Status,Unemployment Rate,2.6,(+/- 0.4 )
Workers,Commuting to Work,Workers 16 years and over,405490,(+/- 6161 )
Workers,Commuting to Work,"Car, truck, or van -- drove alone",334731,(+/- 6263 )
Workers,Commuting to Work,"Car, truck, or van -- carpooled",34424,(+/- 3477 )
Workers,Commuting to Work,Public transportation (excluding taxicab),2870,(+/- 1221 )
Workers,Commuting to Work,Walked,12830,(+/- 1862 )
Workers,Commuting to Work,Other means,6042,(+/- 1422 )
Workers,Commuting to Work,Worked from home,14593,(+/- 1892 )
Workers,Commuting to Work,Mean travel time to work (minutes),17.9,(+/- 0.6 )
Workers,Occupation,Civilian employed population 16 years and over,405699,(+/- 5519 )
Workers,Occupation,"Management, business, science, and arts occupations",155309,(+/- 5514 )
Workers,Occupation,Service occupations,67919,(+/- 4226 )
Workers,Occupation,Sales and office occupations,78694,(+/- 4570 )
Workers,Occupation,"Natural resources, construction, and maintenance occupations",48690,(+/- 3551 )
Workers,Occupation,"Production, transportation, and material moving occupations",55087,(+/- 3335 )
Workers,Industry,Civilian employed population 16 years and over,405699,(+/- 5519 )
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",38310,(+/- 3152 )
Workers,Industry,Construction,29811,(+/- 3041 )
Workers,Industry,Manufacturing,26827,(+/- 2513 )
Workers,Industry,Wholesale trade,15553,(+/- 2602 )
Workers,Industry,Retail trade,46070,(+/- 3541 )
Workers,Industry,"Transportation and warehousing, and utilities",19930,(+/- 2577 )
Workers,Industry,Information,4064,(+/- 941 )
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",21392,(+/- 2082 )
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",27056,(+/- 2999 )
