cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE"
People,"Sex and Age","Total population",749773,"(+/- 8208 )",730151,"(+/- 9104 )",813890,"(+/- 9835 )",712261,"(+/- 5219 )",721212,"(+/- 6614 )",698284,"(+/- 6239 )",727011,"(+/- 9081 )",733811,"(+/- 1965 )",697570,"(+/- 10955 )",723716,"(+/- 1176 )",684617,"(+/- 10816 )",788335,"(+/- 10998 )",704191,"(+/- 9471 )",714870,"(+/- 8661 )",769664,"(+/- 9437 )",719744,"(+/- 10485 )"
People,"Sex and Age",Male,369343,"(+/- 5426 )",353067,"(+/- 5592 )",396686,"(+/- 5772 )",354765,"(+/- 3721 )",355669,"(+/- 4190 )",346987,"(+/- 3707 )",360850,"(+/- 6030 )",360571,"(+/- 2043 )",333556,"(+/- 6820 )",350466,"(+/- 1580 )",327787,"(+/- 6533 )",387168,"(+/- 5843 )",340776,"(+/- 5556 )",350283,"(+/- 5781 )",389393,"(+/- 5830 )",354840,"(+/- 7008 )"
People,"Sex and Age",Female,380430,"(+/- 4769 )",377084,"(+/- 5472 )",417204,"(+/- 6606 )",357496,"(+/- 3708 )",365543,"(+/- 4313 )",351297,"(+/- 4462 )",366161,"(+/- 5820 )",373240,"(+/- 2020 )",364014,"(+/- 7996 )",373250,"(+/- 1350 )",356830,"(+/- 7092 )",401167,"(+/- 7521 )",363415,"(+/- 6558 )",364587,"(+/- 5486 )",380271,"(+/- 6145 )",364904,"(+/- 6136 )"
People,"Sex and Age","Under 5 years",45991,"(+/- 2246 )",44726,"(+/- 2723 )",60722,"(+/- 2776 )",40388,"(+/- 1911 )",42291,"(+/- 2226 )",38652,"(+/- 1792 )",42652,"(+/- 2409 )",43675,"(+/- 946 )",43712,"(+/- 2796 )",43521,"(+/- 591 )",40432,"(+/- 2719 )",44895,"(+/- 2832 )",36603,"(+/- 2321 )",36853,"(+/- 2406 )",44172,"(+/- 2697 )",37387,"(+/- 2728 )"
People,"Sex and Age","5 to 9 years",48756,"(+/- 3866 )",43469,"(+/- 3782 )",53822,"(+/- 4162 )",40971,"(+/- 2726 )",43124,"(+/- 2739 )",39850,"(+/- 2533 )",47047,"(+/- 2878 )",43368,"(+/- 2860 )",43762,"(+/- 4069 )",43791,"(+/- 2805 )",36405,"(+/- 3037 )",50161,"(+/- 3240 )",35205,"(+/- 2892 )",42492,"(+/- 2958 )",40578,"(+/- 2893 )",37387,"(+/- 2594 )"
People,"Sex and Age","10 to 14 years",50854,"(+/- 3107 )",49134,"(+/- 4103 )",56171,"(+/- 3473 )",44885,"(+/- 2665 )",45284,"(+/- 3337 )",43101,"(+/- 2663 )",50766,"(+/- 3287 )",51481,"(+/- 2910 )",47775,"(+/- 3981 )",42964,"(+/- 2786 )",41216,"(+/- 3381 )",53879,"(+/- 3639 )",35396,"(+/- 2538 )",44107,"(+/- 3237 )",48181,"(+/- 3321 )",47195,"(+/- 3887 )"
People,"Sex and Age","15 to 19 years",54924,"(+/- 2283 )",41431,"(+/- 2295 )",58632,"(+/- 2700 )",47601,"(+/- 2350 )",49333,"(+/- 2294 )",42232,"(+/- 2001 )",49479,"(+/- 2721 )",55083,"(+/- 1238 )",43678,"(+/- 3463 )",48000,"(+/- 1171 )",42952,"(+/- 2393 )",51500,"(+/- 2369 )",45125,"(+/- 2653 )",43770,"(+/- 2141 )",49227,"(+/- 2438 )",43303,"(+/- 2501 )"
People,"Sex and Age","20 to 24 years",50804,"(+/- 2006 )",39792,"(+/- 2550 )",59638,"(+/- 2928 )",43416,"(+/- 1910 )",49480,"(+/- 2618 )",38187,"(+/- 2276 )",38021,"(+/- 2674 )",52700,"(+/- 1597 )",43961,"(+/- 3164 )",49593,"(+/- 1353 )",48417,"(+/- 2446 )",47457,"(+/- 3614 )",56023,"(+/- 3205 )",37460,"(+/- 3242 )",48628,"(+/- 3357 )",40199,"(+/- 2836 )"
People,"Sex and Age","25 to 34 years",104359,"(+/- 4331 )",99344,"(+/- 4386 )",149955,"(+/- 5296 )",84302,"(+/- 2785 )",91556,"(+/- 3302 )",78770,"(+/- 2804 )",82579,"(+/- 3451 )",83825,"(+/- 1715 )",102490,"(+/- 5324 )",99317,"(+/- 1655 )",101915,"(+/- 4042 )",97573,"(+/- 5077 )",92568,"(+/- 3476 )",77349,"(+/- 3228 )",114949,"(+/- 5578 )",83866,"(+/- 4437 )"
People,"Sex and Age","35 to 44 years",90934,"(+/- 2829 )",91323,"(+/- 2938 )",105305,"(+/- 3397 )",87452,"(+/- 2434 )",80997,"(+/- 2287 )",79673,"(+/- 2417 )",85652,"(+/- 2974 )",87483,"(+/- 1395 )",79859,"(+/- 4120 )",82851,"(+/- 1185 )",76510,"(+/- 3435 )",110097,"(+/- 4092 )",76512,"(+/- 3636 )",84317,"(+/- 3243 )",101297,"(+/- 4248 )",83886,"(+/- 3428 )"
