cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE"
People,"Sex and Age","Total population",809500,"(+/- 2328 )",747337,"(+/- 2602 )",782091,"(+/- 4257 )",792928,"(+/- 6156 )",825115,"(+/- 4376 )"
People,"Sex and Age",Male,396802,"(+/- 1602 )",372166,"(+/- 2111 )",391727,"(+/- 3624 )",397964,"(+/- 4014 )",403818,"(+/- 3121 )"
People,"Sex and Age",Female,412698,"(+/- 1392 )",375171,"(+/- 2260 )",390364,"(+/- 3420 )",394964,"(+/- 4060 )",421297,"(+/- 2659 )"
People,"Sex and Age","Under 5 years",55590,"(+/- 803 )",44732,"(+/- 1167 )",45666,"(+/- 1308 )",45726,"(+/- 1563 )",59369,"(+/- 1333 )"
People,"Sex and Age","5 to 9 years",55780,"(+/- 2351 )",46474,"(+/- 1810 )",54289,"(+/- 2926 )",49698,"(+/- 2228 )",56512,"(+/- 3303 )"
People,"Sex and Age","10 to 14 years",56944,"(+/- 2270 )",51934,"(+/- 2014 )",56105,"(+/- 3112 )",56722,"(+/- 2800 )",58486,"(+/- 2942 )"
People,"Sex and Age","15 to 19 years",53824,"(+/- 807 )",49713,"(+/- 1611 )",57896,"(+/- 2933 )",58650,"(+/- 2679 )",53544,"(+/- 1451 )"
People,"Sex and Age","20 to 24 years",49354,"(+/- 891 )",47174,"(+/- 1697 )",55841,"(+/- 2489 )",63311,"(+/- 2619 )",54393,"(+/- 1582 )"
People,"Sex and Age","25 to 34 years",115563,"(+/- 1212 )",88160,"(+/- 1596 )",99150,"(+/- 3206 )",107885,"(+/- 3565 )",126241,"(+/- 1572 )"
People,"Sex and Age","35 to 44 years",104371,"(+/- 1023 )",87008,"(+/- 1488 )",101861,"(+/- 2983 )",100954,"(+/- 3200 )",107322,"(+/- 1939 )"
People,"Sex and Age","45 to 54 years",95737,"(+/- 1080 )",88623,"(+/- 1358 )",85742,"(+/- 2402 )",90751,"(+/- 2728 )",91867,"(+/- 1554 )"
People,"Sex and Age","55 to 59 years",49239,"(+/- 2389 )",50000,"(+/- 2048 )",49597,"(+/- 2389 )",50652,"(+/- 2475 )",50510,"(+/- 2534 )"
People,"Sex and Age","60 to 64 years",49766,"(+/- 2408 )",49559,"(+/- 2016 )",47724,"(+/- 2900 )",46855,"(+/- 2485 )",48885,"(+/- 2462 )"
People,"Sex and Age","65 to 74 years",71995,"(+/- 567 )",82668,"(+/- 1176 )",72418,"(+/- 1594 )",71511,"(+/- 2033 )",69871,"(+/- 1383 )"
People,"Sex and Age","75 to 84 years",36295,"(+/- 1294 )",46359,"(+/- 1450 )",39987,"(+/- 1745 )",35573,"(+/- 1621 )",34272,"(+/- 1590 )"
People,"Sex and Age","85 years and over",15042,"(+/- 1345 )",14933,"(+/- 1220 )",15815,"(+/- 1505 )",14640,"(+/- 1495 )",13843,"(+/- 1443 )"
People,"Sex and Age","Median age (years)",36.6,"(+/- 0.2 )",40.3,"(+/- 0.3 )",37.0,"(+/- 0.3 )",36.5,"(+/- 0.4 )",35.3,"(+/- 0.3 )"
People,"Sex and Age","18 years and over",607863,"(+/- 1549 )",575055,"(+/- 1709 )",593853,"(+/- 3590 )",609768,"(+/- 4769 )",618203,"(+/- 3580 )"
People,"Sex and Age","65 years and over",123332,"(+/- 787 )",143960,"(+/- 1220 )",128220,"(+/- 1891 )",121724,"(+/- 2236 )",117986,"(+/- 1415 )"
People,Race,"Total population",809500,"(+/- 2328 )",747337,"(+/- 2602 )",782091,"(+/- 4257 )",792928,"(+/- 6156 )",825115,"(+/- 4376 )"
People,Race,"One race",744392,"(+/- 4340 )",665128,"(+/- 4592 )",734777,"(+/- 5754 )",733145,"(+/- 6912 )",779364,"(+/- 6952 )"
People,Race,White,575809,"(+/- 3842 )",492262,"(+/- 3721 )",623806,"(+/- 5234 )",595524,"(+/- 6339 )",578384,"(+/- 7264 )"
People,Race,"Black or African American",69519,"(+/- 2224 )",23890,"(+/- 1184 )",28383,"(+/- 1949 )",56615,"(+/- 5923 )",109007,"(+/- 5552 )"
People,Race,"American Indian and Alaska Native",50151,"(+/- 2812 )",128425,"(+/- 3460 )",52360,"(+/- 2991 )",46742,"(+/- 3118 )",39251,"(+/- 2423 )"
People,Race,Asian,26884,"(+/- 1183 )",5170,"(+/- 1167 )",10987,"(+/- 1432 )",19196,"(+/- 1782 )",27713,"(+/- 1772 )"
People,Race,"Native Hawaiian and Other Pacific Islander",850,"(+/- 252 )",1219,"(+/- 554 )",1227,"(+/- 1200 )",817,"(+/- 481 )",695,"(+/- 378 )"
People,Race,"Some other race",21179,"(+/- 2762 )",14162,"(+/- 2073 )",18014,"(+/- 2695 )",14251,"(+/- 2750 )",24314,"(+/- 4356 )"
People,Race,"Two or more races",65108,"(+/- 3776 )",82209,"(+/- 3907 )",47314,"(+/- 3707 )",59783,"(+/- 4690 )",45751,"(+/- 4279 )"
People,"Hispanic or Latino and Race","Total population",809500,"(+/- 2328 )",747337,"(+/- 2602 )",782091,"(+/- 4257 )",792928,"(+/- 6156 )",825115,"(+/- 4376 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",96693,"(+/- 614 )",42734,"(+/- 979 )",83281,"(+/- 1689 )",69799,"(+/- 2107 )",145599,"(+/- 839 )"
