cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE"
People,"Sex and Age","Total population",713411,"(+/- 5339 )",722722,"(+/- 19127 )",741654,"(+/- 16737 )",730701,"(+/- 6613 )",719973,"(+/- 11211 )",735283,"(+/- 5426 )",731467,"(+/- 6773 )",698973,"(+/- 7650 )",699832,"(+/- 7401 )",744681,"(+/- 6761 )",734038,"(+/- 6202 )",701387,"(+/- 5494 )",697051,"(+/- 7470 )",678915,"(+/- 4393 )",672749,"(+/- 7145 )",678333,"(+/- 4191 )",706961,"(+/- 9139 )",693858,"(+/- 9046 )"
People,"Sex and Age",Male,348804,"(+/- 3429 )",347660,"(+/- 10436 )",346439,"(+/- 9357 )",357387,"(+/- 4000 )",343663,"(+/- 6585 )",363375,"(+/- 3352 )",359226,"(+/- 3748 )",345386,"(+/- 4817 )",348604,"(+/- 4580 )",365469,"(+/- 4571 )",360191,"(+/- 4009 )",351466,"(+/- 3701 )",348661,"(+/- 4873 )",334114,"(+/- 2893 )",342875,"(+/- 4658 )",331406,"(+/- 2816 )",345804,"(+/- 5999 )",331997,"(+/- 5817 )"
People,"Sex and Age",Female,364607,"(+/- 3015 )",375062,"(+/- 11664 )",395215,"(+/- 10558 )",373314,"(+/- 3543 )",376310,"(+/- 6375 )",371908,"(+/- 3381 )",372241,"(+/- 3824 )",353587,"(+/- 4346 )",351228,"(+/- 4592 )",379212,"(+/- 4414 )",373847,"(+/- 3678 )",349921,"(+/- 3408 )",348390,"(+/- 3767 )",344801,"(+/- 2307 )",329874,"(+/- 3777 )",346927,"(+/- 2368 )",361157,"(+/- 6418 )",361861,"(+/- 6135 )"
People,"Sex and Age","Under 5 years",35205,"(+/- 1320 )",52094,"(+/- 4230 )",41568,"(+/- 4004 )",40197,"(+/- 1520 )",43590,"(+/- 2459 )",42999,"(+/- 1215 )",38902,"(+/- 1526 )",34661,"(+/- 1462 )",34221,"(+/- 1626 )",43486,"(+/- 2033 )",44282,"(+/- 1518 )",34852,"(+/- 1167 )",35374,"(+/- 1818 )",32952,"(+/- 797 )",31816,"(+/- 1139 )",35748,"(+/- 903 )",37788,"(+/- 2205 )",35926,"(+/- 1896 )"
People,"Sex and Age","5 to 9 years",37947,"(+/- 2878 )",48712,"(+/- 5804 )",36071,"(+/- 4451 )",42156,"(+/- 2594 )",41595,"(+/- 2905 )",46547,"(+/- 2601 )",41975,"(+/- 3154 )",38105,"(+/- 2430 )",35482,"(+/- 2668 )",42734,"(+/- 2883 )",46200,"(+/- 3317 )",38817,"(+/- 2101 )",37739,"(+/- 2660 )",38193,"(+/- 2050 )",32788,"(+/- 2036 )",37028,"(+/- 2055 )",38701,"(+/- 2614 )",32656,"(+/- 2530 )"
People,"Sex and Age","10 to 14 years",44472,"(+/- 2624 )",50881,"(+/- 3984 )",37709,"(+/- 4429 )",45426,"(+/- 3009 )",48390,"(+/- 3605 )",51081,"(+/- 2528 )",45667,"(+/- 2880 )",39438,"(+/- 2062 )",41330,"(+/- 2610 )",47745,"(+/- 2902 )",48611,"(+/- 3542 )",39547,"(+/- 2064 )",42732,"(+/- 2445 )",33515,"(+/- 2150 )",36725,"(+/- 2617 )",38446,"(+/- 2035 )",39353,"(+/- 3126 )",33738,"(+/- 2708 )"
People,"Sex and Age","15 to 19 years",43198,"(+/- 1440 )",44705,"(+/- 3119 )",43106,"(+/- 2992 )",43430,"(+/- 1890 )",49299,"(+/- 2135 )",51060,"(+/- 1613 )",50051,"(+/- 1856 )",43196,"(+/- 2517 )",43763,"(+/- 1857 )",47456,"(+/- 2319 )",47582,"(+/- 1688 )",51422,"(+/- 1596 )",43025,"(+/- 2144 )",38646,"(+/- 1405 )",40314,"(+/- 1454 )",45115,"(+/- 1426 )",35926,"(+/- 2557 )",42192,"(+/- 2481 )"
People,"Sex and Age","20 to 24 years",39214,"(+/- 1690 )",36752,"(+/- 3944 )",65853,"(+/- 4168 )",40848,"(+/- 1486 )",46474,"(+/- 2232 )",47776,"(+/- 2047 )",47306,"(+/- 1917 )",43563,"(+/- 2722 )",41367,"(+/- 2054 )",42270,"(+/- 2180 )",42862,"(+/- 1965 )",57251,"(+/- 2151 )",39379,"(+/- 2207 )",37655,"(+/- 1179 )",41555,"(+/- 2148 )",43236,"(+/- 1189 )",31103,"(+/- 2275 )",52090,"(+/- 2250 )"
People,"Sex and Age","25 to 34 years",80686,"(+/- 2730 )",120348,"(+/- 6325 )",164762,"(+/- 5851 )",92636,"(+/- 2153 )",95577,"(+/- 3632 )",88590,"(+/- 2776 )",91956,"(+/- 2578 )",84396,"(+/- 2906 )",82414,"(+/- 2953 )",99482,"(+/- 3255 )",95131,"(+/- 2511 )",82768,"(+/- 2173 )",77124,"(+/- 2211 )",76721,"(+/- 1627 )",80940,"(+/- 2836 )",79969,"(+/- 2146 )",92829,"(+/- 4373 )",118519,"(+/- 4040 )"
People,"Sex and Age","35 to 44 years",88318,"(+/- 2272 )",94081,"(+/- 5474 )",89260,"(+/- 5447 )",92753,"(+/- 2251 )",91944,"(+/- 3730 )",91674,"(+/- 2169 )",87809,"(+/- 2494 )",82076,"(+/- 2868 )",78250,"(+/- 3023 )",89980,"(+/- 3714 )",86424,"(+/- 2346 )",74795,"(+/- 1843 )",78948,"(+/- 2078 )",76259,"(+/- 1687 )",74033,"(+/- 2010 )",74419,"(+/- 1782 )",90993,"(+/- 4273 )",78163,"(+/- 3949 )"
People,"Sex and Age","45 to 54 years",97165,"(+/- 1808 )",88268,"(+/- 4208 )",75065,"(+/- 4303 )",93311,"(+/- 2107 )",88364,"(+/- 3172 )",95164,"(+/- 2414 )",92343,"(+/- 2389 )",90944,"(+/- 2699 )",95584,"(+/- 2366 )",97521,"(+/- 3726 )",87656,"(+/- 2389 )",83654,"(+/- 1817 )",90685,"(+/- 2374 )",89275,"(+/- 1700 )",88693,"(+/- 2015 )",87889,"(+/- 1763 )",87708,"(+/- 2735 )",76350,"(+/- 2653 )"
People,"Sex and Age","55 to 59 years",58829,"(+/- 3180 )",45655,"(+/- 4341 )",38715,"(+/- 3375 )",50891,"(+/- 2771 )",49519,"(+/- 2793 )",51437,"(+/- 2854 )",50678,"(+/- 2986 )",52840,"(+/- 3197 )",53239,"(+/- 2624 )",52721,"(+/- 3021 )",47033,"(+/- 2348 )",48278,"(+/- 2176 )",51217,"(+/- 2326 )",48286,"(+/- 2447 )",50230,"(+/- 2105 )",50347,"(+/- 2638 )",50555,"(+/- 2614 )",44937,"(+/- 2809 )"
