cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population",530066,"(+/- 6855 )",529295,"(+/- 6855 )"
People,"Sex and Age",Male,262734,"(+/- 4922 )",254487,"(+/- 4631 )"
People,"Sex and Age",Female,267332,"(+/- 4732 )",274808,"(+/- 4469 )"
People,"Sex and Age","Under 5 years",30459,"(+/- 2402 )",24343,"(+/- 2455 )"
People,"Sex and Age","5 to 9 years",22875,"(+/- 2489 )",26279,"(+/- 2419 )"
People,"Sex and Age","10 to 14 years",33936,"(+/- 2894 )",28637,"(+/- 2864 )"
People,"Sex and Age","15 to 19 years",37986,"(+/- 2817 )",33727,"(+/- 2282 )"
People,"Sex and Age","20 to 24 years",37972,"(+/- 2576 )",36195,"(+/- 2737 )"
People,"Sex and Age","25 to 34 years",73171,"(+/- 4003 )",75009,"(+/- 3963 )"
People,"Sex and Age","35 to 44 years",59019,"(+/- 3092 )",65414,"(+/- 3135 )"
People,"Sex and Age","45 to 54 years",68832,"(+/- 2411 )",66996,"(+/- 2877 )"
People,"Sex and Age","55 to 59 years",36619,"(+/- 2657 )",36834,"(+/- 3047 )"
People,"Sex and Age","60 to 64 years",38432,"(+/- 2859 )",39471,"(+/- 2921 )"
People,"Sex and Age","65 to 74 years",51988,"(+/- 2259 )",55393,"(+/- 2307 )"
People,"Sex and Age","75 to 84 years",26719,"(+/- 2162 )",26300,"(+/- 2140 )"
People,"Sex and Age","85 years and over",12058,"(+/- 1616 )",14697,"(+/- 1905 )"
People,"Sex and Age","Median age (years)",39.3,"(+/- 0.9 )",40.8,"(+/- 1.0 )"
People,"Sex and Age","18 years and over",423356,"(+/- 5836 )",432430,"(+/- 5612 )"
People,"Sex and Age","65 years and over",90765,"(+/- 2957 )",96390,"(+/- 3093 )"
People,Race,"Total population",530066,"(+/- 6855 )",529295,"(+/- 6855 )"
People,Race,"One race",505274,"(+/- 7706 )",509487,"(+/- 7743 )"
People,Race,White,402110,"(+/- 8774 )",431580,"(+/- 8571 )"
People,Race,"Black or African American",45547,"(+/- 4351 )",32596,"(+/- 7327 )"
People,Race,"American Indian and Alaska Native",1890,"(+/- 691 )",1451,"(+/- 735 )"
People,Race,Asian,16821,"(+/- 2571 )",20280,"(+/- 3266 )"
People,Race,"Native Hawaiian and Other Pacific Islander",0,"(+/- 222 )",250,"(+/- 212 )"
People,Race,"Some other race",38906,"(+/- 8203 )",23330,"(+/- 5878 )"
People,Race,"Two or more races",24792,"(+/- 4586 )",19808,"(+/- 4007 )"
People,"Hispanic or Latino and Race","Total population",530066,"(+/- 6855 )",529295,"(+/- 6855 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",101158,"(+/- 6787 )",71485,"(+/- 6787 )"
People,"Hispanic or Latino and Race",Mexican,6823,"(+/- 2592 )",4669,"(+/- 2349 )"
People,"Hispanic or Latino and Race","Puerto Rican",36647,"(+/- 6713 )",15257,"(+/- 3818 )"
People,"Hispanic or Latino and Race",Cuban,1377,"(+/- 696 )",1185,"(+/- 1257 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",56311,"(+/- 7607 )",50374,"(+/- 7523 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",428908,"(+/- 7735 )",457810,"(+/- 7735 )"
People,"Place of Birth","Total population",530066,"(+/- 6855 )",529295,"(+/- 6855 )"
People,"Place of Birth",Native,447153,"(+/- 9758 )",467134,"(+/- 7872 )"
People,"Place of Birth","Born in United States",429771,"(+/- 9576 )",454393,"(+/- 7830 )"
People,"Place of Birth","State of residence",273928,"(+/- 9249 )",326189,"(+/- 8397 )"
People,"Place of Birth","Different state",155843,"(+/- 6872 )",128204,"(+/- 6153 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",17382,"(+/- 4039 )",12741,"(+/- 2357 )"
People,"Place of Birth","Foreign born",82913,"(+/- 7100 )",62161,"(+/- 7686 )"
People,Ancestry,"Total population",530066,"(+/- 6855 )",529295,"(+/- 6855 )"
People,Ancestry,American,16758,"(+/- 2520 )",18560,"(+/- 2596 )"
