cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
People,"Sex and Age","Total population",821107,"(+/- 8715 )",722542,"(+/- 10209 )",706961,"(+/- 7205 )",754148,"(+/- 7106 )",738205,"(+/- 5763 )",665215,"(+/- 13766 )",740536,"(+/- 3127 )"
People,"Sex and Age",Male,395696,"(+/- 5775 )",348033,"(+/- 5936 )",346047,"(+/- 4580 )",365686,"(+/- 4288 )",351861,"(+/- 5087 )",323856,"(+/- 8926 )",353822,"(+/- 3237 )"
People,"Sex and Age",Female,425411,"(+/- 5614 )",374509,"(+/- 6555 )",360914,"(+/- 4651 )",388462,"(+/- 4191 )",386344,"(+/- 4890 )",341359,"(+/- 8114 )",386714,"(+/- 3631 )"
People,"Sex and Age","Under 5 years",47328,"(+/- 2493 )",39386,"(+/- 2201 )",38525,"(+/- 1949 )",46985,"(+/- 1262 )",42405,"(+/- 1812 )",36282,"(+/- 3267 )",38626,"(+/- 1634 )"
People,"Sex and Age","5 to 9 years",48643,"(+/- 3889 )",42282,"(+/- 3023 )",40037,"(+/- 3179 )",48048,"(+/- 3100 )",47856,"(+/- 2970 )",36738,"(+/- 3889 )",37108,"(+/- 3033 )"
People,"Sex and Age","10 to 14 years",51494,"(+/- 3606 )",52018,"(+/- 3350 )",48137,"(+/- 3361 )",46850,"(+/- 2987 )",49004,"(+/- 3355 )",40734,"(+/- 3779 )",46048,"(+/- 3092 )"
People,"Sex and Age","15 to 19 years",49573,"(+/- 2995 )",50931,"(+/- 3283 )",48149,"(+/- 2678 )",47505,"(+/- 1929 )",48476,"(+/- 2716 )",50970,"(+/- 3734 )",43954,"(+/- 2455 )"
People,"Sex and Age","20 to 24 years",44091,"(+/- 2747 )",44110,"(+/- 3442 )",48691,"(+/- 2768 )",47567,"(+/- 1925 )",39156,"(+/- 2955 )",56353,"(+/- 3606 )",41450,"(+/- 2571 )"
People,"Sex and Age","25 to 34 years",115459,"(+/- 3857 )",95398,"(+/- 4486 )",84405,"(+/- 3424 )",105982,"(+/- 2293 )",89709,"(+/- 3832 )",94262,"(+/- 5495 )",85542,"(+/- 3692 )"
People,"Sex and Age","35 to 44 years",106465,"(+/- 3860 )",87997,"(+/- 3528 )",79639,"(+/- 3156 )",95489,"(+/- 2375 )",96691,"(+/- 3024 )",80680,"(+/- 4011 )",81643,"(+/- 2682 )"
People,"Sex and Age","45 to 54 years",96308,"(+/- 3757 )",93852,"(+/- 2723 )",89686,"(+/- 3085 )",94879,"(+/- 3222 )",97218,"(+/- 3238 )",73006,"(+/- 5254 )",90093,"(+/- 2352 )"
People,"Sex and Age","55 to 59 years",57660,"(+/- 3669 )",47084,"(+/- 3435 )",52618,"(+/- 3076 )",47684,"(+/- 3253 )",50858,"(+/- 2945 )",44306,"(+/- 3525 )",52678,"(+/- 2590 )"
People,"Sex and Age","60 to 64 years",49396,"(+/- 3176 )",47814,"(+/- 3349 )",43554,"(+/- 2857 )",48804,"(+/- 3182 )",48245,"(+/- 2627 )",44101,"(+/- 3083 )",58461,"(+/- 2885 )"
People,"Sex and Age","65 to 74 years",95920,"(+/- 2376 )",74069,"(+/- 2080 )",79084,"(+/- 1953 )",73771,"(+/- 1708 )",78090,"(+/- 1685 )",64314,"(+/- 2954 )",106071,"(+/- 1933 )"
People,"Sex and Age","75 to 84 years",45223,"(+/- 2023 )",35835,"(+/- 2401 )",41982,"(+/- 1805 )",36864,"(+/- 1679 )",37757,"(+/- 2075 )",32097,"(+/- 2365 )",47589,"(+/- 2039 )"
People,"Sex and Age","85 years and over",13547,"(+/- 1732 )",11766,"(+/- 1798 )",12454,"(+/- 1565 )",13720,"(+/- 1833 )",12740,"(+/- 1713 )",11372,"(+/- 1489 )",11273,"(+/- 1432 )"
People,"Sex and Age","Median age (years)",39.8,"(+/- 0.6 )",39.0,"(+/- 0.5 )",40.6,"(+/- 0.6 )",38.4,"(+/- 0.5 )",40.1,"(+/- 0.5 )",36.9,"(+/- 1.0 )",44.6,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",643273,"(+/- 6597 )",559686,"(+/- 7456 )",553967,"(+/- 4983 )",584300,"(+/- 4835 )",570779,"(+/- 4411 )",531172,"(+/- 9736 )",593237,"(+/- 2717 )"
People,"Sex and Age","65 years and over",154690,"(+/- 2964 )",121670,"(+/- 2534 )",133520,"(+/- 1883 )",124355,"(+/- 2040 )",128587,"(+/- 1944 )",107783,"(+/- 4006 )",164933,"(+/- 2223 )"
People,Race,"Total population",821107,"(+/- 8715 )",722542,"(+/- 10209 )",706961,"(+/- 7205 )",754148,"(+/- 7106 )",738205,"(+/- 5763 )",665215,"(+/- 13766 )",740536,"(+/- 3127 )"
People,Race,"One race",796371,"(+/- 8330 )",705036,"(+/- 10411 )",688345,"(+/- 7340 )",735122,"(+/- 7385 )",719352,"(+/- 6885 )",650811,"(+/- 13195 )",728146,"(+/- 4254 )"
People,Race,White,591572,"(+/- 8238 )",501142,"(+/- 6557 )",531157,"(+/- 5370 )",553998,"(+/- 6686 )",502928,"(+/- 5489 )",253612,"(+/- 8959 )",500058,"(+/- 5452 )"
People,Race,"Black or African American",156022,"(+/- 7789 )",177973,"(+/- 9160 )",135804,"(+/- 5570 )",132698,"(+/- 5197 )",193552,"(+/- 5628 )",361328,"(+/- 12116 )",205540,"(+/- 4680 )"
People,Race,"American Indian and Alaska Native",3124,"(+/- 1830 )",2827,"(+/- 977 )",1550,"(+/- 668 )",2909,"(+/- 1174 )",3465,"(+/- 930 )",1312,"(+/- 683 )",3784,"(+/- 862 )"
People,Race,Asian,17006,"(+/- 1970 )",13914,"(+/- 2253 )",6962,"(+/- 1010 )",19754,"(+/- 1941 )",12696,"(+/- 2561 )",8148,"(+/- 2221 )",8091,"(+/- 772 )"
People,Race,"Native Hawaiian and Other Pacific Islander",4473,"(+/- 4448 )",418,"(+/- 604 )",127,"(+/- 175 )",1685,"(+/- 1630 )",267,"(+/- 495 )",507,"(+/- 445 )",95,"(+/- 155 )"
