cdTopic,Subject,Title,District 01 Estimate,District (At Large) MOE
People,Sex and Age,Total population,884659,(*****)
People,Sex and Age,Male,449458,(+/- 2743 )
People,Sex and Age,Female,435201,(+/- 2743 )
People,Sex and Age,Under 5 years,58859,(+/- 1479 )
People,Sex and Age,5 to 9 years,59654,(+/- 2960 )
People,Sex and Age,10 to 14 years,62453,(+/- 2832 )
People,Sex and Age,15 to 19 years,57976,(+/- 2233 )
People,Sex and Age,20 to 24 years,57688,(+/- 2512 )
People,Sex and Age,25 to 34 years,114420,(+/- 2508 )
People,Sex and Age,35 to 44 years,106071,(+/- 2330 )
People,Sex and Age,45 to 54 years,96689,(+/- 2051 )
People,Sex and Age,55 to 59 years,58677,(+/- 3013 )
People,Sex and Age,60 to 64 years,58373,(+/- 2901 )
People,Sex and Age,65 to 74 years,90443,(+/- 952 )
People,Sex and Age,75 to 84 years,44057,(+/- 1594 )
People,Sex and Age,85 years and over,19299,(+/- 1532 )
People,Sex and Age,Median age (years),37.7,(+/- 0.3 )
People,Sex and Age,18 years and over,669390,(+/- 1673 )
People,Sex and Age,65 years and over,153799,(+/- 1285 )
People,Race,Total population,884659,(*****)
People,Race,One race,859961,(+/- 3560 )
People,Race,White,743764,(+/- 1684 )
People,Race,Black or African American,20866,(+/- 2182 )
People,Race,American Indian and Alaska Native,75809,(+/- 2831 )
People,Race,Asian,11530,(+/- 2434 )
People,Race,Native Hawaiian and Other Pacific Islander,2073,(+/- 1557 )
People,Race,Some other race,5919,(+/- 1275 )
People,Race,Two or more races,24698,(+/- 3560 )
People,Hispanic or Latino and Race,Total population,884659,(*****)
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),33018,(+/- 1554 )
People,Hispanic or Latino and Race,Mexican,20531,(+/- 2445 )
People,Hispanic or Latino and Race,Puerto Rican,2369,(+/- 1181 )
People,Hispanic or Latino and Race,Cuban,258,(+/- 306 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,9860,(+/- 2093 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,851641,(+/- 1554 )
People,Place of Birth,Total population,884659,(*****)
People,Place of Birth,Native,848327,(+/- 3094 )
People,Place of Birth,Born in United States,843231,(+/- 3237 )
People,Place of Birth,State of residence,562899,(+/- 7847 )
People,Place of Birth,Different state,280332,(+/- 7560 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",5096,(+/- 1387 )
People,Place of Birth,Foreign born,36332,(+/- 3094 )
People,Ancestry,Total population,884659,(*****)
People,Ancestry,American,39671,(+/- 4942 )
People,Ancestry,Arab,2635,(+/- 1471 )
People,Ancestry,Czech,16179,(+/- 2201 )
People,Ancestry,Danish,16708,(+/- 2748 )
People,Ancestry,Dutch,38199,(+/- 3675 )
People,Ancestry,English,51882,(+/- 4207 )
People,Ancestry,French (except Basque),18873,(+/- 2742 )
People,Ancestry,French Canadian,3974,(+/- 1395 )
People,Ancestry,German,304063,(+/- 9089 )
People,Ancestry,Greek,747,(+/- 449 )
People,Ancestry,Hungarian,975,(+/- 434 )
People,Ancestry,Irish,83376,(+/- 6734 )
People,Ancestry,Italian,10104,(+/- 1813 )
People,Ancestry,Lithuanian,603,(+/- 425 )
People,Ancestry,Norwegian,113629,(+/- 5378 )
People,Ancestry,Polish,11299,(+/- 1612 )
People,Ancestry,Portuguese,1334,(+/- 962 )
People,Ancestry,Russian,8601,(+/- 1706 )
People,Ancestry,Scotch-Irish,4263,(+/- 1063 )
People,Ancestry,Scottish,11905,(+/- 2353 )
People,Ancestry,Slovak,707,(+/- 700 )
People,Ancestry,Subsaharan African,13749,(+/- 2249 )
People,Ancestry,Swedish,26265,(+/- 3179 )
People,Ancestry,Swiss,4272,(+/- 1455 )
People,Ancestry,Ukrainian,989,(+/- 816 )
People,Ancestry,Welsh,4628,(+/- 1306 )
People,Ancestry,West Indian (excluding Hispanic origin groups),1005,(+/- 808 )
People,Veteran Status,Civilian population 18 years and over,666774,(+/- 1869 )
People,Veteran Status,Civilian veterans,57032,(+/- 2917 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,867305,(+/- 718 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,109690,(+/- 5735 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,214179,(+/- 1689 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,6222,(+/- 1196 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,505701,(+/- 2096 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,55489,(+/- 4477 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,147425,(+/- 1338 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,47979,(+/- 2599 )
People,Residence 1 Year Ago,Population 1 year and over,872708,(+/- 1720 )
People,Residence 1 Year Ago,Same house,739009,(+/- 8766 )
People,Residence 1 Year Ago,Different house in the U.S.,129067,(+/- 8098 )
People,Residence 1 Year Ago,Same county,58547,(+/- 5551 )
People,Residence 1 Year Ago,Different county,70520,(+/- 6362 )
People,Residence 1 Year Ago,Same state,43586,(+/- 5057 )
People,Residence 1 Year Ago,Different state,26934,(+/- 3576 )
People,Residence 1 Year Ago,Abroad,4632,(+/- 2854 )
Workers,Employment Status,Population 16 years and over,692113,(+/- 2208 )
Workers,Employment Status,In labor force,469624,(+/- 5298 )
Workers,Employment Status,Civilian labor force,467008,(+/- 5353 )
Workers,Employment Status,Employed,452975,(+/- 5361 )
Workers,Employment Status,Unemployed,14033,(+/- 1754 )
Workers,Employment Status,Armed Forces,2616,(+/- 719 )
Workers,Employment Status,Not in labor force,222489,(+/- 5297 )
Workers,Employment Status,Civilian labor force,467008,(+/- 5353 )
Workers,Employment Status,Unemployment Rate,3,(+/- 0.4 )
Workers,Commuting to Work,Workers 16 years and over,448247,(+/- 5678 )
Workers,Commuting to Work,"Car, truck, or van -- drove alone",357493,(+/- 6859 )
Workers,Commuting to Work,"Car, truck, or van -- carpooled",40155,(+/- 3692 )
Workers,Commuting to Work,Public transportation (excluding taxicab),1578,(+/- 672 )
Workers,Commuting to Work,Walked,14428,(+/- 2177 )
Workers,Commuting to Work,Other means,7199,(+/- 1432 )
Workers,Commuting to Work,Worked from home,27394,(+/- 2065 )
Workers,Commuting to Work,Mean travel time to work (minutes),17.9,(+/- 0.5 )
Workers,Occupation,Civilian employed population 16 years and over,452975,(+/- 5361 )
Workers,Occupation,"Management, business, science, and arts occupations",177650,(+/- 6082 )
Workers,Occupation,Service occupations,75329,(+/- 4500 )
Workers,Occupation,Sales and office occupations,90728,(+/- 3827 )
Workers,Occupation,"Natural resources, construction, and maintenance occupations",44902,(+/- 3177 )
Workers,Occupation,"Production, transportation, and material moving occupations",64366,(+/- 4325 )
Workers,Industry,Civilian employed population 16 years and over,452975,(+/- 5361 )
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",29353,(+/- 2022 )
Workers,Industry,Construction,28200,(+/- 2658 )
Workers,Industry,Manufacturing,48511,(+/- 3543 )
Workers,Industry,Wholesale trade,13167,(+/- 2142 )
Workers,Industry,Retail trade,47067,(+/- 3994 )
Workers,Industry,"Transportation and warehousing, and utilities",21830,(+/- 2081 )
Workers,Industry,Information,7950,(+/- 1584 )
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",34208,(+/- 2992 )
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",28834,(+/- 2408 )
Workers,Industry,"Educational services, and health care and social assistance",110604,(+/- 4451 )
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",43233,(+/- 3818 )
Workers,Industry,"Other services, except public administration",19954,(+/- 1948 )
Workers,Industry,Public administration,20064,(+/- 2222 )
Workers,Class of Worker,Civilian employed population 16 years and over,452975,(+/- 5361 )
Workers,Class of Worker,Private wage and salary workers,341554,(+/- 5418 )
Workers,Class of Worker,Government workers,72399,(+/- 3828 )
Workers,Class of Worker,Self-employed in own not incorporated business workers,37642,(+/- 3081 )
Workers,Class of Worker,Unpaid family workers,1380,(+/- 564 )
Housing,Housing Occupancy,Total housing units,401749,(+/- 456 )
Housing,Housing Occupancy,Occupied housing units,353799,(+/- 3905 )
Housing,Housing Occupancy,Vacant housing units,47950,(+/- 3980 )
Housing,Housing Occupancy,Homeowner vacancy rate,1.1,(+/- 0.4 )
