cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Sex and Age","Total population",725173,"(+/- 3307 )",758519,"(+/- 3358 )",743225,"(+/- 4495 )",812697,"(+/- 6137 )",778094,"(+/- 1999 )",799365,"(+/- 3308 )",800536,"(+/- 4701 )",711068,"(+/- 9195 )",700497,"(+/- 8819 )"
People,"Sex and Age",Male,355602,"(+/- 2817 )",366468,"(+/- 2682 )",366922,"(+/- 3811 )",399405,"(+/- 4366 )",376112,"(+/- 1474 )",395441,"(+/- 2725 )",394486,"(+/- 3818 )",345086,"(+/- 6011 )",329593,"(+/- 5604 )"
People,"Sex and Age",Female,369571,"(+/- 2848 )",392051,"(+/- 2576 )",376303,"(+/- 3217 )",413292,"(+/- 4504 )",401982,"(+/- 1368 )",403924,"(+/- 2492 )",406050,"(+/- 3209 )",365982,"(+/- 6213 )",370904,"(+/- 5153 )"
People,"Sex and Age","Under 5 years",37733,"(+/- 1645 )",39754,"(+/- 1058 )",40931,"(+/- 1668 )",50554,"(+/- 2553 )",51107,"(+/- 489 )",44094,"(+/- 1390 )",50634,"(+/- 1613 )",41671,"(+/- 2269 )",50548,"(+/- 2107 )"
People,"Sex and Age","5 to 9 years",38632,"(+/- 3462 )",40264,"(+/- 2411 )",40228,"(+/- 3140 )",48420,"(+/- 2747 )",41917,"(+/- 2800 )",51049,"(+/- 3173 )",51498,"(+/- 3586 )",44891,"(+/- 3415 )",48474,"(+/- 4170 )"
People,"Sex and Age","10 to 14 years",41844,"(+/- 3153 )",45020,"(+/- 2798 )",46620,"(+/- 3041 )",58488,"(+/- 2759 )",45387,"(+/- 2972 )",50839,"(+/- 3316 )",58378,"(+/- 3282 )",49013,"(+/- 3455 )",48322,"(+/- 4397 )"
People,"Sex and Age","15 to 19 years",40988,"(+/- 1967 )",49522,"(+/- 1929 )",44255,"(+/- 2448 )",58423,"(+/- 2971 )",43442,"(+/- 1224 )",50866,"(+/- 2281 )",57919,"(+/- 3004 )",46820,"(+/- 3170 )",43000,"(+/- 2273 )"
People,"Sex and Age","20 to 24 years",44635,"(+/- 1804 )",58319,"(+/- 1894 )",45214,"(+/- 2037 )",56903,"(+/- 3203 )",52896,"(+/- 906 )",44171,"(+/- 1904 )",49352,"(+/- 2293 )",40754,"(+/- 3287 )",51423,"(+/- 2278 )"
People,"Sex and Age","25 to 34 years",86634,"(+/- 2689 )",97986,"(+/- 2152 )",94149,"(+/- 2512 )",107952,"(+/- 3211 )",154567,"(+/- 1057 )",98875,"(+/- 2431 )",97699,"(+/- 2919 )",78521,"(+/- 4479 )",118495,"(+/- 3110 )"
People,"Sex and Age","35 to 44 years",80037,"(+/- 1864 )",89948,"(+/- 1961 )",90138,"(+/- 2294 )",101435,"(+/- 3417 )",106274,"(+/- 1136 )",100748,"(+/- 2659 )",108189,"(+/- 2756 )",89761,"(+/- 4941 )",82629,"(+/- 4349 )"
People,"Sex and Age","45 to 54 years",99452,"(+/- 2003 )",97004,"(+/- 1909 )",96346,"(+/- 2180 )",105292,"(+/- 2431 )",90010,"(+/- 1132 )",105844,"(+/- 2530 )",105049,"(+/- 2521 )",92540,"(+/- 3528 )",80658,"(+/- 3201 )"
People,"Sex and Age","55 to 59 years",52965,"(+/- 2764 )",52886,"(+/- 2684 )",50381,"(+/- 3131 )",53181,"(+/- 3184 )",48287,"(+/- 2621 )",56724,"(+/- 2886 )",51177,"(+/- 2785 )",51778,"(+/- 2996 )",42765,"(+/- 2680 )"
People,"Sex and Age","60 to 64 years",51502,"(+/- 2683 )",48916,"(+/- 2990 )",53432,"(+/- 3231 )",50113,"(+/- 2592 )",43434,"(+/- 2361 )",52304,"(+/- 2893 )",48550,"(+/- 2712 )",48480,"(+/- 2807 )",41890,"(+/- 3023 )"
People,"Sex and Age","65 to 74 years",86932,"(+/- 1131 )",82599,"(+/- 1275 )",82658,"(+/- 1877 )",74049,"(+/- 2160 )",61941,"(+/- 1080 )",85341,"(+/- 1551 )",73727,"(+/- 1517 )",74598,"(+/- 2517 )",58345,"(+/- 1893 )"
People,"Sex and Age","75 to 84 years",47344,"(+/- 1925 )",41865,"(+/- 1820 )",42614,"(+/- 2383 )",36371,"(+/- 1736 )",29533,"(+/- 1434 )",44757,"(+/- 2329 )",35667,"(+/- 1942 )",38318,"(+/- 2288 )",24941,"(+/- 2197 )"
People,"Sex and Age","85 years and over",16475,"(+/- 2075 )",14436,"(+/- 1599 )",16259,"(+/- 1929 )",11516,"(+/- 1390 )",9299,"(+/- 1227 )",13753,"(+/- 1986 )",12697,"(+/- 1939 )",13923,"(+/- 1518 )",9007,"(+/- 1651 )"
People,"Sex and Age","Median age (years)",44.0,"(+/- 0.4 )",40.5,"(+/- 0.4 )",41.6,"(+/- 0.3 )",37.8,"(+/- 0.6 )",35.0,"(+/- 0.1 )",40.9,"(+/- 0.4 )",38.2,"(+/- 0.5 )",41.2,"(+/- 0.7 )",34.1,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",582924,"(+/- 2783 )",605392,"(+/- 3011 )",588024,"(+/- 3811 )",622060,"(+/- 4937 )",615993,"(+/- 1541 )",623873,"(+/- 3468 )",605871,"(+/- 3827 )",547391,"(+/- 7186 )",526894,"(+/- 6690 )"
People,"Sex and Age","65 years and over",150751,"(+/- 1616 )",138900,"(+/- 1627 )",141531,"(+/- 2468 )",121936,"(+/- 2559 )",100773,"(+/- 931 )",143851,"(+/- 1619 )",122091,"(+/- 1791 )",126839,"(+/- 3056 )",92293,"(+/- 2610 )"
People,Race,"Total population",725173,"(+/- 3307 )",758519,"(+/- 3358 )",743225,"(+/- 4495 )",812697,"(+/- 6137 )",778094,"(+/- 1999 )",799365,"(+/- 3308 )",800536,"(+/- 4701 )",711068,"(+/- 9195 )",700497,"(+/- 8819 )"
People,Race,"One race",711338,"(+/- 4386 )",739921,"(+/- 4245 )",727766,"(+/- 5063 )",788268,"(+/- 7331 )",760638,"(+/- 3194 )",784454,"(+/- 3743 )",772782,"(+/- 6261 )",698376,"(+/- 9591 )",689385,"(+/- 8966 )"
People,Race,White,682102,"(+/- 4138 )",675194,"(+/- 3756 )",627339,"(+/- 5162 )",677310,"(+/- 6939 )",517223,"(+/- 4978 )",714233,"(+/- 4578 )",667562,"(+/- 5591 )",518912,"(+/- 6458 )",193035,"(+/- 7897 )"
