cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE"
People,"Sex and Age","Total population",726094,"(+/- 3652 )",787271,"(+/- 29771 )",913161,"(+/- 8354 )",782743,"(+/- 8162 )",759749,"(+/- 12381 )",818442,"(+/- 14521 )",762826,"(+/- 28683 )",895861,"(+/- 11687 )",769335,"(+/- 33086 )",925348,"(+/- 26874 )",790264,"(+/- 5561 )",844563,"(+/- 18753 )",714733,"(+/- 5768 )",760530,"(+/- 9570 )",804562,"(+/- 14986 )",747648,"(+/- 7891 )",786023,"(+/- 11190 )",827015,"(+/- 30455 )",729664,"(+/- 6452 )",832518,"(+/- 23248 )",829628,"(+/- 21422 )",960957,"(+/- 20983 )",786712,"(+/- 18666 )",832445,"(+/- 13592 )",818807,"(+/- 16587 )",920865,"(+/- 12445 )",745526,"(+/- 6659 )",772410,"(+/- 16234 )",783915,"(+/- 26724 )",792445,"(+/- 22140 )",916064,"(+/- 6553 )",778087,"(+/- 15673 )",751182,"(+/- 21875 )",712596,"(+/- 12529 )",857654,"(+/- 24352 )",758238,"(+/- 12699 )"
People,"Sex and Age",Male,354955,"(+/- 3055 )",395799,"(+/- 17351 )",449640,"(+/- 4988 )",386793,"(+/- 5344 )",381770,"(+/- 7920 )",400225,"(+/- 8247 )",374711,"(+/- 16754 )",455169,"(+/- 7575 )",378459,"(+/- 17265 )",453621,"(+/- 14681 )",394198,"(+/- 4573 )",408113,"(+/- 10221 )",367171,"(+/- 3796 )",383912,"(+/- 5286 )",398133,"(+/- 8632 )",370213,"(+/- 5315 )",391162,"(+/- 6785 )",411969,"(+/- 16783 )",367291,"(+/- 4124 )",408768,"(+/- 13348 )",408995,"(+/- 12050 )",471228,"(+/- 11681 )",393826,"(+/- 10640 )",414095,"(+/- 10840 )",412542,"(+/- 9949 )",449720,"(+/- 7692 )",371204,"(+/- 4956 )",381973,"(+/- 8057 )",390266,"(+/- 14697 )",387135,"(+/- 12066 )",453051,"(+/- 3814 )",380185,"(+/- 9068 )",376948,"(+/- 13279 )",353861,"(+/- 6963 )",431200,"(+/- 13079 )",377461,"(+/- 8134 )"
People,"Sex and Age",Female,371139,"(+/- 3225 )",391472,"(+/- 15853 )",463521,"(+/- 5009 )",395950,"(+/- 4928 )",377979,"(+/- 7989 )",418217,"(+/- 9331 )",388115,"(+/- 15061 )",440692,"(+/- 6874 )",390876,"(+/- 19708 )",471727,"(+/- 15429 )",396066,"(+/- 4310 )",436450,"(+/- 10922 )",347562,"(+/- 3863 )",376618,"(+/- 6486 )",406429,"(+/- 8874 )",377435,"(+/- 4428 )",394861,"(+/- 6841 )",415046,"(+/- 16131 )",362373,"(+/- 4136 )",423750,"(+/- 13627 )",420633,"(+/- 12545 )",489729,"(+/- 12178 )",392886,"(+/- 12613 )",418350,"(+/- 9477 )",406265,"(+/- 9373 )",471145,"(+/- 8534 )",374322,"(+/- 4591 )",390437,"(+/- 10734 )",393649,"(+/- 15744 )",405310,"(+/- 12855 )",463013,"(+/- 3698 )",397902,"(+/- 11220 )",374234,"(+/- 13033 )",358735,"(+/- 7435 )",426454,"(+/- 15341 )",380777,"(+/- 8198 )"
People,"Sex and Age","Under 5 years",46382,"(+/- 1689 )",48923,"(+/- 5146 )",53654,"(+/- 1993 )",48277,"(+/- 1986 )",52252,"(+/- 4133 )",53221,"(+/- 4329 )",56868,"(+/- 6976 )",55884,"(+/- 2480 )",53533,"(+/- 5740 )",59082,"(+/- 5678 )",57698,"(+/- 2491 )",57678,"(+/- 4834 )",48046,"(+/- 1845 )",48202,"(+/- 2237 )",66596,"(+/- 3937 )",53525,"(+/- 1787 )",50327,"(+/- 2740 )",60181,"(+/- 5932 )",48305,"(+/- 1449 )",61715,"(+/- 5423 )",41714,"(+/- 3820 )",64790,"(+/- 3504 )",55417,"(+/- 3962 )",52993,"(+/- 4568 )",46665,"(+/- 3144 )",57310,"(+/- 2871 )",49225,"(+/- 1639 )",62686,"(+/- 4166 )",76114,"(+/- 6111 )",55868,"(+/- 4782 )",65195,"(+/- 1367 )",55255,"(+/- 5100 )",60943,"(+/- 5599 )",54070,"(+/- 3600 )",54099,"(+/- 4830 )",49062,"(+/- 4309 )"
People,"Sex and Age","5 to 9 years",49533,"(+/- 3092 )",46120,"(+/- 4800 )",62953,"(+/- 4151 )",55358,"(+/- 3365 )",48564,"(+/- 4016 )",58310,"(+/- 5089 )",47208,"(+/- 5291 )",59143,"(+/- 5033 )",51630,"(+/- 7490 )",66383,"(+/- 6522 )",60128,"(+/- 4925 )",54872,"(+/- 4552 )",51193,"(+/- 3401 )",50757,"(+/- 4588 )",63491,"(+/- 4349 )",57548,"(+/- 3616 )",45629,"(+/- 3569 )",56917,"(+/- 5720 )",47060,"(+/- 3117 )",61716,"(+/- 5658 )",38994,"(+/- 4410 )",72558,"(+/- 7499 )",57385,"(+/- 5001 )",49508,"(+/- 4476 )",49159,"(+/- 4379 )",63751,"(+/- 4621 )",47497,"(+/- 3849 )",64144,"(+/- 5120 )",65983,"(+/- 5231 )",55605,"(+/- 5213 )",64677,"(+/- 4194 )",49014,"(+/- 3918 )",58671,"(+/- 5087 )",54985,"(+/- 4691 )",55842,"(+/- 5154 )",53106,"(+/- 4743 )"
People,"Sex and Age","10 to 14 years",49756,"(+/- 3318 )",57617,"(+/- 6325 )",72893,"(+/- 4381 )",56177,"(+/- 4022 )",55069,"(+/- 4390 )",60541,"(+/- 4674 )",50728,"(+/- 5837 )",71411,"(+/- 4713 )",54116,"(+/- 6363 )",77920,"(+/- 6920 )",53997,"(+/- 4637 )",61312,"(+/- 6546 )",50410,"(+/- 3088 )",52970,"(+/- 4450 )",70922,"(+/- 5034 )",55806,"(+/- 3446 )",50177,"(+/- 3513 )",62348,"(+/- 5656 )",52893,"(+/- 3124 )",58946,"(+/- 5430 )",44942,"(+/- 4697 )",80170,"(+/- 6475 )",66977,"(+/- 4167 )",53086,"(+/- 5120 )",61215,"(+/- 4186 )",70306,"(+/- 4922 )",54357,"(+/- 3492 )",69317,"(+/- 4431 )",66073,"(+/- 5560 )",67572,"(+/- 6374 )",68457,"(+/- 3899 )",57009,"(+/- 5328 )",70765,"(+/- 4397 )",60733,"(+/- 3601 )",60319,"(+/- 5514 )",57473,"(+/- 5042 )"
People,"Sex and Age","15 to 19 years",53014,"(+/- 3081 )",51604,"(+/- 5687 )",64143,"(+/- 2427 )",52584,"(+/- 3544 )",51931,"(+/- 3962 )",66069,"(+/- 3853 )",41874,"(+/- 3836 )",62009,"(+/- 3761 )",53335,"(+/- 5461 )",59951,"(+/- 5124 )",52086,"(+/- 3454 )",55547,"(+/- 3775 )",48391,"(+/- 2543 )",49619,"(+/- 2968 )",64503,"(+/- 3917 )",56189,"(+/- 2003 )",63013,"(+/- 3631 )",60382,"(+/- 6904 )",60636,"(+/- 2615 )",60603,"(+/- 4289 )",54746,"(+/- 4646 )",70321,"(+/- 4038 )",63437,"(+/- 4588 )",45954,"(+/- 4161 )",59800,"(+/- 4071 )",70229,"(+/- 2811 )",54022,"(+/- 2614 )",64155,"(+/- 4519 )",61892,"(+/- 4988 )",59256,"(+/- 3907 )",65615,"(+/- 1854 )",46943,"(+/- 3739 )",61711,"(+/- 5069 )",56682,"(+/- 2950 )",63430,"(+/- 6011 )",51680,"(+/- 3978 )"
People,"Sex and Age","20 to 24 years",48652,"(+/- 2998 )",52535,"(+/- 5912 )",52021,"(+/- 2296 )",42337,"(+/- 3038 )",49287,"(+/- 4673 )",55775,"(+/- 4395 )",42665,"(+/- 5506 )",54454,"(+/- 3452 )",55130,"(+/- 5894 )",51263,"(+/- 5303 )",48477,"(+/- 2728 )",57008,"(+/- 4305 )",48766,"(+/- 2472 )",50949,"(+/- 3058 )",61566,"(+/- 3136 )",62213,"(+/- 2393 )",86118,"(+/- 3038 )",63087,"(+/- 6287 )",66585,"(+/- 2517 )",70524,"(+/- 5283 )",60575,"(+/- 5682 )",51636,"(+/- 4295 )",45655,"(+/- 4510 )",54817,"(+/- 4786 )",49942,"(+/- 4838 )",57524,"(+/- 3169 )",47292,"(+/- 3316 )",55804,"(+/- 3722 )",58148,"(+/- 5431 )",54534,"(+/- 4079 )",56787,"(+/- 1949 )",51647,"(+/- 4108 )",52594,"(+/- 4148 )",55374,"(+/- 3437 )",68473,"(+/- 5848 )",43834,"(+/- 3917 )"
People,"Sex and Age","25 to 34 years",94212,"(+/- 3538 )",125596,"(+/- 9007 )",117247,"(+/- 2939 )",93759,"(+/- 3704 )",106505,"(+/- 5486 )",113283,"(+/- 6012 )",134241,"(+/- 9633 )",110636,"(+/- 4597 )",122530,"(+/- 9510 )",137367,"(+/- 8565 )",114475,"(+/- 3923 )",124450,"(+/- 6477 )",93283,"(+/- 3229 )",105019,"(+/- 3720 )",109737,"(+/- 5147 )",113910,"(+/- 3414 )",116261,"(+/- 4865 )",147102,"(+/- 10605 )",100043,"(+/- 4111 )",132516,"(+/- 7341 )",130472,"(+/- 8827 )",117194,"(+/- 5574 )",113316,"(+/- 7551 )",151417,"(+/- 7245 )",108064,"(+/- 5287 )",124129,"(+/- 4814 )",101112,"(+/- 3851 )",105895,"(+/- 5784 )",120255,"(+/- 7528 )",125392,"(+/- 6570 )",137163,"(+/- 2313 )",126176,"(+/- 6093 )",115983,"(+/- 6785 )",94959,"(+/- 4830 )",157043,"(+/- 9062 )",101919,"(+/- 6168 )"
People,"Sex and Age","35 to 44 years",87537,"(+/- 3079 )",114461,"(+/- 7819 )",148215,"(+/- 2876 )",99623,"(+/- 3773 )",99416,"(+/- 4220 )",109301,"(+/- 5157 )",119367,"(+/- 9477 )",122416,"(+/- 3648 )",109772,"(+/- 9930 )",137386,"(+/- 8718 )",101214,"(+/- 3580 )",120018,"(+/- 5052 )",90756,"(+/- 2591 )",99392,"(+/- 2734 )",105836,"(+/- 3741 )",90193,"(+/- 2986 )",100198,"(+/- 4680 )",113766,"(+/- 8507 )",93102,"(+/- 4137 )",112134,"(+/- 6107 )",111419,"(+/- 6587 )",150522,"(+/- 7111 )",107294,"(+/- 6738 )",126540,"(+/- 7207 )",115059,"(+/- 5992 )",135675,"(+/- 4552 )",93792,"(+/- 4237 )",95638,"(+/- 4578 )",104517,"(+/- 6395 )",102262,"(+/- 5715 )",138732,"(+/- 2519 )",100000,"(+/- 5851 )",102761,"(+/- 5505 )",81292,"(+/- 3006 )",124500,"(+/- 7297 )",95313,"(+/- 5057 )"
