cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population",787582,"(+/- 5651 )",788484,"(+/- 8012 )",779460,"(+/- 8826 )",850432,"(+/- 10453 )"
People,"Sex and Age",Male,400169,"(+/- 3935 )",393650,"(+/- 5492 )",390471,"(+/- 5053 )",426381,"(+/- 6523 )"
People,"Sex and Age",Female,387413,"(+/- 3655 )",394834,"(+/- 5677 )",388989,"(+/- 6413 )",424051,"(+/- 7115 )"
People,"Sex and Age","Under 5 years",61578,"(+/- 1789 )",54285,"(+/- 3138 )",60831,"(+/- 2500 )",69189,"(+/- 3092 )"
People,"Sex and Age","5 to 9 years",68250,"(+/- 2563 )",56687,"(+/- 3416 )",60893,"(+/- 3382 )",72237,"(+/- 4847 )"
People,"Sex and Age","10 to 14 years",67566,"(+/- 2445 )",61431,"(+/- 2861 )",65163,"(+/- 3367 )",73424,"(+/- 3927 )"
People,"Sex and Age","15 to 19 years",63117,"(+/- 1858 )",58024,"(+/- 2928 )",69953,"(+/- 2752 )",64359,"(+/- 2924 )"
People,"Sex and Age","20 to 24 years",63342,"(+/- 2894 )",62346,"(+/- 4240 )",85955,"(+/- 2805 )",55736,"(+/- 4113 )"
People,"Sex and Age","25 to 34 years",112423,"(+/- 2864 )",116712,"(+/- 4240 )",106193,"(+/- 3916 )",136825,"(+/- 4892 )"
People,"Sex and Age","35 to 44 years",109494,"(+/- 2359 )",107731,"(+/- 4434 )",96904,"(+/- 3616 )",129563,"(+/- 4867 )"
People,"Sex and Age","45 to 54 years",82309,"(+/- 2493 )",81173,"(+/- 3840 )",77360,"(+/- 3234 )",88527,"(+/- 4182 )"
People,"Sex and Age","55 to 59 years",36945,"(+/- 2561 )",38875,"(+/- 3116 )",33089,"(+/- 2567 )",38947,"(+/- 3231 )"
People,"Sex and Age","60 to 64 years",39128,"(+/- 2265 )",40536,"(+/- 3073 )",36220,"(+/- 2862 )",37440,"(+/- 3445 )"
People,"Sex and Age","65 to 74 years",52027,"(+/- 1619 )",62670,"(+/- 2306 )",52343,"(+/- 2934 )",52173,"(+/- 3000 )"
People,"Sex and Age","75 to 84 years",24964,"(+/- 1551 )",35628,"(+/- 2514 )",25515,"(+/- 1797 )",23305,"(+/- 2300 )"
People,"Sex and Age","85 years and over",6439,"(+/- 1159 )",12386,"(+/- 1692 )",9041,"(+/- 1522 )",8707,"(+/- 1255 )"
People,"Sex and Age","Median age (years)",31.1,"(+/- 0.4 )",33.4,"(+/- 0.6 )",28.7,"(+/- 0.5 )",31.5,"(+/- 0.5 )"
People,"Sex and Age","18 years and over",550406,"(+/- 4564 )",579472,"(+/- 6690 )",551901,"(+/- 6551 )",593871,"(+/- 8562 )"
People,"Sex and Age","65 years and over",83430,"(+/- 2232 )",110684,"(+/- 3195 )",86899,"(+/- 3595 )",84185,"(+/- 4043 )"
People,Race,"Total population",787582,"(+/- 5651 )",788484,"(+/- 8012 )",779460,"(+/- 8826 )",850432,"(+/- 10453 )"
People,Race,"One race",764660,"(+/- 6927 )",764987,"(+/- 9231 )",753028,"(+/- 9372 )",819709,"(+/- 10572 )"
People,Race,White,720006,"(+/- 7336 )",657266,"(+/- 9799 )",704050,"(+/- 9118 )",718205,"(+/- 13345 )"
People,Race,"Black or African American",7161,"(+/- 1601 )",11721,"(+/- 3296 )",5428,"(+/- 1646 )",12608,"(+/- 3228 )"
People,Race,"American Indian and Alaska Native",8939,"(+/- 1402 )",9819,"(+/- 3505 )",11851,"(+/- 1556 )",4759,"(+/- 1950 )"
People,Race,Asian,13591,"(+/- 1803 )",24378,"(+/- 4582 )",14874,"(+/- 2424 )",23627,"(+/- 3272 )"
People,Race,"Native Hawaiian and Other Pacific Islander",2109,"(+/- 987 )",12392,"(+/- 3908 )",6325,"(+/- 1746 )",9899,"(+/- 2982 )"
People,Race,"Some other race",12854,"(+/- 2880 )",49411,"(+/- 7714 )",10500,"(+/- 3165 )",50611,"(+/- 6964 )"
People,Race,"Two or more races",22922,"(+/- 3371 )",23497,"(+/- 4307 )",26432,"(+/- 3976 )",30723,"(+/- 4731 )"
People,"Hispanic or Latino and Race","Total population",787582,"(+/- 5651 )",788484,"(+/- 8012 )",779460,"(+/- 8826 )",850432,"(+/- 10453 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",106463,"(+/- 3511 )",124580,"(+/- 7343 )",85324,"(+/- 5051 )",145687,"(+/- 7837 )"
People,"Hispanic or Latino and Race",Mexican,82075,"(+/- 5881 )",97678,"(+/- 8431 )",59113,"(+/- 6161 )",102460,"(+/- 8876 )"
People,"Hispanic or Latino and Race","Puerto Rican",2348,"(+/- 1061 )",1749,"(+/- 775 )",2793,"(+/- 1215 )",1845,"(+/- 1167 )"
People,"Hispanic or Latino and Race",Cuban,208,"(+/- 203 )",1141,"(+/- 749 )",918,"(+/- 770 )",470,"(+/- 386 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",21832,"(+/- 5032 )",24012,"(+/- 4647 )",22500,"(+/- 3618 )",40912,"(+/- 7031 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",681119,"(+/- 4840 )",663904,"(+/- 7715 )",694136,"(+/- 8616 )",704745,"(+/- 10181 )"
People,"Place of Birth","Total population",787582,"(+/- 5651 )",788484,"(+/- 8012 )",779460,"(+/- 8826 )",850432,"(+/- 10453 )"
People,"Place of Birth",Native,743540,"(+/- 6038 )",709327,"(+/- 7789 )",720323,"(+/- 9639 )",758193,"(+/- 10225 )"
People,"Place of Birth","Born in United States",733664,"(+/- 6212 )",702410,"(+/- 7788 )",712258,"(+/- 9419 )",750945,"(+/- 10418 )"
People,"Place of Birth","State of residence",515900,"(+/- 8280 )",465015,"(+/- 9828 )",465312,"(+/- 9886 )",531591,"(+/- 11468 )"
People,"Place of Birth","Different state",217764,"(+/- 7475 )",237395,"(+/- 7996 )",246946,"(+/- 8354 )",219354,"(+/- 10258 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",9876,"(+/- 1910 )",6917,"(+/- 1301 )",8065,"(+/- 1476 )",7248,"(+/- 1641 )"
People,"Place of Birth","Foreign born",44042,"(+/- 3777 )",79157,"(+/- 6898 )",59137,"(+/- 4011 )",92239,"(+/- 7088 )"
People,Ancestry,"Total population",787582,"(+/- 5651 )",788484,"(+/- 8012 )",779460,"(+/- 8826 )",850432,"(+/- 10453 )"
People,Ancestry,American,32631,"(+/- 3594 )",45848,"(+/- 6110 )",34229,"(+/- 4124 )",54128,"(+/- 7448 )"
People,Ancestry,Arab,1313,"(+/- 1094 )",1606,"(+/- 626 )",1820,"(+/- 1145 )",1800,"(+/- 836 )"
People,Ancestry,Czech,883,"(+/- 482 )",1431,"(+/- 753 )",1162,"(+/- 639 )",1248,"(+/- 1052 )"
People,Ancestry,Danish,40208,"(+/- 4684 )",33243,"(+/- 4082 )",42323,"(+/- 4809 )",35803,"(+/- 5664 )"
People,Ancestry,Dutch,14011,"(+/- 2821 )",16901,"(+/- 3849 )",11827,"(+/- 1875 )",11204,"(+/- 2662 )"
People,Ancestry,English,169120,"(+/- 9479 )",173558,"(+/- 9176 )",188830,"(+/- 8129 )",179004,"(+/- 11805 )"
People,Ancestry,"French (except Basque)",13042,"(+/- 2562 )",14180,"(+/- 2293 )",10749,"(+/- 2228 )",15104,"(+/- 3981 )"
People,Ancestry,"French Canadian",1690,"(+/- 713 )",1651,"(+/- 728 )",1563,"(+/- 717 )",2700,"(+/- 1080 )"
People,Ancestry,German,76165,"(+/- 6413 )",74316,"(+/- 5473 )",75865,"(+/- 6026 )",76798,"(+/- 8297 )"
People,Ancestry,Greek,2832,"(+/- 1618 )",3415,"(+/- 2473 )",2842,"(+/- 1211 )",4196,"(+/- 1681 )"
People,Ancestry,Hungarian,366,"(+/- 320 )",1815,"(+/- 729 )",907,"(+/- 520 )",944,"(+/- 586 )"
People,Ancestry,Irish,48151,"(+/- 5182 )",45020,"(+/- 4552 )",40558,"(+/- 4261 )",44204,"(+/- 5686 )"
People,Ancestry,Italian,18008,"(+/- 3250 )",21980,"(+/- 3521 )",22352,"(+/- 2919 )",20079,"(+/- 3336 )"
People,Ancestry,Lithuanian,173,"(+/- 182 )",208,"(+/- 225 )",283,"(+/- 215 )",59,"(+/- 80 )"
People,Ancestry,Norwegian,18118,"(+/- 3225 )",18771,"(+/- 3307 )",20399,"(+/- 3345 )",21300,"(+/- 3993 )"
People,Ancestry,Polish,6439,"(+/- 1745 )",6116,"(+/- 1324 )",6848,"(+/- 1904 )",5074,"(+/- 1411 )"
People,Ancestry,Portuguese,1647,"(+/- 812 )",1802,"(+/- 861 )",1849,"(+/- 811 )",1355,"(+/- 890 )"
People,Ancestry,Russian,1723,"(+/- 930 )",2173,"(+/- 776 )",2687,"(+/- 1397 )",2068,"(+/- 829 )"
People,Ancestry,Scotch-Irish,5869,"(+/- 1247 )",6867,"(+/- 1799 )",7275,"(+/- 1617 )",10129,"(+/- 2531 )"
People,Ancestry,Scottish,30102,"(+/- 3845 )",33570,"(+/- 4430 )",32191,"(+/- 3853 )",37970,"(+/- 7369 )"
People,Ancestry,Slovak,133,"(+/- 157 )",242,"(+/- 215 )",653,"(+/- 969 )",955,"(+/- 987 )"
People,Ancestry,"Subsaharan African",2062,"(+/- 967 )",5175,"(+/- 2555 )",2420,"(+/- 1419 )",9015,"(+/- 3215 )"
People,Ancestry,Swedish,22903,"(+/- 3435 )",27078,"(+/- 3874 )",29973,"(+/- 3790 )",25964,"(+/- 3930 )"
People,Ancestry,Swiss,8300,"(+/- 1819 )",10999,"(+/- 2569 )",9772,"(+/- 1975 )",10609,"(+/- 4483 )"
People,Ancestry,Ukrainian,503,"(+/- 341 )",668,"(+/- 383 )",807,"(+/- 474 )",713,"(+/- 446 )"
People,Ancestry,Welsh,14342,"(+/- 3315 )",16602,"(+/- 3060 )",20515,"(+/- 3996 )",16354,"(+/- 3228 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",414,"(+/- 392 )",387,"(+/- 372 )",661,"(+/- 649 )",1242,"(+/- 971 )"
People,"Veteran Status","Civilian population 18 years and over",546553,"(+/- 4536 )",578849,"(+/- 6682 )",551214,"(+/- 6593 )",592999,"(+/- 8531 )"
People,"Veteran Status","Civilian veterans",36580,"(+/- 2573 )",34324,"(+/- 2852 )",19559,"(+/- 1908 )",24900,"(+/- 2551 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",779407,"(+/- 6237 )",780338,"(+/- 8350 )",775812,"(+/- 8922 )",842837,"(+/- 10261 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",70198,"(+/- 4201 )",84771,"(+/- 4681 )",68098,"(+/- 3274 )",73509,"(+/- 5042 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",236706,"(+/- 3980 )",208239,"(+/- 6045 )",226898,"(+/- 7379 )",255828,"(+/- 7884 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",7265,"(+/- 1270 )",6640,"(+/- 1383 )",8200,"(+/- 1383 )",9282,"(+/- 2534 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",460028,"(+/- 4592 )",462671,"(+/- 7326 )",462691,"(+/- 6106 )",503714,"(+/- 7675 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",39435,"(+/- 3109 )",41491,"(+/- 3689 )",33461,"(+/- 2623 )",37903,"(+/- 3753 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",82673,"(+/- 2344 )",109428,"(+/- 3146 )",86223,"(+/- 3621 )",83295,"(+/- 3925 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",23498,"(+/- 2176 )",36640,"(+/- 3086 )",26437,"(+/- 1841 )",26324,"(+/- 2068 )"
People,"Residence 1 Year Ago","Population 1 year and over",776712,"(+/- 5652 )",780098,"(+/- 8209 )",768581,"(+/- 8787 )",836711,"(+/- 10393 )"
People,"Residence 1 Year Ago","Same house",658643,"(+/- 9966 )",666001,"(+/- 12202 )",633009,"(+/- 10815 )",704001,"(+/- 13458 )"
People,"Residence 1 Year Ago","Different house in the U.S.",114903,"(+/- 8134 )",110631,"(+/- 9529 )",129421,"(+/- 7410 )",129710,"(+/- 11545 )"
People,"Residence 1 Year Ago","Same county",62478,"(+/- 7085 )",58110,"(+/- 7553 )",79828,"(+/- 5914 )",85605,"(+/- 9980 )"
People,"Residence 1 Year Ago","Different county",52425,"(+/- 5598 )",52521,"(+/- 6159 )",49593,"(+/- 4946 )",44105,"(+/- 7140 )"
People,"Residence 1 Year Ago","Same state",32213,"(+/- 4232 )",27648,"(+/- 5156 )",20942,"(+/- 3039 )",22233,"(+/- 4560 )"
People,"Residence 1 Year Ago","Different state",20212,"(+/- 3832 )",24873,"(+/- 4199 )",28651,"(+/- 4323 )",21872,"(+/- 5354 )"
People,"Residence 1 Year Ago",Abroad,3166,"(+/- 1097 )",3466,"(+/- 1144 )",6151,"(+/- 2233 )",3000,"(+/- 1679 )"
Workers,"Employment Status","Population 16 years and over",575481,"(+/- 4808 )",603282,"(+/- 7328 )",577836,"(+/- 6545 )",622053,"(+/- 8819 )"
Workers,"Employment Status","In labor force",401598,"(+/- 5970 )",401470,"(+/- 8465 )",400567,"(+/- 6562 )",453352,"(+/- 8663 )"
Workers,"Employment Status","Civilian labor force",397745,"(+/- 6057 )",400847,"(+/- 8495 )",399880,"(+/- 6628 )",452480,"(+/- 8654 )"
Workers,"Employment Status",Employed,387154,"(+/- 6018 )",389942,"(+/- 8237 )",385883,"(+/- 6665 )",435551,"(+/- 8637 )"
Workers,"Employment Status",Unemployed,10591,"(+/- 2032 )",10905,"(+/- 1757 )",13997,"(+/- 2085 )",16929,"(+/- 3063 )"
Workers,"Employment Status","Armed Forces",3853,"(+/- 1785 )",623,"(+/- 411 )",687,"(+/- 396 )",872,"(+/- 422 )"
Workers,"Employment Status","Not in labor force",173883,"(+/- 4795 )",201812,"(+/- 6086 )",177269,"(+/- 5593 )",168701,"(+/- 6309 )"
Workers,"Employment Status","Civilian labor force",397745,"(+/- 6057 )",400847,"(+/- 8495 )",399880,"(+/- 6628 )",452480,"(+/- 8654 )"
Workers,"Employment Status","Unemployment Rate",2.7,"(+/- 0.5 )",2.7,"(+/- 0.4 )",3.5,"(+/- 0.5 )",3.7,"(+/- 0.7 )"
Workers,"Commuting to Work","Workers 16 years and over",387450,"(+/- 6153 )",385450,"(+/- 8411 )",379913,"(+/- 6804 )",430773,"(+/- 8750 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",300529,"(+/- 7118 )",289932,"(+/- 8031 )",277462,"(+/- 7142 )",337452,"(+/- 8478 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",38399,"(+/- 3448 )",38378,"(+/- 4046 )",42956,"(+/- 4228 )",44368,"(+/- 4530 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",6860,"(+/- 1445 )",11321,"(+/- 2387 )",9165,"(+/- 1328 )",11766,"(+/- 2251 )"
Workers,"Commuting to Work",Walked,6288,"(+/- 1267 )",8784,"(+/- 1403 )",12725,"(+/- 2003 )",4621,"(+/- 1598 )"
Workers,"Commuting to Work","Other means",6051,"(+/- 1659 )",7807,"(+/- 1839 )",6863,"(+/- 1261 )",4202,"(+/- 975 )"
Workers,"Commuting to Work","Worked from home",29323,"(+/- 3242 )",29228,"(+/- 3584 )",30742,"(+/- 2853 )",28364,"(+/- 3316 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",23.1,"(+/- 0.6 )",21.1,"(+/- 0.6 )",20.9,"(+/- 0.5 )",24.6,"(+/- 0.7 )"
Workers,Occupation,"Civilian employed population 16 years and over",387154,"(+/- 6018 )",389942,"(+/- 8237 )",385883,"(+/- 6665 )",435551,"(+/- 8637 )"
Workers,Occupation,"Management, business, science, and arts occupations",147401,"(+/- 4661 )",153542,"(+/- 7097 )",170657,"(+/- 5908 )",174190,"(+/- 6365 )"
Workers,Occupation,"Service occupations",57628,"(+/- 3682 )",66317,"(+/- 4773 )",59847,"(+/- 4321 )",58274,"(+/- 4298 )"
Workers,Occupation,"Sales and office occupations",87245,"(+/- 5279 )",80043,"(+/- 5334 )",85889,"(+/- 4022 )",100954,"(+/- 6077 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",39427,"(+/- 3892 )",38818,"(+/- 3504 )",29281,"(+/- 2904 )",42049,"(+/- 3465 )"
Workers,Occupation,"Production, transportation, and material moving occupations",55453,"(+/- 3774 )",51222,"(+/- 4600 )",40209,"(+/- 3048 )",60084,"(+/- 4484 )"
Workers,Industry,"Civilian employed population 16 years and over",387154,"(+/- 6018 )",389942,"(+/- 8237 )",385883,"(+/- 6665 )",435551,"(+/- 8637 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",8996,"(+/- 1645 )",7184,"(+/- 1616 )",4184,"(+/- 1049 )",6481,"(+/- 1817 )"
Workers,Industry,Construction,27482,"(+/- 2993 )",33125,"(+/- 3410 )",27669,"(+/- 2741 )",38521,"(+/- 3648 )"
Workers,Industry,Manufacturing,49902,"(+/- 3591 )",31904,"(+/- 3316 )",35220,"(+/- 3166 )",38478,"(+/- 3609 )"
Workers,Industry,"Wholesale trade",8394,"(+/- 1441 )",8502,"(+/- 1596 )",8834,"(+/- 1410 )",11049,"(+/- 1766 )"
Workers,Industry,"Retail trade",47308,"(+/- 3802 )",40226,"(+/- 3583 )",41164,"(+/- 3381 )",53091,"(+/- 4876 )"
Workers,Industry,"Transportation and warehousing, and utilities",16438,"(+/- 2026 )",24435,"(+/- 2804 )",15754,"(+/- 1948 )",26503,"(+/- 3046 )"
