cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Sex and Age","Total population",721691,"(+/- 6018 )",773663,"(+/- 2179 )",723169,"(+/- 3245 )",704146,"(+/- 3827 )",733314,"(+/- 5498 )",715828,"(+/- 3214 )",714544,"(+/- 3122 )",736079,"(+/- 1485 )"
People,"Sex and Age",Male,358166,"(+/- 4761 )",384023,"(+/- 2184 )",364044,"(+/- 2816 )",338995,"(+/- 2855 )",361885,"(+/- 4736 )",357863,"(+/- 2379 )",360413,"(+/- 2499 )",367415,"(+/- 1995 )"
People,"Sex and Age",Female,363525,"(+/- 4134 )",389640,"(+/- 1897 )",359125,"(+/- 2391 )",365151,"(+/- 3345 )",371429,"(+/- 3746 )",357965,"(+/- 2311 )",354131,"(+/- 2097 )",368664,"(+/- 1876 )"
People,"Sex and Age","Under 5 years",40561,"(+/- 2111 )",42872,"(+/- 978 )",38202,"(+/- 1049 )",49233,"(+/- 1673 )",38318,"(+/- 1943 )",37571,"(+/- 1265 )",38291,"(+/- 858 )",42210,"(+/- 794 )"
People,"Sex and Age","5 to 9 years",43360,"(+/- 3363 )",43449,"(+/- 2372 )",41452,"(+/- 2165 )",49281,"(+/- 2926 )",40016,"(+/- 2458 )",42458,"(+/- 2100 )",39983,"(+/- 2104 )",44544,"(+/- 2909 )"
People,"Sex and Age","10 to 14 years",49877,"(+/- 3256 )",46964,"(+/- 2621 )",43755,"(+/- 2017 )",48983,"(+/- 2608 )",42222,"(+/- 3158 )",43252,"(+/- 2192 )",45924,"(+/- 1772 )",47669,"(+/- 2924 )"
People,"Sex and Age","15 to 19 years",45021,"(+/- 2187 )",52621,"(+/- 1339 )",54246,"(+/- 1813 )",50928,"(+/- 1694 )",45334,"(+/- 1854 )",44031,"(+/- 1411 )",41118,"(+/- 1195 )",46828,"(+/- 1426 )"
People,"Sex and Age","20 to 24 years",41990,"(+/- 2576 )",66491,"(+/- 1533 )",62096,"(+/- 1708 )",53225,"(+/- 1678 )",42922,"(+/- 2678 )",44204,"(+/- 1645 )",33810,"(+/- 1072 )",41837,"(+/- 1366 )"
People,"Sex and Age","25 to 34 years",83668,"(+/- 3338 )",110336,"(+/- 1430 )",83935,"(+/- 1583 )",121546,"(+/- 3139 )",87312,"(+/- 2986 )",85283,"(+/- 2208 )",75249,"(+/- 1441 )",89986,"(+/- 1997 )"
People,"Sex and Age","35 to 44 years",92899,"(+/- 3928 )",101705,"(+/- 1704 )",83729,"(+/- 1386 )",88293,"(+/- 2303 )",90225,"(+/- 2656 )",84754,"(+/- 1878 )",83183,"(+/- 1575 )",89648,"(+/- 1525 )"
People,"Sex and Age","45 to 54 years",92744,"(+/- 3643 )",92694,"(+/- 1843 )",81698,"(+/- 1643 )",79394,"(+/- 2482 )",94915,"(+/- 3188 )",92927,"(+/- 1734 )",90757,"(+/- 1522 )",94164,"(+/- 1672 )"
People,"Sex and Age","55 to 59 years",54080,"(+/- 3594 )",48139,"(+/- 2344 )",50637,"(+/- 2586 )",41676,"(+/- 2790 )",58947,"(+/- 2829 )",53293,"(+/- 2024 )",53550,"(+/- 2212 )",55066,"(+/- 2260 )"
People,"Sex and Age","60 to 64 years",53029,"(+/- 2877 )",49899,"(+/- 2435 )",50410,"(+/- 2340 )",36599,"(+/- 3071 )",52688,"(+/- 3029 )",51714,"(+/- 2124 )",61858,"(+/- 2328 )",52760,"(+/- 2297 )"
People,"Sex and Age","65 to 74 years",73651,"(+/- 2959 )",71734,"(+/- 1273 )",78086,"(+/- 1210 )",51157,"(+/- 2168 )",80288,"(+/- 2835 )",78980,"(+/- 1504 )",87167,"(+/- 1369 )",76888,"(+/- 1107 )"
People,"Sex and Age","75 to 84 years",35125,"(+/- 2236 )",32067,"(+/- 1835 )",38029,"(+/- 1543 )",23263,"(+/- 1747 )",39710,"(+/- 2547 )",40645,"(+/- 1662 )",46916,"(+/- 1611 )",40077,"(+/- 1663 )"
People,"Sex and Age","85 years and over",15686,"(+/- 1637 )",14692,"(+/- 1498 )",16894,"(+/- 1488 )",10568,"(+/- 1385 )",20417,"(+/- 1994 )",16716,"(+/- 1571 )",16738,"(+/- 1262 )",14402,"(+/- 1584 )"
People,"Sex and Age","Median age (years)",40.9,"(+/- 0.7 )",37.2,"(+/- 0.4 )",39.2,"(+/- 0.4 )",32.8,"(+/- 0.4 )",42.5,"(+/- 0.6 )",42.0,"(+/- 0.4 )",45.0,"(+/- 0.3 )",40.8,"(+/- 0.3 )"
People,"Sex and Age","18 years and over",559345,"(+/- 5261 )",611618,"(+/- 2008 )",574679,"(+/- 2419 )",528604,"(+/- 3803 )",583995,"(+/- 4688 )",565852,"(+/- 2457 )",562417,"(+/- 2491 )",572512,"(+/- 1249 )"
People,"Sex and Age","65 years and over",124462,"(+/- 3667 )",118493,"(+/- 1412 )",133009,"(+/- 1616 )",84988,"(+/- 2893 )",140415,"(+/- 3512 )",136341,"(+/- 1922 )",150821,"(+/- 1814 )",131367,"(+/- 1224 )"
People,Race,"Total population",721691,"(+/- 6018 )",773663,"(+/- 2179 )",723169,"(+/- 3245 )",704146,"(+/- 3827 )",733314,"(+/- 5498 )",715828,"(+/- 3214 )",714544,"(+/- 3122 )",736079,"(+/- 1485 )"
People,Race,"One race",704171,"(+/- 7465 )",751624,"(+/- 3716 )",712520,"(+/- 3638 )",677752,"(+/- 5617 )",717493,"(+/- 5894 )",702027,"(+/- 3784 )",701004,"(+/- 3362 )",718809,"(+/- 2944 )"
People,Race,White,627038,"(+/- 7765 )",664613,"(+/- 4016 )",673955,"(+/- 3409 )",357357,"(+/- 8339 )",663623,"(+/- 7242 )",655759,"(+/- 4366 )",665940,"(+/- 3156 )",655069,"(+/- 3870 )"
People,Race,"Black or African American",43033,"(+/- 2758 )",33742,"(+/- 2457 )",10906,"(+/- 1311 )",237241,"(+/- 5007 )",17884,"(+/- 3187 )",14016,"(+/- 2071 )",5745,"(+/- 970 )",12180,"(+/- 1372 )"
People,Race,"American Indian and Alaska Native",2509,"(+/- 877 )",2833,"(+/- 768 )",3936,"(+/- 712 )",5026,"(+/- 1447 )",2155,"(+/- 763 )",3908,"(+/- 724 )",14804,"(+/- 1212 )",19406,"(+/- 1940 )"
People,Race,Asian,15748,"(+/- 3811 )",35058,"(+/- 1628 )",17737,"(+/- 1480 )",27924,"(+/- 2519 )",22476,"(+/- 2395 )",18607,"(+/- 1838 )",11811,"(+/- 939 )",18059,"(+/- 1055 )"
People,Race,"Native Hawaiian and Other Pacific Islander",601,"(+/- 622 )",533,"(+/- 433 )",391,"(+/- 293 )",165,"(+/- 191 )",456,"(+/- 299 )",1245,"(+/- 1392 )",552,"(+/- 338 )",277,"(+/- 246 )"
People,Race,"Some other race",15242,"(+/- 4584 )",14845,"(+/- 3071 )",5595,"(+/- 1442 )",50039,"(+/- 6152 )",10899,"(+/- 3147 )",8492,"(+/- 3062 )",2152,"(+/- 629 )",13818,"(+/- 3760 )"
People,Race,"Two or more races",17520,"(+/- 3424 )",22039,"(+/- 2768 )",10649,"(+/- 1686 )",26394,"(+/- 4391 )",15821,"(+/- 2774 )",13801,"(+/- 2242 )",13540,"(+/- 1589 )",17270,"(+/- 2876 )"
People,"Hispanic or Latino and Race","Total population",721691,"(+/- 6018 )",773663,"(+/- 2179 )",723169,"(+/- 3245 )",704146,"(+/- 3827 )",733314,"(+/- 5498 )",715828,"(+/- 3214 )",714544,"(+/- 3122 )",736079,"(+/- 1485 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",73056,"(+/- 3892 )",52787,"(+/- 1598 )",20626,"(+/- 939 )",123967,"(+/- 3772 )",47945,"(+/- 3252 )",34668,"(+/- 865 )",18421,"(+/- 1162 )",41299,"(+/- 198 )"
People,"Hispanic or Latino and Race",Mexican,54023,"(+/- 5095 )",36439,"(+/- 3309 )",15034,"(+/- 1209 )",82847,"(+/- 6255 )",33154,"(+/- 3953 )",25234,"(+/- 2213 )",14061,"(+/- 1513 )",29287,"(+/- 2873 )"
People,"Hispanic or Latino and Race","Puerto Rican",11340,"(+/- 3809 )",3521,"(+/- 1294 )",1694,"(+/- 697 )",30207,"(+/- 4673 )",8453,"(+/- 1989 )",4177,"(+/- 1750 )",2053,"(+/- 553 )",3061,"(+/- 1476 )"
People,"Hispanic or Latino and Race",Cuban,540,"(+/- 440 )",346,"(+/- 336 )",512,"(+/- 367 )",1253,"(+/- 771 )",943,"(+/- 744 )",317,"(+/- 229 )",470,"(+/- 275 )",1031,"(+/- 574 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",7153,"(+/- 2085 )",12481,"(+/- 3009 )",3386,"(+/- 895 )",9660,"(+/- 2879 )",5395,"(+/- 1754 )",4940,"(+/- 1351 )",1837,"(+/- 706 )",7920,"(+/- 2785 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",648635,"(+/- 6955 )",720876,"(+/- 2713 )",702543,"(+/- 3228 )",580179,"(+/- 5017 )",685369,"(+/- 6036 )",681160,"(+/- 3058 )",696123,"(+/- 3364 )",694780,"(+/- 1478 )"
People,"Place of Birth","Total population",721691,"(+/- 6018 )",773663,"(+/- 2179 )",723169,"(+/- 3245 )",704146,"(+/- 3827 )",733314,"(+/- 5498 )",715828,"(+/- 3214 )",714544,"(+/- 3122 )",736079,"(+/- 1485 )"
