cdTopic,Subject,Title,District 01 Estimate,District (At Large) MOE
People,Sex and Age,Total population,578759,(*****)
People,Sex and Age,Male,296005,(+/- 2436 )
People,Sex and Age,Female,282754,(+/- 2436 )
People,Sex and Age,Under 5 years,33098,(+/- 1359 )
People,Sex and Age,5 to 9 years,40471,(+/- 3023 )
People,Sex and Age,10 to 14 years,38966,(+/- 2589 )
People,Sex and Age,15 to 19 years,38611,(+/- 2958 )
People,Sex and Age,20 to 24 years,37766,(+/- 2253 )
People,Sex and Age,25 to 34 years,76649,(+/- 2421 )
People,Sex and Age,35 to 44 years,73671,(+/- 1981 )
People,Sex and Age,45 to 54 years,63810,(+/- 1778 )
People,Sex and Age,55 to 59 years,37601,(+/- 2501 )
People,Sex and Age,60 to 64 years,39327,(+/- 2485 )
People,Sex and Age,65 to 74 years,60674,(+/- 1214 )
People,Sex and Age,75 to 84 years,28489,(+/- 1466 )
People,Sex and Age,85 years and over,9626,(+/- 1325 )
People,Sex and Age,Median age (years),38.1,(+/- 0.4 )
People,Sex and Age,18 years and over,444570,(+/- 1722 )
People,Sex and Age,65 years and over,98789,(+/- 1496 )
People,Race,Total population,578759,(*****)
People,Race,One race,562936,(+/- 3004 )
People,Race,White,525860,(+/- 2716 )
People,Race,Black or African American,7116,(+/- 1901 )
People,Race,American Indian and Alaska Native,13774,(+/- 1592 )
People,Race,Asian,4633,(+/- 1379 )
People,Race,Native Hawaiian and Other Pacific Islander,754,(+/- 498 )
People,Race,Some other race,10799,(+/- 2278 )
People,Race,Two or more races,15823,(+/- 3004 )
People,Hispanic or Latino and Race,Total population,578759,(*****)
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),58607,(*****)
People,Hispanic or Latino and Race,Mexican,42958,(+/- 2934 )
People,Hispanic or Latino and Race,Puerto Rican,2097,(+/- 1276 )
People,Hispanic or Latino and Race,Cuban,103,(+/- 156 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,13449,(+/- 2700 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,520152,(*****)
People,Place of Birth,Total population,578759,(*****)
People,Place of Birth,Native,560990,(+/- 2388 )
People,Place of Birth,Born in United States,557093,(+/- 2512 )
People,Place of Birth,State of residence,249024,(+/- 8306 )
People,Place of Birth,Different state,308069,(+/- 8224 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",3897,(+/- 1336 )
People,Place of Birth,Foreign born,17769,(+/- 2388 )
People,Ancestry,Total population,578759,(*****)
People,Ancestry,American,23753,(+/- 3547 )
People,Ancestry,Arab,384,(+/- 260 )
People,Ancestry,Czech,3685,(+/- 1054 )
People,Ancestry,Danish,11222,(+/- 2872 )
People,Ancestry,Dutch,8875,(+/- 1856 )
People,Ancestry,English,72384,(+/- 5099 )
People,Ancestry,French (except Basque),17372,(+/- 2785 )
People,Ancestry,French Canadian,3504,(+/- 1510 )
People,Ancestry,German,126802,(+/- 6654 )
People,Ancestry,Greek,2292,(+/- 1072 )
People,Ancestry,Hungarian,1057,(+/- 566 )
People,Ancestry,Irish,64772,(+/- 5378 )
People,Ancestry,Italian,17580,(+/- 2350 )
People,Ancestry,Lithuanian,649,(+/- 427 )
People,Ancestry,Norwegian,25485,(+/- 3767 )
People,Ancestry,Polish,9117,(+/- 1784 )
People,Ancestry,Portuguese,1663,(+/- 928 )
People,Ancestry,Russian,3208,(+/- 1155 )
People,Ancestry,Scotch-Irish,8340,(+/- 1682 )
People,Ancestry,Scottish,15941,(+/- 2605 )
People,Ancestry,Slovak,121,(+/- 117 )
People,Ancestry,Subsaharan African,1258,(+/- 753 )
People,Ancestry,Swedish,14079,(+/- 2299 )
People,Ancestry,Swiss,3014,(+/- 1025 )
People,Ancestry,Ukrainian,813,(+/- 662 )
People,Ancestry,Welsh,6480,(+/- 1824 )
People,Ancestry,West Indian (excluding Hispanic origin groups),59,(+/- 70 )
People,Veteran Status,Civilian population 18 years and over,441614,(+/- 1742 )
People,Veteran Status,Civilian veterans,41390,(+/- 3494 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,568859,(+/- 919 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,76337,(+/- 4624 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,133700,(+/- 1722 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,6189,(+/- 1664 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,338977,(+/- 2029 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,38945,(+/- 3644 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,96182,(+/- 1511 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,31203,(+/- 2542 )
People,Residence 1 Year Ago,Population 1 year and over,572884,(+/- 1076 )
People,Residence 1 Year Ago,Same house,473128,(+/- 8091 )
People,Residence 1 Year Ago,Different house in the U.S.,98374,(+/- 7974 )
People,Residence 1 Year Ago,Same county,53920,(+/- 5820 )
People,Residence 1 Year Ago,Different county,44454,(+/- 5610 )
People,Residence 1 Year Ago,Same state,14207,(+/- 2989 )
People,Residence 1 Year Ago,Different state,30247,(+/- 4333 )
People,Residence 1 Year Ago,Abroad,1382,(+/- 597 )
Workers,Employment Status,Population 16 years and over,458477,(+/- 2011 )
Workers,Employment Status,In labor force,297245,(+/- 4914 )
Workers,Employment Status,Civilian labor force,294289,(+/- 5078 )
Workers,Employment Status,Employed,283750,(+/- 5185 )
Workers,Employment Status,Unemployed,10539,(+/- 1720 )
Workers,Employment Status,Armed Forces,2956,(+/- 921 )
Workers,Employment Status,Not in labor force,161232,(+/- 5112 )
Workers,Employment Status,Civilian labor force,294289,(+/- 5078 )
Workers,Employment Status,Unemployment Rate,3.6,(+/- 0.6 )
Workers,Commuting to Work,Workers 16 years and over,279531,(+/- 4898 )
Workers,Commuting to Work,"Car, truck, or van -- drove alone",214999,(+/- 4953 )
Workers,Commuting to Work,"Car, truck, or van -- carpooled",32184,(+/- 3064 )
Workers,Commuting to Work,Public transportation (excluding taxicab),3251,(+/- 1255 )
Workers,Commuting to Work,Walked,8253,(+/- 1797 )
Workers,Commuting to Work,Other means,4837,(+/- 1161 )
Workers,Commuting to Work,Worked from home,16007,(+/- 2542 )
Workers,Commuting to Work,Mean travel time to work (minutes),19.1,(+/- 0.7 )
Workers,Occupation,Civilian employed population 16 years and over,283750,(+/- 5185 )
Workers,Occupation,"Management, business, science, and arts occupations",103140,(+/- 5195 )
Workers,Occupation,Service occupations,51586,(+/- 3644 )
Workers,Occupation,Sales and office occupations,52205,(+/- 3403 )
Workers,Occupation,"Natural resources, construction, and maintenance occupations",43719,(+/- 3169 )
Workers,Occupation,"Production, transportation, and material moving occupations",33100,(+/- 3471 )
